Symbol,»ï¾çÈ¦µù½º_½Ã°¡(¿ø),»ï¾çÈ¦µù½º_Á¾°¡(¿ø),»ï¾çÈ¦µù½º_°Å·¡·®(ÁÖ),»ï¾çÈ¦µù½º_PER(IFRS-¿¬°á),»ï¾çÈ¦µù½º_¼ø¸Å¼ö¼ö·®(°³ÀÎ)(ÁÖ),»ï¾çÈ¦µù½º_¼ø¸Å¼ö¼ö·®(±â°ü°è)(ÁÖ),»ï¾çÈ¦µù½º_¼ø¸Å¼ö¼ö·®(¿Ü±¹ÀÎ°è)(ÁÖ)
2000-01-04,10750,12200,148870,12.22,34950,-34140,0
2000-01-05,12400,12200,238350,12.22,-5750,-44400,150
2000-01-06,12900,12100,140400,12.12,-40090,-9860,0
2000-01-07,11800,12700,209490,12.72,-4400,-280,680
2000-01-10,13200,13600,452250,13.62,-13030,-21920,210
2000-01-11,13700,13000,192260,13.02,-23740,3250,140
2000-01-12,13350,13300,194850,13.32,-22450,-4740,2000
2000-01-13,13500,13300,286420,13.32,3300,-14410,1540
2000-01-14,13600,12800,160210,12.82,-47680,-800,-1520
2000-01-17,12500,12500,111670,12.52,-19760,740,620
2000-01-18,12700,12200,78520,12.22,-10390,2070,320
2000-01-19,12200,11700,171940,11.72,-18020,-6840,-810
2000-01-20,11900,11500,63890,11.52,-2800,2360,440
2000-01-21,11600,11300,74830,11.32,1680,-9840,8760
2000-01-24,11300,11500,85350,11.52,-7450,2280,-110
2000-01-25,11800,11900,92130,11.92,-32590,-1590,0
2000-01-26,11900,11900,78440,11.92,-49320,16860,0
2000-01-27,12000,13200,443050,13.22,-32870,-37160,80
2000-01-28,13300,12850,201020,12.87,-26950,27790,-30640
2000-01-31,12450,12700,156930,12.72,-4620,8020,-3400
2000-02-01,12500,13000,107220,13.02,-53610,53760,-70
2000-02-02,12800,13600,274920,13.62,-73670,23670,0
2000-02-03,13650,13000,86350,13.02,470,-470,0
2000-02-07,13000,12700,77340,12.72,13150,-19920,1610
2000-02-08,12700,12700,168680,12.72,-31860,-4640,160
2000-02-09,12700,12800,108970,12.82,-35050,29050,0
2000-02-10,12600,13200,239020,13.22,-54720,54720,0
2000-02-11,13500,14300,315220,14.32,-182790,90120,0
2000-02-14,14300,13750,102570,13.77,-21250,28530,720
2000-02-15,13850,13400,78350,13.42,-46090,26220,720
2000-02-16,13400,13350,42960,13.37,-22050,21910,240
2000-02-17,13350,14000,151390,14.02,-21330,20350,480
2000-02-18,14200,14800,412910,14.83,-61620,85860,0
2000-02-21,14800,14000,125340,14.02,-28470,-16340,-480
2000-02-22,14200,14000,74640,14.02,-41180,25320,260
