Symbol,세방전지_시가(원),세방전지_종가(원),세방전지_거래량(주),세방전지_PER(IFRS-연결),세방전지_순매수수량(개인)(주),세방전지_순매수수량(기관계)(주),세방전지_순매수수량(외국인계)(주)
2000-01-04,23150,23000,1850,4.01,1710,-1710,0
2000-01-05,23400,22000,4590,3.84,1430,-1430,0
2000-01-06,22300,21950,4930,3.83,1020,-1020,0
2000-01-07,21000,21350,2600,3.73,0,0,0
2000-01-10,21000,21750,4150,3.8,2000,-2000,0
2000-01-11,21850,21400,4950,3.73,2000,-2000,0
2000-01-12,21700,21500,2470,3.75,0,0,0
2000-01-13,22000,21200,3000,3.7,-200,200,0
2000-01-14,21200,22200,7280,3.87,100,-100,0
2000-01-17,22000,22200,4950,3.87,3200,-3200,0
2000-01-18,22000,20550,5120,3.59,3700,-3700,0
2000-01-19,21000,19800,3980,3.45,380,-380,0
2000-01-20,19800,19500,3940,3.4,2990,-2990,0
2000-01-21,17150,19000,6780,3.32,4030,-4030,0
2000-01-24,17250,20400,2120,3.56,0,0,0
2000-01-25,19900,20000,2200,3.49,0,0,0
2000-01-26,19500,19500,190,3.4,0,0,0
2000-01-27,19500,20400,2020,3.56,0,0,0
2000-01-28,20100,20000,2130,3.49,1000,-1000,0
2000-01-31,20000,20500,3090,3.58,0,0,0
2000-02-01,20500,20000,7080,3.49,3000,-3000,0
2000-02-02,22000,23000,15690,4.01,6000,-6000,0
2000-02-03,23900,26450,23710,4.62,7450,-7450,0
2000-02-07,28400,30400,48070,5.3,13850,-13850,0
2000-02-08,31400,27000,23720,4.71,0,0,0
2000-02-09,25200,25150,9370,4.39,0,0,0
2000-02-10,25000,24000,11310,4.19,1670,-1670,0
2000-02-11,25000,23400,7920,4.08,2300,-2300,0
2000-02-14,21600,24000,5180,4.19,0,0,0
2000-02-15,24000,24000,10030,4.19,4400,-4400,0
2000-02-16,24100,22000,4210,3.84,3030,-2020,-1010
2000-02-17,22000,22000,6160,3.84,2120,0,-2120
2000-02-18,21500,21600,6650,3.77,2000,0,-2000
2000-02-21,21600,22000,5950,3.84,0,0,0
2000-02-22,21200,22900,1880,4,0,0,0
2000-02-23,23100,26000,17770,4.54,6790,-6790,0
2000-02-24,26000,25000,8090,4.36,0,0,0
2000-02-25,24100,24900,11460,4.34,3020,-3020,0
2000-02-28,24850,26000,17620,4.54,1590,-2610,0
2000-02-29,27350,25500,22590,4.45,10270,-11430,1160
2000-03-02,25600,26650,14270,4.65,3760,-2740,0
2000-03-03,27100,27100,28370,4.73,6400,-6400,0
2000-03-06,28000,28000,23460,4.89,7500,-7500,0
2000-03-07,27500,27500,8480,4.8,-2000,2000,0
2000-03-08,27000,26550,7450,4.63,0,0,0
2000-03-09,27500,27450,7960,4.79,0,0,0
2000-03-10,25900,27250,9280,4.75,0,0,0
2000-03-13,28000,31300,31080,5.46,-510,0,0
