Symbol,세아베스틸_시가(원),세아베스틸_종가(원),세아베스틸_거래량(주),세아베스틸_PER(IFRS-연결),세아베스틸_순매수수량(개인)(주),세아베스틸_순매수수량(기관계)(주),세아베스틸_순매수수량(외국인계)(주)
2000-01-04,2125,2490,6620,0.07,0,0,0
2000-01-05,2300,2350,6070,0.07,0,0,0
2000-01-06,2410,2200,18770,0.07,310,-10,0
2000-01-07,2150,2120,35850,0.06,10,-10,0
2000-01-10,2000,2250,10400,0.07,10,-10,0
2000-01-11,2250,2290,4130,0.07,10,-10,0
2000-01-12,2160,2200,7370,0.07,0,0,0
2000-01-13,2020,2120,3210,0.06,20,-20,0
2000-01-14,2020,2100,7040,0.06,0,0,0
2000-01-17,2100,2130,10860,0.06,0,0,0
2000-01-18,2210,2105,16510,0.06,0,0,0
2000-01-19,2110,2000,4670,0.06,0,0,0
2000-01-20,2100,1900,6640,0.06,20,-20,0
2000-01-21,1920,1990,6160,0.06,0,0,0
2000-01-24,2000,1890,5930,0.06,0,0,0
2000-01-25,1850,1830,5140,0.05,70,-70,0
2000-01-26,1820,1850,2180,0.06,150,-150,0
2000-01-27,1850,1930,7240,0.06,-1500,0,1500
2000-01-28,1930,2000,5910,0.06,0,0,0
2000-01-31,1990,1940,4780,0.06,0,0,0
2000-02-01,1920,1900,12540,0.06,10,-10,0
2000-02-02,1900,1900,10680,0.06,0,0,0
2000-02-03,1900,1900,14350,0.06,0,0,0
2000-02-07,2185,2100,16950,0.06,0,0,0
2000-02-08,2380,2100,15330,0.06,0,0,0
2000-02-09,2005,2000,6150,0.06,0,0,0
2000-02-10,1900,1900,6590,0.06,0,0,0
2000-02-11,1900,1900,10470,0.06,10,-10,0
2000-02-14,2100,1800,15380,0.05,0,0,0
2000-02-15,1800,1805,15650,0.05,10,-10,0
2000-02-16,1680,1550,17860,0.05,20,-20,0
2000-02-17,1700,1775,14480,0.05,0,0,0
2000-02-18,1805,1860,48700,0.06,10,-10,0
2000-02-21,1800,1650,33060,0.05,0,0,0
2000-02-22,1610,1650,9390,0.05,0,0,0
2000-02-23,1650,1740,17720,0.05,0,0,0
2000-02-24,1720,1650,13370,0.05,70,-70,0
2000-02-25,1610,1700,28690,0.05,0,0,0
2000-02-28,1690,1700,3030,0.05,90,-90,0
2000-02-29,1750,1815,17090,0.05,10,-10,0
2000-03-02,1830,1810,10200,0.05,10,-10,0
2000-03-03,1710,1695,5740,0.05,0,0,0
2000-03-06,1655,1760,4680,0.05,20,-20,0
2000-03-07,1760,1770,22330,0.05,0,0,0
2000-03-08,1800,1815,20190,0.05,0,0,0
2000-03-09,1550,1720,31290,0.05,19440,-19440,0
2000-03-10,1700,1710,45330,0.05,30900,-30900,0
2000-03-13,1720,1830,64090,0.05,35090,-35090,0
2000-03-14,1790,1740,61370,0.05,22260,-22260,0
2000-03-15,1740,1730,57280,0.05,33400,-33400,0
2000-03-16,1700,1605,35910,0.05,20030,-20030,0
2000-03-17,1620,1615,50780,0.05,35020,-35020,0
2000-03-20,1600,1630,44760,0.05,23870,-23870,0
2000-03-21,1645,1620,22460,0.05,0,0,0
2000-03-22,1625,1630,11780,0.05,10,-10,0
2000-03-23,1625,1670,17780,0.05,0,0,0
2000-03-24,1610,1660,15130,0.05,0,0,0
2000-03-27,1750,1665,28260,0.05,0,0,0
2000-03-28,1665,1625,13550,0.05,0,0,0
2000-03-29,1590,1505,189600,0.05,148590,-148590,0
2000-03-30,1455,1425,29380,0.04,0,0,0
2000-03-31,1435,1480,23030,0.04,0,0,0
2000-04-03,1475,1480,26930,0.04,0,0,0
2000-04-04,1470,1425,37110,0.04,0,0,0
2000-04-06,1635,1635,108740,0.05,0,0,0
2000-04-07,1880,1880,189920,0.06,-20,-10,0
2000-04-10,2160,2160,70590,0.06,-100,0,0
2000-04-11,2480,1840,252670,0.06,-410,0,0
2000-04-12,1850,1720,96680,0.05,0,0,0
2000-04-14,1760,1700,73910,0.05,50,-50,0
2000-04-17,1690,1600,78770,0.05,20,-20,0
2000-04-18,1670,1640,40670,0.05,40,-40,0
2000-04-19,1630,1640,23170,0.05,0,0,0
2000-04-20,1610,1750,48210,0.05,140,0,0
2000-04-21,1700,1755,19830,0.05,100,-100,0
2000-04-24,1745,1700,17630,0.05,10,-10,0
2000-04-25,1700,1600,15840,0.05,0,0,0
2000-04-26,1610,1550,23230,0.05,3250,-20,0
2000-04-27,1550,1520,20400,0.05,20,-20,0
2000-04-28,1450,1570,22050,0.05,0,0,0
2000-05-02,1500,1530,17980,0.05,0,0,0
2000-05-03,1550,1400,76840,0.04,63040,0,0
2000-05-04,1445,1450,194390,0.04,152570,0,0
2000-05-08,1530,1445,243590,0.04,180000,0,0
2000-05-09,1465,1420,144860,0.04,93540,-10,0
2000-05-10,1430,1440,71500,0.04,0,0,0
2000-05-12,1460,1645,76520,0.05,20,-20,0
2000-05-15,1500,1450,33650,0.04,400,0,0
2000-05-16,1420,1430,34740,0.04,0,0,0
