Symbol,세아제강_시가(원),세아제강_종가(원),세아제강_거래량(주),세아제강_PER(IFRS-연결),세아제강_순매수수량(개인)(주),세아제강_순매수수량(기관계)(주),세아제강_순매수수량(외국인계)(주)
2000-01-04,11200,12000,38650,2,-320,50,0
2000-01-05,12000,13100,85130,2.19,-2750,3850,0
2000-01-06,13900,12300,56420,2.05,-27850,27830,0
2000-01-07,12500,13500,128790,2.25,3780,-6350,360
2000-01-10,13800,14400,139500,2.4,-19170,20030,120
2000-01-11,14400,14700,145750,2.45,-31790,71550,-38920
2000-01-12,14400,14400,126150,2.4,-51720,46640,6000
2000-01-13,14300,15100,88430,2.52,-35840,31540,0
2000-01-14,15200,14800,71210,2.47,-3620,-7380,1000
2000-01-17,14900,14600,44620,2.44,-12180,1840,350
2000-01-18,14600,14850,88300,2.48,-43390,25320,70
2000-01-19,14850,14100,67000,2.35,-10480,-8770,0
2000-01-20,14100,13300,52940,2.22,-29700,9490,210
2000-01-21,15200,13800,63570,2.3,6200,-5840,0
2000-01-24,13800,13850,39770,2.31,-20870,870,0
2000-01-25,13850,13800,62920,2.3,-42230,5350,0
2000-01-26,13800,14400,221540,2.4,-15200,12280,-15000
2000-01-27,14400,15750,198310,2.63,-30160,190,0
2000-01-28,15800,15900,139350,2.65,-16900,17020,0
2000-01-31,15600,16150,166160,2.7,-53370,78370,-25000
2000-02-01,16200,16400,127390,2.74,-15530,43550,-40
2000-02-02,16400,16400,316690,2.74,20790,-11210,0
2000-02-03,16500,16800,139960,2.8,-55040,55040,0
2000-02-07,16500,16250,51820,2.71,-9390,9380,0
2000-02-08,16500,16300,65720,2.72,-30930,21610,0
2000-02-09,16400,16300,54720,2.72,-6540,6540,0
2000-02-10,16250,15600,59230,2.6,-5020,5030,0
2000-02-11,15600,15200,47510,2.54,-10350,10290,0
2000-02-14,12950,13400,36100,2.24,-4700,4700,0
2000-02-15,13400,11700,109250,1.95,42190,-27840,-34350
2000-02-16,11800,11700,132910,1.95,57800,-57440,-20300
2000-02-17,12000,12250,79790,2.04,13150,-13450,0
2000-02-18,12250,12500,73000,2.09,13480,-13930,200
2000-02-21,12500,12300,63540,2.05,-21510,21460,50
2000-02-22,12300,12500,54210,2.09,4170,-21430,-250
2000-02-23,12900,13300,79210,2.22,20990,-20880,0
2000-02-24,13700,12800,29550,2.14,-70,-430,0
2000-02-25,13000,13500,67740,2.25,18610,780,0
2000-02-28,13600,14900,153000,2.49,-36680,-20840,0
2000-02-29,14550,13850,35430,2.31,990,-890,0
2000-03-02,14000,13700,275270,2.29,52050,-47550,500
2000-03-03,13700,13700,95220,2.29,-26500,26660,0
2000-03-06,14300,15300,174680,2.55,-6810,7310,-500
2000-03-07,15250,15000,84850,2.5,-26150,26150,0
2000-03-08,15000,14900,101790,2.49,10430,-22490,0
2000-03-09,14600,15100,96290,2.52,-26840,4840,-7390
