Symbol,신도리코_시가(원),신도리코_종가(원),신도리코_거래량(주),신도리코_PER(IFRS-연결),신도리코_순매수수량(개인)(주),신도리코_순매수수량(기관계)(주),신도리코_순매수수량(외국인계)(주)
2000-01-04,32150,30800,59930,6.64,24820,2850,-17350
2000-01-05,31000,30200,35420,6.51,8250,-9990,1740
2000-01-06,30950,29800,50750,6.42,630,-30590,30000
2000-01-07,29200,29450,41520,6.34,13030,-13910,880
2000-01-10,29700,30500,63080,6.57,31270,-25190,-4310
2000-01-11,31000,32400,64320,6.98,-15770,-4430,22920
2000-01-12,32500,34400,163660,7.41,-9990,-77140,85130
2000-01-13,35000,31000,57210,6.68,-2960,7370,-4610
2000-01-14,33000,35650,44630,7.68,2320,-2320,0
2000-01-17,37900,36000,154680,7.76,-21820,22060,-480
2000-01-18,35100,34600,59290,7.45,6220,9920,-16140
2000-01-19,34000,32100,30070,6.92,6680,-4270,-1300
2000-01-20,28500,31000,41500,6.68,3510,-2310,1600
2000-01-21,30300,32400,65810,6.98,8550,-2870,-900
2000-01-24,33000,33200,42810,7.15,-22690,21340,1350
2000-01-25,32800,33000,29280,7.11,-17830,8240,9590
2000-01-26,33000,34000,33690,7.32,-19420,19150,270
2000-01-27,33750,34500,32580,7.43,-13140,12950,230
2000-01-28,34100,34100,28290,7.35,-10910,12410,-1480
2000-01-31,33800,33800,18900,7.28,-7500,7930,-860
2000-02-01,33600,33500,16400,7.22,-7710,7770,-60
2000-02-02,33450,34700,33520,7.48,-18010,13470,4380
2000-02-03,34800,35400,31370,7.63,-13840,13650,2190
2000-02-07,35350,35700,78160,7.69,-13020,14290,-1690
2000-02-08,35300,35000,23560,7.54,-5880,5720,160
2000-02-09,35000,34500,41010,7.43,-3780,10350,-6570
2000-02-10,34100,34000,53940,7.32,-11930,14070,-2140
2000-02-11,34500,34000,61300,7.32,-14690,49750,-35140
2000-02-14,33500,34000,58660,7.32,-25670,37580,-11910
2000-02-15,34000,33950,33370,7.31,-11560,21870,-9850
2000-02-16,33300,33800,34760,7.28,-11660,21080,-9340
2000-02-17,33800,34500,65990,7.43,-5380,28480,-23600
2000-02-18,33800,34500,51490,7.43,-7420,8640,-1020
2000-02-21,33500,34300,30500,7.39,-7050,14590,-7540
2000-02-22,34400,33200,19120,7.15,-3040,2700,360
2000-02-23,33050,34000,27020,7.32,-12810,13960,-1060
2000-02-24,33500,33500,16320,7.22,-6560,8680,-120
2000-02-25,33100,33500,41170,7.22,-1850,1880,-40
2000-02-28,33900,32500,17270,7,1650,-3650,2000
2000-02-29,32500,32000,22330,6.89,-680,-90,970
2000-03-02,32000,31600,48200,6.81,22330,-22740,300
2000-03-03,31900,31550,66230,6.8,18260,-26160,5500
2000-03-06,31600,32500,45720,7,640,1620,20
2000-03-07,32500,32000,23740,6.89,4860,-5000,-120
2000-03-08,31600,32700,38990,7.04,-3810,3650,160
2000-03-09,32950,31000,67180,6.68,32370,-10910,-21380
2000-03-10,31650,31000,43680,6.68,8260,-8440,180
2000-03-13,31500,31350,152900,6.75,112050,-108740,-1510
2000-03-14,32000,33000,267350,7.11,12840,-19780,1640
2000-03-15,33500,33300,157730,7.17,15720,-9080,-1280
2000-03-16,33000,33700,157570,7.26,7760,-8060,280
2000-03-17,35000,33800,128170,7.28,-30580,29580,900
2000-03-20,33500,31550,75220,6.8,2590,-3290,660
2000-03-21,31550,31300,41910,6.74,-8780,7520,980
2000-03-22,31400,31350,61520,6.75,8830,-9190,360
2000-03-23,31200,30550,66600,6.58,5100,11790,-16690
2000-03-24,30650,30950,65170,6.67,-10400,10360,40
2000-03-27,30500,30100,74620,6.48,33660,-34660,1000
2000-03-28,30100,30500,58890,6.57,6890,-7720,360
2000-03-29,30150,30200,30610,6.51,-6620,7100,-480
2000-03-30,30100,30500,57190,6.57,-8880,8680,260
2000-03-31,30000,30250,51430,6.52,-7180,7560,-400
2000-04-03,30200,30000,24640,6.46,-11410,11930,-440
2000-04-04,29900,29250,29240,6.3,-13890,13070,570
2000-04-06,29750,28300,34180,6.1,6610,-7130,520
2000-04-07,28200,28300,50810,6.1,8980,-9500,520
2000-04-10,28500,28500,40450,6.14,10700,-9790,-460
2000-04-11,28500,28200,25050,6.08,-4210,4230,-20
2000-04-12,28000,27800,37410,5.99,2430,-2130,-400
2000-04-14,27550,27150,34460,5.85,-2570,620,0
2000-04-17,24200,24700,47190,5.32,-23060,28530,-5890
2000-04-18,26600,25000,109350,5.39,50410,-53210,40
2000-04-19,25500,25000,114590,5.39,26360,-24730,-1390
2000-04-20,25400,26800,87420,5.77,-27770,27890,-120
2000-04-21,26050,27000,48910,5.82,7020,-6820,-180
2000-04-24,26500,26050,19100,5.61,-3390,3510,0
2000-04-25,26000,25450,48060,5.48,-3180,3180,0
2000-04-26,25750,24700,32580,5.32,-5240,5100,140
2000-04-27,24700,24500,48850,5.28,-1660,1320,340
2000-04-28,24450,24000,30510,5.17,7910,-9920,2080
2000-05-02,24100,23700,48600,5.11,23360,-14410,-6360
2000-05-03,24000,24000,51650,5.17,14340,5710,-1040
2000-05-04,24500,24900,110540,5.36,13630,-19400,5770
2000-05-08,25900,24600,79690,5.3,20480,-24480,3970
2000-05-09,25500,24550,53220,5.29,19500,-23480,3970
2000-05-10,25000,26950,220900,5.81,-11450,6910,4540
2000-05-12,26950,26100,63180,5.62,-25270,26360,-1080
2000-05-15,26150,27300,140050,5.88,-23660,-50460,74120
2000-05-16,27500,27350,67190,5.89,-7650,3200,4450
2000-05-17,27500,26000,62840,5.6,-16760,-18870,35630
2000-05-18,25100,24900,47420,5.36,-16720,8850,7910
2000-05-19,24250,23200,128140,5,27530,64640,-90990
2000-05-22,23100,22600,53300,4.87,-10450,27890,-17440
2000-05-23,21250,22500,33650,4.85,-11820,16690,-5080
2000-05-24,21800,22500,57630,4.85,2110,29520,-31640
2000-05-25,23000,23400,52420,5.04,15660,-13080,-2300
2000-05-26,23900,24000,65890,5.17,-43420,18880,0
2000-05-29,24000,24600,23560,5.3,-2230,1990,-260
2000-05-30,24300,25500,68140,5.49,-12090,27510,-5420
2000-05-31,26000,25200,102110,5.43,10100,19260,-29360
2000-06-01,25000,25000,33360,5.39,1660,440,-2100
2000-06-02,26000,26600,131770,5.73,-4280,4780,-500
