Symbol,신세계_시가(원),신세계_종가(원),신세계_거래량(주),신세계_PER(IFRS-연결),신세계_순매수수량(개인)(주),신세계_순매수수량(기관계)(주),신세계_순매수수량(외국인계)(주)
2000-01-04,58100,56000,110259,61.46,13159,-11519,-2180
2000-01-05,55300,52400,141267,57.51,57827,-59150,-3737
2000-01-06,56500,50400,155633,55.31,79663,-33320,-44283
2000-01-07,50100,50000,199390,54.87,19500,2160,1070
2000-01-10,52000,57500,291430,63.1,-18260,-16360,50420
2000-01-11,60000,62500,447731,68.59,-112290,12350,94000
2000-01-12,60100,62000,150340,68.04,-34160,-5710,39870
2000-01-13,63900,60100,130865,65.96,7850,-2440,-6740
2000-01-14,61100,59600,119250,65.41,22240,-26370,4130
2000-01-17,60400,62000,142948,68.04,-34230,30820,-10930
2000-01-18,62000,60000,140997,65.85,34300,-39060,12090
2000-01-19,60000,56000,151650,61.46,30630,-13590,-1370
2000-01-20,52300,54000,128236,59.26,11630,43730,-62350
2000-01-21,50200,53400,121090,58.6,19120,16290,-53890
2000-01-24,51100,52500,168575,57.62,33103,15567,-43410
2000-01-25,52000,51100,98350,56.08,-17040,3950,13100
2000-01-26,51100,50500,109280,55.42,730,25160,-25750
2000-01-27,50100,52500,79970,57.62,-18010,20900,-2830
2000-01-28,53000,53900,96690,59.15,-32890,-3490,36660
2000-01-31,52500,54700,77360,60.03,-31560,16430,14820
2000-02-01,56000,55200,94080,60.58,-3930,10930,-7600
2000-02-02,54500,57300,78520,62.88,-26720,34870,-8260
2000-02-03,57500,57000,59060,62.56,-25060,24940,120
2000-02-07,56000,59500,257944,65.3,29920,-6070,-23200
2000-02-08,59700,55000,210820,60.36,78720,-28220,-86300
2000-02-09,55200,55000,187961,60.36,10838,26382,-86220
2000-02-10,55200,53000,359040,58.17,125350,-51150,-121800
2000-02-11,53200,51100,258690,56.08,34140,-43440,-38840
2000-02-14,51300,45500,306810,49.93,133240,-7930,-175160
2000-02-15,46000,43400,249100,47.63,85780,-26170,-88280
2000-02-16,44900,45000,203260,49.39,6270,16920,-24520
2000-02-17,46000,51700,220870,56.74,-41890,-7120,15980
2000-02-18,52700,50200,279870,55.09,-38540,33530,7030
2000-02-21,48000,47000,133500,51.58,-26050,32110,-8360
2000-02-22,45500,46300,141650,50.81,-8310,30760,-18910
2000-02-23,47000,47550,122850,52.18,28960,-8330,-21630
2000-02-24,48000,49000,171104,53.78,6780,51140,-58030
2000-02-25,48500,50900,352050,55.86,-47500,26270,11960
2000-02-28,49150,45500,110400,49.93,-32040,28020,3930
2000-02-29,47100,46500,107891,51.03,23830,-4560,-3270
2000-03-02,46550,47400,151033,52.02,13935,24290,-38225
2000-03-03,47500,45450,151437,49.88,50400,-3820,-36510
2000-03-06,47100,48300,250361,53.01,-18920,36200,-16890
2000-03-07,50000,50500,220241,55.42,-46607,43770,2767
2000-03-08,49000,50300,121460,55.2,-23110,25610,-1110
2000-03-09,49500,48100,209010,52.79,74320,-1100,-72450
2000-03-10,49800,47000,117650,51.58,29340,-27980,-1360
2000-03-13,45200,47500,182648,52.13,12750,17788,-42498
2000-03-14,46200,46900,71408,51.47,-14680,12010,-7330
2000-03-15,45600,45000,98830,49.39,32260,-8160,-24040
2000-03-16,47500,45100,82240,49.5,-1220,12070,-11150
2000-03-17,46800,46000,109790,50.48,-3100,-8780,11780
2000-03-20,45050,44700,50320,49.06,-6760,5510,910
2000-03-21,44500,44100,62230,48.4,-3930,2470,1160
2000-03-22,44900,45200,103400,49.61,21840,-30860,4220
2000-03-23,45000,44000,61220,48.29,12460,-17840,4260
2000-03-24,44000,44500,100310,48.84,10250,-13870,3620
2000-03-27,44200,44400,69260,48.73,3440,-3440,0
2000-03-28,44900,44500,132170,48.84,7010,1870,-18880
2000-03-29,44200,44500,157990,48.84,-3270,-4990,760
2000-03-30,46500,45600,318430,50.04,78940,-15700,-39960
2000-03-31,46000,48000,161430,52.68,-44440,43480,280
2000-04-03,47000,46000,228380,50.48,-70570,9710,76470
2000-04-04,45250,44900,85125,49.28,-28650,18620,9730
2000-04-06,43550,42050,130810,46.15,13500,-17650,4800
2000-04-07,42100,41000,185460,45,104150,-105130,980
2000-04-10,42500,41700,276210,45.76,104600,-129680,24560
2000-04-11,41800,41950,167840,46.04,3170,-4290,-580
2000-04-12,41500,42500,321320,46.64,-16760,-2490,-900
2000-04-14,42100,41200,193410,45.22,58440,15060,-71000
2000-04-17,39000,40000,355360,43.9,-139570,13980,136800
2000-04-18,42100,42000,215320,46.09,-31180,29000,-13260
2000-04-19,42600,41600,196250,45.65,-6750,4230,-4160
2000-04-20,41800,42000,192180,46.09,4620,-10410,-210
2000-04-21,42500,43800,215600,48.07,-69850,70180,-310
2000-04-24,44500,43000,102340,47.19,1000,-640,-290
2000-04-25,42100,43500,106870,47.74,-29790,3570,-700
2000-04-26,43500,42000,92870,46.09,-33810,28570,10140
2000-04-27,42500,41400,105320,45.44,-5760,11800,-7540
2000-04-28,41500,41700,92160,45.76,-10470,6360,4210
2000-05-02,42100,42200,91990,46.31,-3380,7720,-2010
2000-05-03,42000,42350,66290,46.48,-12070,13800,-1730
2000-05-04,41600,41600,99210,45.65,2710,12220,-4930
2000-05-08,41800,42200,85800,46.31,27130,-21010,-5120
2000-05-09,42900,44300,276870,48.62,-2540,8880,370
2000-05-10,44000,44200,106020,48.51,-11120,14750,-8960
2000-05-12,43600,42900,80940,47.08,-9440,32610,-23170
2000-05-15,41700,41300,62360,45.33,-14720,19590,-4870
2000-05-16,41000,40800,93990,44.78,27410,-170,-26820
2000-05-17,41500,40000,83680,43.9,-21850,1160,20690
2000-05-18,38100,35000,146170,38.41,36320,-13720,-22720
2000-05-19,34300,34000,133590,37.31,40590,-36380,-4210
