Symbol,쌍용양회_시가(원),쌍용양회_종가(원),쌍용양회_거래량(주),쌍용양회_PER(IFRS-연결),쌍용양회_순매수수량(개인)(주),쌍용양회_순매수수량(기관계)(주),쌍용양회_순매수수량(외국인계)(주)
2000-01-04,2790,3055,932000,,1480,-15000,-3870
2000-01-05,3000,2900,785590,,1840,-19100,17260
2000-01-06,2990,2850,1002650,,35210,-34740,0
2000-01-07,2860,2870,742250,,-66510,64440,5140
2000-01-10,2970,2880,826510,,-84550,72760,9890
2000-01-11,2880,2795,761300,,14940,-23150,5230
2000-01-12,2750,2600,719550,,88770,-84970,-3800
2000-01-13,2570,2450,1305730,,160500,-121850,-41250
2000-01-14,2460,2440,910260,,62030,-60230,4200
2000-01-17,2450,2350,733090,,62740,-65430,2690
2000-01-18,2310,2280,1233710,,106990,-103930,-3060
2000-01-19,2245,2105,1283980,,198370,-134020,-14130
2000-01-20,2100,2130,1183920,,-32010,28460,3550
2000-01-21,2110,2160,1117000,,154590,-139880,-9680
2000-01-24,2095,2220,1485960,,6760,-12580,5820
2000-01-25,2200,2160,677100,,7930,-9050,0
2000-01-26,2150,2380,2143020,,-11850,1850,0
2000-01-27,2590,2735,3867680,,-23890,8840,-1020
2000-01-28,2890,2670,3466020,,41480,-12400,-5860
2000-01-31,2600,2710,2488760,,153220,-32790,-112530
2000-02-01,2720,2590,1852200,,101500,-11750,-89750
2000-02-02,2510,2605,1417300,,-31560,31560,0
2000-02-03,2750,2810,2822830,,14560,-4560,-5000
2000-02-07,2810,2750,1605490,,16660,-29370,12530
2000-02-08,2710,2635,1127240,,-13280,12920,360
2000-02-09,2580,2520,1048420,,34040,-40310,20
2000-02-10,2435,2300,1167250,,148910,-147110,-22430
2000-02-11,2200,2360,1624800,,21520,-26000,640
2000-02-14,2310,2260,992790,,-34430,26530,7900
2000-02-15,2200,2200,1015000,,1420,-36970,35550
2000-02-16,2300,2285,988620,,-33360,23660,10620
2000-02-17,2300,2265,766690,,-26880,13040,10160
2000-02-18,2280,2200,1030860,,62560,-56760,-3960
2000-02-21,2175,2085,2181480,,11500,-1620,-10880
2000-02-22,2170,2175,2879280,,-5980,9440,-3180
2000-02-23,2250,2490,2420150,,89360,-74400,-14140
2000-02-24,2350,2260,1305280,,4970,-920,-4050
2000-02-25,2260,2275,1549830,,-15650,15790,-320
2000-02-28,2250,2270,1578120,,-29820,32550,12270
2000-02-29,2310,2260,1241130,,8730,-16600,17870
2000-03-02,2320,2590,3201160,,-160310,-69680,19780
2000-03-03,2550,2500,5054060,,291080,-74190,-5760
2000-03-06,2590,2590,3015430,,-96320,81860,160
2000-03-07,2610,2700,2560330,,-14270,18970,-1180
2000-03-08,2570,2580,1603640,,-8520,9260,-820
2000-03-09,2650,2690,4023780,,290480,-61950,-215850
2000-03-10,2900,2720,2225630,,16320,-22860,1440
2000-03-13,2740,3040,3963620,,185370,-156310,-20250
2000-03-14,3040,2880,2205610,,9570,-15230,6550
2000-03-15,2830,2635,1751510,,7040,-770,-5690
2000-03-16,2650,2470,1988520,,50,43360,-1040
2000-03-17,2500,2480,1802280,,-11300,52120,8880
2000-03-20,2500,2530,2051690,,-25110,18380,5850
2000-03-21,2560,2475,1551850,,-25320,20320,3200
2000-03-22,2520,2500,1480670,,-49820,1460,45360
2000-03-23,2500,2875,3913670,,5260,-43140,6380
2000-03-24,2840,2650,6344070,,220480,16770,8700
2000-03-27,2735,2655,2275270,,254790,-111460,10
2000-03-28,2700,2850,4940620,,166710,-52120,3710
2000-03-29,2860,2750,7270040,,135000,-31990,-1760
2000-03-30,2930,2810,4930650,,174520,-154880,-150
2000-03-31,2810,2600,4425430,,168260,-89900,-9320
2000-04-03,2610,2515,2971440,,-25620,52360,-23380
2000-04-04,2575,2480,2448850,,-101790,86890,12650
2000-04-06,2470,2465,3265870,,-61680,-6490,18520
2000-04-07,2470,2410,2017680,,-50630,810,-300
2000-04-10,2460,2770,5657350,,236890,-139880,16320
2000-04-11,2770,2560,3359810,,25490,-38330,840
2000-04-12,2580,2590,2134620,,58070,-55090,-3320
2000-04-14,2600,2545,2064210,,45330,-43240,-2000
2000-04-17,2165,2165,1954610,,-162180,96690,11750
2000-04-18,2340,2270,1407790,,152150,-85350,760
2000-04-19,2310,2295,2090370,,-152080,-42700,-3040
2000-04-20,2230,2240,1320140,,6200,-5060,-1140
2000-04-21,2250,2260,980630,,9540,-7610,-1900
2000-04-24,2250,2210,913930,,7100,-6320,0
2000-04-25,2315,2360,3269370,,190220,13770,0
2000-04-26,2370,2390,7319210,,-8900,9340,910
2000-04-27,2500,2210,3032570,,-83150,79770,3380
2000-04-28,2220,2215,1805810,,8970,-20190,12220
2000-05-02,2160,2170,1695440,,81880,-74970,-6910
2000-05-03,2150,2165,1530440,,82790,-13150,-27010
2000-05-04,2145,2175,1101370,,2740,-1870,-500
2000-05-08,2180,2160,1392080,,7450,-27720,-3000
2000-05-09,2210,2230,2741730,,-11260,-5000,-12640
2000-05-10,2230,2140,1927770,,467010,-331800,-188530
2000-05-12,2110,2055,1620520,,1380,6340,-7830
2000-05-15,2010,1865,1371310,,-82240,-1980,-4440
2000-05-16,1850,1870,879040,,11650,1790,-2040
2000-05-17,1810,1595,1824410,,-145670,-2590,-1740
2000-05-18,1500,1385,1516550,,30070,12330,-270
2000-05-19,1385,1470,2198950,,334870,-259240,5710
2000-05-22,1570,1370,1250480,,13090,-10530,-7120
2000-05-23,1300,1340,1748610,,9410,7170,14610
2000-05-24,1265,1470,2415950,,53860,-52830,-420
2000-05-25,1470,1610,3447640,,51210,-45850,-3200
2000-05-26,1530,1375,1928380,,-156950,-2120,20070
2000-05-29,1250,1375,2296980,,59550,15740,-7490
2000-05-30,1410,1440,1726760,,126360,-36690,-93100
2000-05-31,1520,1495,3772380,,209720,-159570,-35400
2000-06-01,1470,1400,1864090,,48370,580,-50060
2000-06-02,1450,1420,2812980,,110530,-187860,107130
2000-06-05,1595,1630,1738950,,68900,-7590,0
2000-06-07,1870,1870,1704730,,151200,-1990,-2210
2000-06-08,2150,2150,7093140,,208450,-3910,-99860
2000-06-09,1900,2155,12041220,,4620,5860,140
2000-06-12,2100,2150,4356020,,40480,-7000,160
2000-06-13,2120,1850,2910510,,-95140,11690,10000
2000-06-14,1900,1950,7679570,,337840,-8040,0
2000-06-15,2000,1660,3435830,,191010,-10870,-10000
2000-06-16,1460,1460,5475620,,-7950,7000,420
2000-06-19,1410,1395,3441560,,31180,19550,0
2000-06-20,1400,1450,2755070,,85410,-8490,-78020
2000-06-21,1430,1490,4370600,,18110,-16590,-420
2000-06-22,1500,1460,4479080,,-6540,4640,700
2000-06-23,1445,1460,3223630,,-100880,2030,690
2000-06-26,1450,1475,4426380,,47980,50820,560
2000-06-27,1485,1570,5139470,,-172490,17230,-4470
2000-06-28,1630,1650,7802340,,-261860,14570,12230
2000-06-29,1740,1585,3427870,,24200,-26020,-22070
2000-06-30,1600,1585,2348240,,-13100,-3060,500
2000-07-03,1590,1575,1831900,,-29930,16280,-4800
2000-07-04,1565,1565,3261590,,-7850,-4550,1500
2000-07-05,1555,1515,2154680,,-5230,14580,0
2000-07-06,1620,1590,4311640,,30250,6100,0
2000-07-07,1630,1680,6051600,,-28730,49630,-1860
2000-07-10,1720,1665,3140890,,-41490,4030,-11230
2000-07-11,1680,1670,6164980,,-85060,20060,10720
2000-07-12,1680,1645,2478020,,26150,25850,50430
2000-07-13,1655,1615,2312020,,-58940,-39520,-1960
2000-07-14,1600,1600,1741030,,8410,-11470,0
2000-07-18,1515,1505,1922110,,-23150,12150,0
2000-07-19,1470,1470,1321520,,-53850,47390,6460
2000-07-20,1410,1430,1601130,,-40300,38050,5250
2000-07-21,1470,1445,1214560,,-106850,4330,49290
2000-07-24,1430,1375,1205970,,-65290,46150,2370
2000-07-25,1385,1380,1532740,,-66990,48490,13930
2000-07-26,1350,1385,1220310,,13970,-28460,5800
2000-07-27,1380,1370,1046920,,-59110,17530,-690
