Symbol,쌍용차_시가(원),쌍용차_종가(원),쌍용차_거래량(주),쌍용차_PER(IFRS-연결),쌍용차_순매수수량(개인)(주),쌍용차_순매수수량(기관계)(주),쌍용차_순매수수량(외국인계)(주)
2000-01-04,870,985,903250,,0,0,0
2000-01-05,985,985,1475910,,1960,-1960,0
2000-01-06,1050,940,763990,,810,-810,0
2000-01-07,970,940,834550,,20,-20,0
2000-01-10,910,910,1087450,,0,0,0
2000-01-11,910,865,893330,,550,-1550,900
2000-01-12,865,990,1660440,,7790,-4660,-3130
2000-01-13,995,970,1814560,,16200,-20,-16180
2000-01-14,940,910,895760,,20,0,80
2000-01-17,920,885,1357970,,0,0,0
2000-01-18,890,855,527080,,80,-80,0
2000-01-19,830,835,1497870,,2040,-1100,-940
2000-01-20,850,845,1549450,,10,-10,0
2000-01-21,840,860,2103560,,730,-730,0
2000-01-24,975,985,2190700,,1000,0,-1000
2000-01-25,980,920,4703000,,-900,-100,1000
2000-01-26,970,900,1279730,,-450,-50,500
2000-01-27,860,910,1386940,,-2040,-10,2050
2000-01-28,910,910,1094470,,900,0,-900
2000-01-31,910,895,1229380,,40,-40,0
2000-02-01,900,905,1799680,,-1460,0,1460
2000-02-02,910,895,706010,,0,0,0
2000-02-03,890,905,1004800,,0,0,0
2000-02-07,900,905,683870,,0,0,0
2000-02-08,895,860,657230,,1000,0,-1000
2000-02-09,860,830,507250,,0,0,0
2000-02-10,840,790,671460,,650,-650,0
2000-02-11,770,775,926140,,-1000,0,1000
2000-02-14,765,760,591730,,0,0,0
2000-02-15,750,740,911120,,3110,-10,-3100
2000-02-16,770,790,1231370,,20,-20,0
2000-02-17,790,790,0,,0,0,0
2000-02-18,790,790,0,,0,0,0
2000-02-21,790,790,0,,0,0,0
2000-02-22,790,790,0,,0,0,0
2000-02-23,790,790,0,,0,0,0
2000-02-24,790,790,0,,0,0,0
2000-02-25,790,790,0,,0,0,0
2000-02-28,790,790,0,,0,0,0
2000-02-29,790,790,0,,0,0,0
2000-03-02,790,790,0,,0,0,0
2000-03-03,790,790,0,,0,0,0
2000-03-06,790,790,0,,0,0,0
2000-03-07,790,790,0,,0,0,0
2000-03-08,3675,3400,272400,,-46560,0,46300
2000-03-09,3350,3120,335630,,1070,-140,-980
2000-03-10,3000,2720,437060,,-240,-220,770
2000-03-13,2700,2900,335500,,630,-630,0
2000-03-14,2910,2745,225500,,80,-80,0
2000-03-15,2560,2950,338320,,-4830,-170,0
2000-03-16,2750,2710,309100,,47970,-70,-47900
2000-03-17,2750,2750,178400,,1250,-1250,0
2000-03-20,3160,3160,361200,,80,-80,0
2000-03-21,3160,2895,805910,,10,-10,0
2000-03-22,2760,2800,370590,,100,-100,0
2000-03-23,2860,2710,194800,,40,-40,0
2000-03-24,2700,2700,284840,,110,-110,0
2000-03-27,2630,2610,136640,,2160,-10,0
2000-03-28,2700,2620,183320,,90,-90,0
2000-03-29,2600,2550,164200,,5480,-480,0
2000-03-30,2550,2400,144900,,390,-390,0
2000-03-31,2430,2400,97290,,80,-80,0
2000-04-03,2490,2300,194950,,40,-40,0
2000-04-04,2270,2140,96700,,20,-20,0
2000-04-06,2050,2130,74640,,20,-20,0
2000-04-07,2245,2130,87260,,10,-10,0
2000-04-10,2150,2230,122280,,-4760,90,18300
2000-04-11,2285,2340,200220,,-9250,-120,9370
2000-04-12,2340,2300,55490,,-7360,-10,7370
2000-04-14,2300,2350,73300,,-29960,-40,30000
2000-04-17,2300,2000,117470,,-110,110,0
2000-04-18,2150,2130,124270,,480,-480,0
2000-04-19,2130,2100,110730,,10,-10,0
2000-04-20,2000,2150,153810,,20,-20,0
2000-04-21,2155,2150,60940,,100,-100,0
2000-04-24,2300,2125,122780,,0,0,0
2000-04-25,2105,2100,62230,,10,-10,0
2000-04-26,2100,1955,91140,,20,-20,0
2000-04-27,1865,1890,72460,,40,-40,0
2000-04-28,1860,1900,53120,,30,-30,0
2000-05-02,1810,2010,82210,,60,-60,0
2000-05-03,1960,1955,55500,,0,0,0
2000-05-04,1955,1950,52640,,150,-150,0
2000-05-08,2000,2095,140650,,1470,-60,-1410
2000-05-09,2145,2015,94160,,20,-20,0
2000-05-10,2035,2315,463410,,-123360,-30,115670
2000-05-12,2350,2660,473850,,-158160,-60,159440
2000-05-15,2845,3055,460040,,-65640,-80,65720
2000-05-16,3270,3000,531820,,-83830,-45460,135790
2000-05-17,3000,2690,227070,,-66660,-240,66900
2000-05-18,2370,2300,126440,,-39970,-30,40000
2000-05-19,2200,2400,99830,,30,-30,0
2000-05-22,2210,2265,91290,,60,-60,0
2000-05-23,2000,2040,108660,,10,-10,0
2000-05-24,2010,2280,161440,,70,-70,0
2000-05-25,2300,2370,195980,,100,-100,0
2000-05-26,2295,2110,103900,,7530,-10,-7520
2000-05-29,2110,2210,83940,,30,-30,0
2000-05-30,2140,2220,74570,,430,-430,0
2000-05-31,2190,2300,129610,,60,-60,0
2000-06-01,2240,2240,70220,,-4990,-10,0
2000-06-02,2350,2300,129560,,80,-80,0
2000-06-05,2250,2540,319540,,70,-70,0
2000-06-07,2160,2400,184390,,10,-10,0
2000-06-08,2450,2300,123370,,-3610,-60,970
2000-06-09,2350,2645,226580,,1190,-310,-880
2000-06-12,2940,2800,568570,,-8760,-40,0
2000-06-13,2830,2640,242490,,3050,-40,0
2000-06-14,2600,2450,213610,,73920,-30,-75960
2000-06-15,2440,2150,257310,,149630,0,-149630
2000-06-16,2000,2250,325710,,150060,-40,-134460
2000-06-19,2250,2200,241860,,73310,-190,-73120
2000-06-20,2155,2180,219010,,70870,-80,-70790
2000-06-21,2185,2230,223350,,80390,-10,-80380
2000-06-22,2200,2230,144150,,47170,-10,-47160
2000-06-23,2300,2560,592410,,60260,-60,-60200
2000-06-26,2700,2600,572000,,930,-930,0
2000-06-27,2650,2410,444490,,980,7940,0
2000-06-28,2500,2450,260990,,-2250,-2050,4300
2000-06-29,2815,2815,162100,,6030,-6030,0
2000-06-30,3235,2650,1792910,,9980,-40,-9940
2000-07-03,2600,2545,483440,,60,-60,0
2000-07-04,2580,2400,373930,,290,-290,0
2000-07-05,2590,2570,591400,,-6880,-20,6900
2000-07-06,2590,2510,261450,,6920,-20,-6900
2000-07-07,2415,2500,287580,,-100,-40,0
2000-07-10,2500,2480,507160,,20,-20,0
2000-07-11,2565,2420,306500,,70,-70,0
2000-07-12,2450,2410,155230,,80,-100,0
2000-07-13,2410,2400,128640,,10,-10,0
2000-07-14,2400,2440,226630,,4490,-4490,0
2000-07-18,2405,2355,94350,,30,-30,0
2000-07-19,2340,2320,822210,,-3430,-20,3450
2000-07-20,2380,2225,245820,,360,-40,-320
2000-07-21,2200,2215,146230,,2090,0,-2000
2000-07-24,2235,2100,107550,,0,0,0
2000-07-25,1940,2050,110530,,10,-10,0
2000-07-26,1950,2035,89850,,-3890,-10,3900
2000-07-27,2010,2030,75790,,-420,-10,500
2000-07-28,2055,2050,114870,,0,0,0
2000-07-31,1990,2050,80180,,10,-10,0
2000-08-01,2020,2100,103060,,5310,-1310,-4000
2000-08-02,2100,2100,73830,,410,-410,0
2000-08-03,2140,2120,79660,,1620,-90,-1530
2000-08-04,2120,2160,94040,,-2700,0,2700
2000-08-07,2140,2120,37980,,2700,0,-2700
2000-08-08,2120,2145,51110,,-4780,-20,4800
2000-08-09,2200,2165,74820,,-2980,-20,3000
2000-08-10,2260,2350,171570,,-2620,-80,2700
2000-08-11,2380,2380,170270,,4620,-1060,-3560
2000-08-14,2395,2340,209300,,4630,-40,-4590
2000-08-16,2340,2255,187450,,-130,1480,-1350
2000-08-17,2255,2590,523040,,-11800,-1520,13320
2000-08-18,2700,2360,427600,,4040,-40,-4000
2000-08-21,2365,2305,166060,,0,0,0
2000-08-22,2300,2315,96570,,6520,-20,-6500
2000-08-23,2270,2290,82490,,260,-260,0
2000-08-24,2270,2280,156990,,-7990,-10,8000
2000-08-25,2280,2480,341480,,5890,-20,-5870
2000-08-28,2480,2395,119990,,30,-30,0
2000-08-29,2360,2400,200020,,6430,-50,-6380
2000-08-30,2415,2400,97790,,30,-30,0
2000-08-31,2450,2350,81120,,0,0,0
2000-09-01,2305,2300,105350,,10,-10,0
2000-09-04,2300,2210,96840,,30,-30,0
2000-09-05,2200,2140,108880,,20,-20,0
2000-09-06,2110,2180,86320,,10,-10,0
2000-09-07,2120,2150,115780,,50,-50,0
2000-09-08,2140,2120,98440,,20,-20,0
2000-09-14,2240,2300,186720,,20,-20,0
2000-09-15,2240,1955,325920,,130,-30,-100
2000-09-18,1665,1665,125700,,0,0,0
2000-09-19,1450,1450,306260,,160,-160,0
2000-09-20,1480,1570,232780,,20,-20,0
2000-09-21,1500,1490,152050,,0,0,0
2000-09-22,1540,1435,161330,,20,-20,0
2000-09-25,1385,1420,119800,,0,0,0
2000-09-26,1390,1380,273710,,0,0,0
2000-09-27,1300,1410,270650,,0,0,0
2000-09-28,1500,1430,115240,,3510,-3510,0
2000-09-29,1450,1460,119280,,10,-10,0
2000-10-02,1470,1375,86250,,5700,0,-5700
2000-10-04,1375,1375,177100,,-1700,0,0
2000-10-05,1430,1370,152610,,1670,-10,0
2000-10-06,1360,1330,149140,,-30,-30,100
2000-10-09,1525,1525,32800,,40,-40,0
2000-10-10,1750,1460,590770,,-1390,990,400
2000-10-11,1400,1360,216330,,50,-50,0
2000-10-12,1360,1360,100030,,760,-760,0
2000-10-13,1235,1300,87930,,0,0,0
2000-10-16,1310,1325,106150,,0,0,0
2000-10-17,1310,1205,69130,,30,-30,0
2000-10-18,1250,1230,104520,,10,-10,0
