Symbol,아모레G_시가(원),아모레G_종가(원),아모레G_거래량(주),아모레G_PER(IFRS-연결),아모레G_순매수수량(개인)(주),아모레G_순매수수량(기관계)(주),아모레G_순매수수량(외국인계)(주)
2000-01-04,19250,19650,48710,3.22,19460,-25590,5860
2000-01-05,19900,20800,56610,3.41,10180,-8180,0
2000-01-06,20500,20000,161690,3.28,-9010,6050,0
2000-01-07,20100,20400,28200,3.34,-6490,3770,2720
2000-01-10,20500,20400,48160,3.34,2370,17220,-19820
2000-01-11,20600,20300,52880,3.32,13000,-9790,-3490
2000-01-12,20500,20300,48390,3.32,5460,-3470,-1990
2000-01-13,20000,21300,101990,3.49,-24580,9320,14860
2000-01-14,21200,20400,27770,3.34,2370,-2730,360
2000-01-17,20500,20350,59360,3.33,14680,28270,-37950
2000-01-18,20050,20000,95280,3.28,260,5900,-160
2000-01-19,20000,19000,42790,3.11,-7830,-3520,12380
2000-01-20,19000,19000,51430,3.11,-13690,-4980,18670
2000-01-21,18650,20000,47940,3.28,-14460,-15670,30600
2000-01-24,20200,20000,37320,3.28,-600,-20950,21550
2000-01-25,20450,19900,14110,3.26,-9020,-2440,11460
2000-01-26,20300,20900,55940,3.42,-14730,-21170,35900
2000-01-27,21200,21250,39370,3.48,-5870,10230,80
2000-01-28,21650,21000,24930,3.44,-5880,5550,490
2000-01-31,20600,20700,23320,3.39,3130,-2330,-800
2000-02-01,20650,21000,43470,3.44,-8260,28480,-60
2000-02-02,21500,22500,26690,3.68,-20990,20990,0
2000-02-03,22500,22600,28320,3.7,-18810,4310,5900
2000-02-07,22600,21500,27160,3.52,5940,-7270,1320
2000-02-08,21400,21650,27150,3.55,-17840,17510,170
2000-02-09,21650,20900,44940,3.42,12420,-19420,0
2000-02-10,20250,19500,41130,3.19,25130,-22570,0
2000-02-11,20000,19400,30080,3.18,10850,-10930,0
2000-02-14,19150,19100,25070,3.13,9320,140,-9460
2000-02-15,19500,18500,31440,3.03,10290,-3240,-8050
2000-02-16,18100,17700,81860,2.9,35350,-7950,-27820
2000-02-17,17700,17500,152510,2.87,66510,-51520,-6640
2000-02-18,17300,17150,75580,2.81,18140,-38730,-910
2000-02-21,16550,15400,46340,2.52,8380,-14090,-360
2000-02-22,15000,15700,249130,2.57,29940,33650,750
2000-02-23,16000,17000,69290,2.78,-1520,2160,-470
2000-02-24,16800,17500,133180,2.87,-38110,32950,5160
2000-02-25,17900,17500,53840,2.87,-14520,9510,0
2000-02-28,17900,18200,59930,2.98,960,11870,-17830
2000-02-29,18750,17900,22020,2.93,-11520,6210,1560
2000-03-02,17800,17950,39030,2.94,-1300,-18940,4240
2000-03-03,18400,16700,34690,2.73,-80,-13750,-1560
2000-03-06,17100,18250,40840,2.99,-8210,3370,0
2000-03-07,18000,19350,52450,3.17,-12100,12630,-330
2000-03-08,18300,20300,48010,3.32,-6340,7090,-110
2000-03-09,19200,17500,54350,2.87,20130,-11140,-19110
2000-03-10,18500,19500,31480,3.19,-8630,6590,0
2000-03-13,19600,21000,96770,3.44,14410,-12590,-1810
2000-03-14,21000,20950,54500,3.43,-3870,4000,-130
