Symbol,아이에스동서_시가(원),아이에스동서_종가(원),아이에스동서_거래량(주),아이에스동서_PER(IFRS-연결),아이에스동서_순매수수량(개인)(주),아이에스동서_순매수수량(기관계)(주),아이에스동서_순매수수량(외국인계)(주)
2000-01-04,3515,3900,13620,,-1790,-210,0
2000-01-05,3900,3800,67310,,-150,150,0
2000-01-06,3700,3650,7690,,-1180,180,0
2000-01-07,3520,3640,14740,,-2330,330,0
2000-01-10,3410,3600,15160,,-1490,-510,0
2000-01-11,3455,3460,5340,,60,-60,0
2000-01-12,3500,3530,18140,,-1900,-100,0
2000-01-13,3540,3270,28380,,-100,100,0
2000-01-14,3280,3410,45210,,200,-200,0
2000-01-17,3220,3410,23980,,100,-100,0
2000-01-18,3350,3240,40690,,-1210,1210,0
2000-01-19,3150,3030,50590,,-1380,-620,0
2000-01-20,2725,3000,7880,,20,-20,0
2000-01-21,2625,3070,35410,,750,-750,0
2000-01-24,2810,3050,43420,,-980,-20,0
2000-01-25,2855,2870,14020,,-1140,140,0
2000-01-26,2865,3000,18020,,-1350,-150,0
2000-01-27,2610,3095,28140,,-1080,80,0
2000-01-28,3100,3150,36320,,-1890,890,0
2000-01-31,3155,3150,14440,,-1880,-120,0
2000-02-01,3050,3155,17110,,-830,-170,0
2000-02-02,3160,3130,26190,,110,-110,0
2000-02-03,3135,3150,28140,,-980,980,0
2000-02-07,3100,3030,24440,,390,-390,0
2000-02-08,3005,2955,28900,,-1280,280,0
2000-02-09,2900,2900,48420,,670,-670,0
2000-02-10,2805,2815,40460,,310,-310,0
2000-02-11,2990,2765,37960,,110,-110,0
2000-02-14,2715,2650,14860,,0,0,0
2000-02-15,2540,2400,43670,,11830,-11830,0
2000-02-16,2350,2480,39890,,25690,-25690,0
2000-02-17,2430,2430,26500,,-1850,-150,0
2000-02-18,2410,2300,89410,,53350,-53350,0
2000-02-21,2205,2060,22940,,-50,50,0
2000-02-22,1760,1900,76250,,30180,-30180,0
2000-02-23,1820,2185,98110,,48550,-48550,0
2000-02-24,2350,2220,22080,,680,-680,0
2000-02-25,2050,2220,64800,,35450,-45450,0
2000-02-28,2420,2550,71110,,14640,-27640,0
2000-02-29,2680,2930,68430,,10,-10,0
2000-03-02,3130,3365,156540,,39200,-39200,0
2000-03-03,3600,3500,144510,,1280,-11280,0
2000-03-06,3700,3400,83120,,40,-40,0
2000-03-07,3500,3300,80910,,9000,0,0
2000-03-08,3400,3080,60770,,30,-30,0
2000-03-09,3080,3540,122690,,10910,-10,0
2000-03-10,4070,3680,140190,,820,-820,0
2000-03-13,3450,4080,139970,,60,-60,0
2000-03-14,4000,3855,113150,,70,-70,0
2000-03-15,4000,3505,54020,,10,-10,0
2000-03-16,3505,3250,46340,,30,-30,0
2000-03-17,3250,3400,55830,,-3480,-20,0
2000-03-20,3250,3400,45920,,-2000,0,0
2000-03-21,3300,3155,38380,,0,0,0
2000-03-22,3100,3025,68450,,10,-10,0
2000-03-23,3000,2970,51560,,-2000,0,0
2000-03-24,3090,3415,153830,,0,0,0
2000-03-27,3440,3925,224090,,-870,-20,890
2000-03-28,3900,3750,97140,,-2670,-130,0
2000-03-29,3760,3350,64160,,-850,-150,0
2000-03-30,3400,3350,28320,,0,0,0
2000-03-31,3220,3190,50120,,-990,-10,0
2000-04-03,3100,3400,32810,,-1990,-10,0
2000-04-04,3300,3100,37600,,-1490,-10,0
2000-04-06,3050,3000,21600,,0,0,0
