Symbol,에스엘_시가(원),에스엘_종가(원),에스엘_거래량(주),에스엘_PER(IFRS-연결),에스엘_순매수수량(개인)(주),에스엘_순매수수량(기관계)(주),에스엘_순매수수량(외국인계)(주)
2000-01-04,25500,26500,2860,3.48,-1420,1420,0
2000-01-05,27000,22700,19770,2.98,17080,-17080,0
2000-01-06,23750,21600,13480,2.84,9250,-9250,0
2000-01-07,21750,23500,8990,3.09,-180,180,0
2000-01-10,23500,25000,6950,3.28,320,-320,0
2000-01-11,24000,24500,10530,3.22,3100,-3600,0
2000-01-12,24050,24800,5860,3.26,-1910,-1090,3000
2000-01-13,25000,26450,5150,3.47,-2790,2790,0
2000-01-14,26500,25600,2540,3.36,0,0,0
2000-01-17,25900,27500,3880,3.61,-2940,2940,0
2000-01-18,25500,26900,1570,3.53,-90,90,0
2000-01-19,27400,25500,2190,3.35,-500,500,0
2000-01-20,25500,26800,3110,3.52,-1650,1650,0
2000-01-21,22900,26800,710,3.52,-350,350,0
2000-01-24,25000,28200,7030,3.7,-2390,2390,0
2000-01-25,29200,28550,720,3.75,-500,500,0
2000-01-26,28650,30000,23790,3.94,-1880,1880,0
2000-01-27,30000,32000,7780,4.2,-4560,4560,0
2000-01-28,32000,31900,410,4.19,-240,240,0
2000-01-31,30550,31500,350,4.14,-130,130,0
2000-02-01,29000,31100,1440,4.08,-600,600,0
2000-02-02,32500,29600,730,3.89,-500,500,0
2000-02-03,32900,30000,480,3.94,0,0,0
2000-02-07,32000,31950,230,4.2,0,0,0
2000-02-08,28500,28700,670,3.77,0,0,0
2000-02-09,31500,31000,13460,4.07,490,-490,0
2000-02-10,31000,29500,430,3.87,0,0,0
2000-02-11,25500,25500,3090,3.35,1020,-1020,0
2000-02-14,25500,25400,4370,3.34,4300,-4300,0
2000-02-15,24900,25500,2580,3.35,130,-130,0
2000-02-16,26000,27500,740,3.61,0,0,0
2000-02-17,23600,29000,900,3.81,0,0,0
2000-02-18,28450,26650,5670,3.5,10,-10,0
2000-02-21,30050,25900,3300,3.4,1610,-1610,0
2000-02-22,25300,26200,3370,3.44,2090,-2090,0
2000-02-23,25600,26600,2480,3.49,200,-200,0
2000-02-24,26600,26850,3690,3.53,230,-230,0
2000-02-25,28800,26950,630,3.54,0,0,0
2000-02-28,28500,26000,810,3.41,180,-180,0
2000-02-29,27000,25600,3550,3.36,2800,-2800,0
2000-03-02,25800,27800,730,3.65,0,0,0
2000-03-03,27700,25700,4010,3.37,270,-270,0
2000-03-06,27500,28200,1400,3.7,20,-20,0
2000-03-07,27100,26550,1240,3.49,-80,80,0
2000-03-08,26550,26250,1500,3.45,0,0,0
2000-03-09,26200,26600,8470,3.49,5680,-5680,0
2000-03-10,27600,26700,4990,3.51,400,-400,0
