Symbol,에스원_시가(원),에스원_종가(원),에스원_거래량(주),에스원_PER(IFRS-연결),에스원_순매수수량(개인)(주),에스원_순매수수량(기관계)(주),에스원_순매수수량(외국인계)(주)
2000-01-04,18150,21450,827220,59.53,-36570,-75840,123460
2000-01-05,20500,19650,515508,54.53,104590,-90760,-18230
2000-01-06,20500,19000,445542,52.73,-27610,12160,200
2000-01-07,18800,18800,508348,52.17,63210,-4210,-59000
2000-01-10,19250,19000,502660,52.73,-93570,76620,-450
2000-01-11,19050,19900,842060,55.23,-154730,37370,-490
2000-01-12,19150,19400,351180,53.84,-90390,117630,-27240
2000-01-13,19550,19700,319210,54.67,-39630,-24150,60300
2000-01-14,19800,18800,272570,52.17,-6460,8680,-4720
2000-01-17,18500,18600,445400,51.62,-42650,96300,-65650
2000-01-18,18600,18400,423540,51.06,-63560,44560,-6000
2000-01-19,17800,16200,388880,44.96,14330,-7960,-6370
2000-01-20,15800,15150,355470,42.04,40040,-39340,-1700
2000-01-21,14900,15700,671990,43.57,-38490,-75820,113300
2000-01-24,15700,16500,323560,45.79,-84960,-4000,92470
2000-01-25,16000,16200,251760,44.96,-24870,-4640,31000
2000-01-26,16450,16000,197330,44.4,-19530,19720,-200
2000-01-27,15700,16400,315230,45.51,-8840,7510,-750
2000-01-28,16500,17050,373100,47.32,-70670,15770,9900
2000-01-31,16500,17050,166690,47.32,-23420,10010,13410
2000-02-01,17300,17650,388450,48.98,-40060,64040,-50980
2000-02-02,17750,18700,398330,51.9,-49480,49480,0
2000-02-03,19100,18550,247530,51.48,-5200,19500,-14300
2000-02-07,18500,19000,478060,52.73,-60510,59710,1300
2000-02-08,19200,18600,251240,51.62,-36720,40220,2000
2000-02-09,18500,18700,291070,51.9,-144270,35590,111550
2000-02-10,18700,20000,1397080,55.5,50510,-135410,80000
2000-02-11,21000,19800,1027890,54.95,108320,-21520,-20000
2000-02-14,19500,19500,560800,54.12,-145600,14500,106300
2000-02-15,20500,18000,298350,49.95,-37000,57000,0
2000-02-16,17600,17300,283910,48.01,-20110,38500,-18950
2000-02-17,16750,18450,302330,51.2,-24610,23860,750
2000-02-18,18900,19300,454940,53.56,-123590,64710,58880
2000-02-21,19000,18200,231080,50.51,-26970,29970,0
2000-02-22,18200,19100,392780,53.01,-117490,112210,280
2000-02-23,19600,19700,456510,54.67,-70040,100890,-30950
2000-02-24,19600,19700,340080,54.67,-101030,97990,2840
2000-02-25,19450,20250,448830,56.2,-53620,90510,-3140
2000-02-28,19800,23250,1223640,64.52,-86090,27940,1350
2000-02-29,24250,22400,1745170,62.16,158260,39910,-91550
2000-03-02,23000,23000,967220,63.83,-72560,50350,200
2000-03-03,23100,23500,1178110,65.22,-4480,82980,-16200
2000-03-06,24200,24000,777110,66.6,40,13860,750
2000-03-07,24000,22700,448820,63,-106130,77850,19250
2000-03-08,21500,22300,511820,61.89,-41350,47600,640
2000-03-09,22000,24000,929170,66.6,-152880,155540,-870
2000-03-10,24400,23700,419000,65.77,-64420,51970,0
2000-03-13,23300,24500,1075350,67.99,-56500,42160,2690
2000-03-14,24200,23700,346330,65.77,-51500,72370,-20730
2000-03-15,22900,23500,420470,65.22,-3470,4910,-1450
2000-03-16,23800,21800,382840,60.5,120990,-126590,5600
2000-03-17,22000,20000,484500,55.5,-31120,-31280,0
2000-03-20,19250,19400,264810,53.84,-42760,31710,0
2000-03-21,19000,18500,249420,51.34,-31150,-5000,1700
2000-03-22,18700,19900,521680,55.23,-23730,135960,-87000
2000-03-23,19200,19000,329720,52.73,-16600,88800,-82200
2000-03-24,19000,19000,214880,52.73,2760,-2760,0
2000-03-27,19000,19500,242190,54.12,-74800,66830,-2000
2000-03-28,19400,19900,412930,55.23,-23620,18740,0
2000-03-29,19600,19200,286520,53.28,-23290,-36560,19430
2000-03-30,19000,17900,168470,49.68,14140,-27970,2930
2000-03-31,17850,16900,608140,46.9,365130,-186510,-183540
2000-04-03,17500,16500,427080,45.79,117790,-74870,-13070
2000-04-04,16600,16950,278270,47.04,-18650,11180,3300
2000-04-06,16500,16750,100640,46.48,-28940,20000,-60
2000-04-07,16500,16950,168500,47.04,-20100,20090,0
2000-04-10,17300,17600,356640,48.84,56760,-73700,20000
2000-04-11,17000,17800,217480,49.4,-126780,126780,0
2000-04-12,17700,17600,195740,48.84,-26660,-13340,20000
2000-04-14,17300,17000,115030,47.18,-21040,21040,0
2000-04-17,14450,14450,383190,40.1,139880,49400,-198930
2000-04-18,15450,15600,532990,43.29,-46890,77000,-100
2000-04-19,16000,15500,257880,43.01,-1460,5510,-50
2000-04-20,15100,15300,190660,42.46,27460,-24550,-2790
2000-04-21,15300,15650,245880,43.43,67880,-67880,0
2000-04-24,15750,15200,168490,42.18,-5770,6190,-360
2000-04-25,14900,14850,213790,41.21,104340,-97840,-7000
2000-04-26,15200,15500,566480,43.01,-147370,148350,-980
2000-04-27,15300,15200,462770,42.18,-59120,258400,-199280
2000-04-28,15000,14900,161100,41.35,-31290,30290,13000
2000-05-02,15000,15200,230320,42.18,-20940,-31400,-18630
2000-05-03,14850,15100,168630,41.9,10590,-16110,-1480
2000-05-04,15000,15800,234140,43.85,-41660,46580,-4920
2000-05-08,16600,16150,324350,44.82,-28020,27950,-30
2000-05-09,15950,16200,135380,44.96,-61190,48790,12500
2000-05-10,16200,15950,91620,44.26,-23860,19360,4500
2000-05-12,15550,15450,77050,42.88,-37750,31750,6000
2000-05-15,15100,15100,180110,41.9,-35460,49320,-13740
2000-05-16,14750,15200,178720,42.18,9030,-23500,51620
2000-05-17,15400,14800,154920,41.07,-79790,-10620,45260
2000-05-18,14800,14800,212740,41.07,-55980,18350,37640
2000-05-19,14600,14250,82580,39.55,23140,-23130,-10
2000-05-22,14000,13300,191960,36.91,-46370,-1870,70940
2000-05-23,11800,12300,162520,34.13,-15140,-16670,51810
2000-05-24,12500,11850,294340,32.89,63270,-73430,18820
2000-05-25,12300,12650,371570,35.11,109420,11510,-102610
2000-05-26,12800,12550,398620,34.83,-154750,16080,145670
2000-05-29,12500,12300,130490,34.13,11060,-21150,10090
2000-05-30,12800,13200,233410,36.63,-12870,-4910,8780
2000-05-31,13600,15100,719970,41.9,19710,-31030,46320
2000-06-01,14850,14750,424940,40.93,-22590,-40270,59480
2000-06-02,15100,14800,570910,41.07,14380,-8420,-30580
2000-06-05,15100,15100,485080,41.9,33550,-33150,100
2000-06-07,15500,16750,1048670,46.48,-6740,22030,270970
2000-06-08,16900,15200,426010,42.18,26830,-50100,26000
2000-06-09,15300,16000,567130,44.4,6850,13260,-10560
2000-06-12,16200,16500,875350,45.79,87420,-187510,99670
2000-06-13,16700,16050,876260,44.54,-36710,59090,-470
2000-06-14,16500,16000,252470,44.4,-12770,11680,500
2000-06-15,15500,15450,269170,42.88,-138060,128900,-1680
2000-06-16,14650,15500,196970,43.01,-63770,63380,400
2000-06-19,15050,15200,232040,42.18,-16190,54540,-37300
2000-06-20,14850,15000,370330,41.63,114900,39110,-154010
2000-06-21,15000,15300,497250,42.46,45710,-45760,0
2000-06-22,15300,15000,446380,41.63,123660,126190,-249810
2000-06-23,14650,15000,159270,41.63,-73170,72840,130
2000-06-26,15050,15800,361010,43.85,-138760,129570,-5100
2000-06-27,16000,15800,386520,43.85,-67840,70260,-4040
2000-06-28,15800,16100,377510,44.68,6940,-72900,106770
2000-06-29,16200,16500,691580,45.79,-53050,-52790,118870
2000-06-30,16900,16500,264830,45.79,-117630,64120,62790
2000-07-03,16700,16900,603440,46.9,49910,-139870,63230
2000-07-04,17100,16500,384190,45.79,-67290,2740,0
2000-07-05,16500,16100,242200,44.68,-40580,23520,1930
2000-07-06,15800,16900,476480,46.9,-85590,166980,-59140
2000-07-07,16900,17450,724210,48.43,4250,-59750,102670
2000-07-10,17400,17200,384740,47.73,3920,14540,-18310
2000-07-11,17150,16500,245020,45.79,15550,-17790,-1530
2000-07-12,16500,16700,174610,46.35,-108310,18930,88810
2000-07-13,16500,16450,152560,45.65,-32830,-18660,46730
2000-07-14,16300,16400,161190,45.51,-58590,59410,-700
2000-07-18,16000,15400,105570,42.74,35340,-41980,-140
