Symbol,영진약품_시가(원),영진약품_종가(원),영진약품_거래량(주),영진약품_PER(IFRS-연결),영진약품_순매수수량(개인)(주),영진약품_순매수수량(기관계)(주),영진약품_순매수수량(외국인계)(주)
2000-01-04,600,620,94280,,0,0,0
2000-01-05,620,710,353490,,0,0,0
2000-01-06,690,660,226030,,0,0,0
2000-01-07,670,755,136500,,-1190,1190,0
2000-01-10,725,735,157790,,0,0,0
2000-01-11,690,690,90140,,0,0,0
2000-01-12,660,700,125550,,10,-10,0
2000-01-13,740,700,209140,,1200,-1200,0
2000-01-14,680,630,54030,,0,0,0
2000-01-17,650,630,71630,,0,0,0
2000-01-18,610,610,61020,,0,0,0
2000-01-19,610,580,98040,,0,0,0
2000-01-20,570,550,45280,,0,0,0
2000-01-21,510,580,66410,,0,0,0
2000-01-24,580,590,71180,,0,0,0
2000-01-25,585,575,54330,,0,0,0
2000-01-26,580,550,100850,,40220,-20,0
2000-01-27,560,575,88020,,0,0,0
2000-01-28,585,570,93770,,0,0,0
2000-01-31,580,575,38380,,0,0,0
2000-02-01,595,565,86740,,0,0,0
2000-02-02,570,575,127830,,0,0,0
2000-02-03,575,570,73720,,10,-10,0
2000-02-07,570,610,151020,,0,0,0
2000-02-08,610,620,292790,,10,-10,0
2000-02-09,620,625,148240,,0,0,0
2000-02-10,610,600,116200,,130,-10,-120
2000-02-11,580,580,66840,,0,0,0
2000-02-14,560,540,70340,,0,0,0
2000-02-15,550,540,83580,,0,0,0
2000-02-16,540,555,34490,,0,0,0
2000-02-17,560,550,90700,,0,0,0
2000-02-18,555,590,80520,,0,0,0
2000-02-21,620,570,131070,,0,0,0
2000-02-22,570,550,79300,,-19540,0,19540
2000-02-23,630,630,36600,,0,0,0
2000-02-24,720,720,465780,,10,-10,0
2000-02-25,750,825,462530,,1000,0,-1000
2000-02-28,850,945,352560,,0,0,0
2000-02-29,1085,1085,200500,,0,0,0
2000-03-02,1245,1245,103170,,10,-10,0
2000-03-03,1430,1060,1067290,,30,-30,0
2000-03-06,990,1040,903430,,-510,0,0
2000-03-07,1035,1040,505430,,0,0,0
2000-03-08,990,1080,452760,,0,0,0
2000-03-09,1075,990,244420,,200,0,0
2000-03-10,990,950,313100,,0,0,0
2000-03-13,880,910,598940,,20,-20,0
2000-03-14,970,950,544790,,0,0,0
2000-03-15,920,920,311040,,-40,0,0
2000-03-16,905,785,354670,,100,0,0
2000-03-17,795,760,323110,,20,-20,0
2000-03-20,745,735,217020,,-1000,0,1000
2000-03-21,725,700,218450,,0,0,0
2000-03-22,680,730,299940,,0,0,0
2000-03-23,740,700,216080,,0,0,0
2000-03-24,700,805,321830,,-10160,-40,0
2000-03-27,835,925,329140,,11200,0,-1000
2000-03-28,1060,1060,49260,,0,0,0
2000-03-29,1215,1215,118570,,5010,-10,0
2000-03-30,1390,1035,1506340,,20790,0,-20540
2000-03-31,965,880,583370,,0,0,0
2000-04-03,865,950,412480,,10000,0,0
2000-04-04,925,820,250260,,20,-20,0
2000-04-06,800,900,239690,,-9120,0,1000
2000-04-07,940,905,184050,,8310,0,-190
2000-04-10,770,890,366900,,-10290,0,0
2000-04-11,890,800,209810,,10290,0,0
2000-04-12,850,830,214560,,0,0,0
2000-04-14,865,840,184070,,-10000,0,0
2000-04-17,800,765,227530,,9590,0,410
2000-04-18,840,800,136520,,10,-10,0
2000-04-19,835,920,255860,,0,0,0
2000-04-20,950,850,197720,,0,0,0
2000-04-21,875,900,169410,,20,-20,0
2000-04-24,900,850,89810,,0,0,0
2000-04-25,800,845,140670,,0,0,0
2000-04-26,810,850,135600,,0,0,0
2000-04-27,875,800,210630,,0,0,0
2000-04-28,800,920,256700,,500,0,0
2000-05-02,1020,850,564250,,82670,0,-1220
2000-05-03,870,895,370410,,93450,0,0
2000-05-04,880,915,502570,,6190,-20,0
2000-05-08,950,920,169120,,3000,0,0
2000-05-09,910,875,136200,,0,0,0
2000-05-10,820,840,266370,,0,0,0
2000-05-12,840,830,142640,,3000,0,0
2000-05-15,810,780,139860,,4000,0,0
2000-05-16,760,770,126500,,-2980,-20,3000
2000-05-17,885,885,170710,,0,0,0
2000-05-18,875,755,381780,,30,0,-30
2000-05-19,750,775,165130,,0,0,0
2000-05-22,765,710,54580,,0,0,0
2000-05-23,685,700,98210,,0,0,0
2000-05-24,705,700,145430,,0,0,0
2000-05-25,720,785,234490,,0,0,0
2000-05-26,755,700,217450,,0,0,0
2000-05-29,700,710,73000,,0,0,0
2000-05-30,680,720,119670,,0,0,0
2000-05-31,740,740,128830,,10,-10,0
2000-06-01,730,730,63530,,0,0,0
2000-06-02,715,715,154470,,0,0,0
2000-06-05,730,800,253110,,0,0,0
2000-06-07,815,795,207040,,0,0,0
2000-06-08,810,760,126780,,0,0,0
2000-06-09,760,740,142850,,0,0,0
2000-06-12,720,770,217020,,0,0,0
2000-06-13,730,750,85620,,0,0,0
2000-06-14,750,730,54600,,0,0,0
2000-06-15,710,700,95700,,-730,0,730
2000-06-16,700,725,99640,,0,0,0
2000-06-19,690,700,60300,,140,-140,0
2000-06-20,720,715,69890,,0,0,0
2000-06-21,820,820,126900,,0,0,0
2000-06-22,940,940,209530,,1600,0,-2000
2000-06-23,1080,810,1116630,,990,0,-1700
2000-06-26,760,785,306180,,400,0,0
2000-06-27,785,770,202380,,0,0,0
2000-06-28,790,775,163160,,500,0,0
2000-06-29,760,750,83680,,0,0,0
2000-06-30,750,765,55290,,200,0,0
2000-07-03,765,765,145190,,0,0,0
2000-07-04,765,760,75990,,10,0,0
2000-07-05,735,750,137480,,0,0,0
2000-07-06,750,770,197690,,-1940,0,1940
2000-07-07,780,770,164470,,0,0,0
2000-07-10,765,765,81840,,0,0,0
2000-07-11,780,770,91760,,0,0,0
2000-07-12,770,775,198570,,0,0,0
2000-07-13,790,810,181630,,0,0,0
2000-07-14,840,780,175160,,0,0,0
2000-07-18,770,790,178490,,0,0,0
2000-07-19,790,810,253420,,0,0,0
2000-07-20,830,765,139700,,1750,0,-1750
2000-07-21,760,760,90890,,10,-10,0
2000-07-24,750,725,127060,,0,0,0
2000-07-25,720,720,87000,,-1970,-30,2000
2000-07-26,745,730,56730,,0,0,0
2000-07-27,720,730,98310,,0,0,0
2000-07-28,735,715,43470,,0,0,0
2000-07-31,715,715,88890,,10,-10,0
2000-08-01,705,740,117060,,0,0,0
2000-08-02,735,800,400930,,0,0,0
2000-08-03,810,825,597140,,-2880,5070,-2190
2000-08-04,855,815,569000,,5070,-5070,0
2000-08-07,770,825,293790,,0,0,0
2000-08-08,890,825,172540,,0,0,0
2000-08-09,820,860,150910,,0,0,0
2000-08-10,845,860,154540,,0,0,0
2000-08-11,870,865,124760,,10,-10,0
2000-08-14,900,980,576120,,0,0,0
2000-08-16,970,905,372870,,0,0,0
2000-08-17,865,840,348810,,40,-40,0
2000-08-18,835,890,198170,,0,0,0
2000-08-21,930,930,272470,,0,0,0
2000-08-22,900,905,168550,,0,0,0
2000-08-23,905,925,235890,,0,0,0
2000-08-24,920,1060,366540,,0,0,0
2000-08-25,1080,920,391540,,0,0,0
2000-08-28,925,925,191910,,0,0,0
2000-08-29,950,1060,307650,,0,0,0
2000-08-30,1060,1215,963550,,-780,0,0
2000-08-31,1200,1190,696080,,-220,0,0
2000-09-01,1155,1015,510690,,10,-10,0
2000-09-04,1150,1165,477560,,0,0,0
2000-09-05,1200,1220,656940,,1000,0,0
2000-09-06,1200,1240,487310,,-1500,0,1500
2000-09-07,1060,1080,364400,,10,-10,0
2000-09-08,1130,1030,449150,,69510,-10,0
2000-09-14,980,970,344950,,0,0,0
2000-09-15,1000,1015,148640,,10,-10,0
2000-09-18,1000,865,293140,,0,0,0
2000-09-19,865,990,125420,,0,0,0
2000-09-20,1090,1050,443720,,70,-70,0
2000-09-21,1020,1040,126730,,0,0,0
2000-09-22,1090,975,130430,,1500,0,-1500
2000-09-25,935,930,121160,,0,0,0
2000-09-26,960,890,181610,,0,0,0
2000-09-27,890,880,217650,,0,0,0
2000-09-28,880,900,162690,,0,0,0
2000-09-29,900,890,265150,,10,-10,0
2000-10-02,1020,1020,312640,,-1300,0,0
2000-10-04,1170,1170,131480,,-450,0,-350
2000-10-05,1345,1345,1165200,,1920,-20,0
2000-10-06,1225,1145,721270,,10,-10,0
2000-10-09,1145,1290,433260,,200,0,0
2000-10-10,1220,1100,223440,,-1180,1180,0
2000-10-11,1265,1265,646970,,0,0,0
2000-10-12,1400,1290,883470,,10,-10,0
2000-10-13,1200,1260,384310,,20,-20,0
2000-10-16,1240,1260,497470,,0,0,0
2000-10-17,1260,1190,206980,,0,0,0
