Symbol,영풍_시가(원),영풍_종가(원),영풍_거래량(주),영풍_PER(IFRS-연결),영풍_순매수수량(개인)(주),영풍_순매수수량(기관계)(주),영풍_순매수수량(외국인계)(주)
2000-01-04,55700,58000,60,5.23,0,0,0
2000-01-05,52500,50800,310,4.58,0,0,0
2000-01-06,51800,51800,80,4.67,0,0,0
2000-01-07,52000,53000,300,4.77,0,0,0
2000-01-10,53000,55900,60,5.04,0,0,0
2000-01-11,53100,53500,40,4.82,0,0,0
2000-01-12,51100,50500,100,4.55,0,0,0
2000-01-13,50000,50000,0,4.5,0,0,0
2000-01-14,46600,50000,200,4.5,0,0,0
2000-01-17,47000,47000,100,4.23,0,0,0
2000-01-18,46300,46500,120,4.19,0,0,0
2000-01-19,46500,46500,60,4.19,0,0,0
2000-01-20,46800,46000,50,4.14,0,0,0
2000-01-21,46000,46000,50,4.14,0,0,0
2000-01-24,46000,48500,20,4.37,0,0,0
2000-01-25,48500,48500,0,4.37,0,0,0
2000-01-26,43500,48100,40,4.33,0,0,0
2000-01-27,49500,49500,90,4.46,0,0,0
2000-01-28,43600,46000,120,4.14,10,-10,0
2000-01-31,52600,47100,150,4.24,100,-100,0
2000-02-01,47000,47000,170,4.23,0,0,0
2000-02-02,47000,49500,200,4.46,0,0,0
2000-02-03,47100,47500,250,4.28,0,0,0
2000-02-07,48100,48100,100,4.33,0,0,0
2000-02-08,45500,45600,40,4.11,0,0,0
2000-02-09,45600,45200,50,4.07,0,0,0
2000-02-10,46600,46600,20,4.2,0,0,0
2000-02-11,47000,46600,130,4.2,0,0,0
2000-02-14,46600,46600,0,4.2,0,0,0
2000-02-15,45000,45000,100,4.05,0,0,0
2000-02-16,45000,45000,0,4.05,0,0,0
2000-02-17,45000,45000,0,4.05,0,0,0
2000-02-18,45000,45500,120,4.1,0,0,0
2000-02-21,42100,41900,60,3.77,0,0,0
2000-02-22,41900,43000,210,3.87,0,0,0
2000-02-23,44600,48500,300,4.37,0,0,0
2000-02-24,46200,46200,50,4.16,0,0,0
2000-02-25,45500,53100,1130,4.78,0,0,0
2000-02-28,50500,54000,310,4.86,0,0,0
2000-02-29,53900,48100,940,4.33,-130,130,0
2000-03-02,49000,50000,250,4.5,-80,80,0
2000-03-03,47000,49600,380,4.47,0,0,0
2000-03-06,49700,51400,320,4.63,0,0,0
2000-03-07,49000,48050,130,4.33,0,0,0
2000-03-08,47100,47000,170,4.23,0,0,0
2000-03-09,47000,49000,30,4.41,0,0,0
2000-03-10,47100,49000,340,4.41,0,0,0
2000-03-13,50000,55000,1230,4.96,0,0,0
2000-03-14,51500,51000,80,4.59,0,0,0
2000-03-15,46100,50600,270,4.56,-10,0,0
2000-03-16,43600,47000,270,4.23,0,0,0
2000-03-17,46400,47000,40,4.23,0,0,0
2000-03-20,51000,49000,280,4.41,0,0,0
2000-03-21,47200,46000,110,4.14,0,0,0
2000-03-22,46300,47000,100,4.23,0,0,0
2000-03-23,47300,47200,170,4.25,10,0,0
2000-03-24,47500,54200,770,4.88,190,-190,0
2000-03-27,62300,62300,500,5.61,0,0,0
2000-03-28,71600,58000,1540,5.23,50,-50,0
2000-03-29,50100,52000,1190,4.68,0,0,0
2000-03-30,55500,50200,750,4.52,300,-300,0
2000-03-31,50300,51200,140,4.61,0,0,0
2000-04-03,50000,46100,470,4.15,320,-320,0
2000-04-04,47200,45500,800,4.1,510,-510,0
2000-04-06,47900,42000,840,3.78,600,-600,0
2000-04-07,45500,44500,1190,4.01,500,-500,0
2000-04-10,43000,47500,1360,4.28,-240,0,430
2000-04-11,47500,47600,730,4.29,-480,-10,490
2000-04-12,47600,47500,280,4.28,-220,0,220
2000-04-14,47500,52000,900,4.68,300,-440,140
2000-04-17,50000,59800,2220,5.39,-220,-80,300
2000-04-18,62000,68700,2440,6.19,20,-20,0
2000-04-19,79000,73600,7900,6.63,1530,-1530,0
2000-04-20,83000,62700,4150,5.65,0,0,0
2000-04-21,62700,57000,1170,5.14,0,0,0
2000-04-24,61900,60000,970,5.41,0,0,0
2000-04-25,56500,55800,670,5.03,0,0,0
2000-04-26,57000,54100,810,4.87,-150,0,0
2000-04-27,50000,54000,520,4.86,0,0,0
2000-04-28,50300,51500,700,4.64,-10,0,0
2000-05-02,52000,49500,400,4.46,0,0,0
2000-05-03,52900,52000,320,4.68,0,0,0
2000-05-04,52000,52100,560,4.69,-30,10,0
2000-05-08,52100,53000,380,4.77,10,0,0
2000-05-09,51100,51100,1240,4.6,-1000,1000,0
2000-05-10,50500,51100,720,4.6,0,0,0
2000-05-12,55900,55100,940,4.96,0,0,0
2000-05-15,53100,56200,1350,5.06,0,0,0
2000-05-16,52000,52800,180,4.76,0,0,0
2000-05-17,51000,54000,740,4.86,0,0,0
2000-05-18,52100,52000,870,4.68,-410,410,0
2000-05-19,50200,55500,820,5,-10,10,0
2000-05-22,52100,50600,560,4.56,-310,310,0
2000-05-23,50000,49600,750,4.47,0,0,0
2000-05-24,51000,48000,210,4.32,0,0,0
2000-05-25,50000,50000,530,4.5,0,0,0
2000-05-26,50000,48000,410,4.32,-220,220,0
2000-05-29,49750,49600,230,4.47,0,0,0
2000-05-30,50000,50000,240,4.5,40,-40,0
2000-05-31,53000,50100,340,4.51,0,0,0
2000-06-01,49000,50100,210,4.51,0,0,0
2000-06-02,50100,50500,320,4.55,-140,140,0
2000-06-05,51400,50600,480,4.56,-40,0,0
2000-06-07,52000,58100,1850,5.23,10,0,0
2000-06-08,60000,60700,660,5.47,30,0,0
2000-06-09,60000,63500,890,5.72,0,0,0
2000-06-12,58300,59700,290,5.38,0,0,0
2000-06-13,59700,57000,250,5.14,0,0,0
