Symbol,오뚜기_시가(원),오뚜기_종가(원),오뚜기_거래량(주),오뚜기_PER(IFRS-연결),오뚜기_순매수수량(개인)(주),오뚜기_순매수수량(기관계)(주),오뚜기_순매수수량(외국인계)(주)
2000-01-04,14500,14600,5520,5.21,1030,20,-1100
2000-01-05,14600,14900,23380,5.31,1100,-4110,3010
2000-01-06,15000,14450,10090,5.15,130,-130,0
2000-01-07,14500,14600,13040,5.21,-3210,3090,120
2000-01-10,15500,14950,12840,5.33,-2300,-690,2960
2000-01-11,14600,14400,69640,5.14,23170,-23170,0
2000-01-12,14400,14350,12620,5.12,1050,-1050,0
2000-01-13,14350,13400,40090,4.78,30730,-21910,-8850
2000-01-14,13750,13900,44380,4.96,8960,-8960,0
2000-01-17,14350,13800,30650,4.92,4740,-4940,150
2000-01-18,13700,13800,21330,4.92,-7460,7380,30
2000-01-19,13600,13400,22750,4.78,-8990,8940,0
2000-01-20,12700,13000,24790,4.64,2410,-2600,190
2000-01-21,12700,13100,11020,4.67,-2910,2910,0
2000-01-24,12700,12900,53230,4.6,-2680,-1820,0
2000-01-25,12800,13300,23800,4.74,-13670,11430,0
2000-01-26,13300,13500,20040,4.82,-9680,-1190,0
2000-01-27,13250,14550,32560,5.19,-22410,12410,0
2000-01-28,14000,14300,7260,5.1,-1800,1610,190
2000-01-31,14000,14000,4660,4.99,-1130,1130,0
2000-02-01,14100,15000,43860,5.35,-22680,12870,-190
2000-02-02,15000,15000,24560,5.35,4340,3760,-100
2000-02-03,15000,14900,12210,5.31,-1710,1030,0
2000-02-07,14900,15500,57470,5.53,-17070,-12070,120
2000-02-08,15500,15300,15160,5.46,-5000,-5000,0
2000-02-09,15000,14650,15020,5.23,-3000,3000,0
2000-02-10,14650,13250,10430,4.73,1620,-780,-3040
2000-02-11,13500,15000,15200,5.35,-11380,11380,-100
2000-02-14,14150,14800,4910,5.28,-1930,2050,-120
2000-02-15,14300,16000,121370,5.71,9980,8840,-17820
2000-02-16,16600,15950,73520,5.69,-38000,38000,0
2000-02-17,15300,16000,12790,5.71,-9350,9350,0
2000-02-18,16300,17000,53310,6.06,-14250,17500,-250
2000-02-21,17300,17200,22890,6.14,-6150,6630,0
2000-02-22,17200,16900,24280,6.03,-18120,18320,0
2000-02-23,16900,17000,46380,6.06,-3040,4590,400
2000-02-24,17000,17600,65290,6.28,-840,2560,630
2000-02-25,17600,17000,19450,6.06,-5310,5310,0
2000-02-28,17100,16900,27830,6.03,8130,-2790,-100
2000-02-29,16550,17950,61770,6.4,19520,-17520,0
2000-03-02,18500,20600,82710,7.35,-21690,26690,0
2000-03-03,20600,18550,73010,6.62,5830,-3990,0
2000-03-06,19450,18800,47850,6.71,-7780,10780,0
2000-03-07,18250,17500,26000,6.24,-5320,5320,0
2000-03-08,18000,17850,37050,6.37,4050,-5010,0
2000-03-09,17950,17500,133220,6.24,24720,-7480,-10500
2000-03-10,18500,18400,36860,6.56,-2030,210,0
2000-03-13,19500,20000,86840,7.13,-17330,18210,-880
2000-03-14,19000,19700,100160,7.03,-9260,7370,-110
2000-03-15,19700,21100,113950,7.53,-3470,4500,-110
2000-03-16,20500,21400,102700,7.63,-67290,79850,440
2000-03-17,21400,21000,60340,7.49,-36280,33120,660
2000-03-20,20350,20900,37510,7.45,-20450,28300,330
2000-03-21,20250,20500,24320,7.31,-11330,20180,0
2000-03-22,20150,21000,64180,7.49,-8530,39340,0
2000-03-23,21000,20900,15670,7.45,-4370,4700,-330
2000-03-24,20900,23000,170390,8.2,-4570,-40430,0
2000-03-27,23000,22400,25590,7.99,-3050,3050,0
2000-03-28,22000,22300,18340,7.95,-10340,10010,330
2000-03-29,21850,22100,18690,7.88,410,-410,0
2000-03-30,22100,23400,53100,8.35,-9350,9330,20
2000-03-31,23400,23650,36270,8.44,-7470,8970,0
2000-04-03,24500,25000,101020,8.92,-78750,79220,-20
2000-04-04,24700,23650,46660,8.44,-31720,31720,0
2000-04-06,23650,23600,10150,8.42,-2120,2120,0
2000-04-07,23900,23000,8480,8.2,580,220,0
2000-04-10,22300,23000,11630,8.2,870,-1970,1100
2000-04-11,23000,21800,8640,7.78,-290,290,0
2000-04-12,21800,22500,12940,8.03,-9680,9680,0
2000-04-14,21800,21500,5890,7.67,2360,-170,0
2000-04-17,18550,19500,3570,6.96,-1320,1320,0
2000-04-18,19550,18500,27850,6.6,11150,-11150,0
2000-04-19,18850,18600,28130,6.63,11750,-11750,0
2000-04-20,18600,18900,12030,6.74,-570,550,20
2000-04-21,18100,20000,20400,7.13,-5980,5980,0
2000-04-24,20000,19950,6890,7.12,-540,540,0
2000-04-25,19300,19200,3860,6.85,-200,200,0
2000-04-26,19200,19200,6880,6.85,-1970,1970,0
2000-04-27,19200,19200,9010,6.85,-3190,7610,0
2000-04-28,18900,19100,25340,6.81,-3590,3720,0
2000-05-02,18900,19200,21890,6.85,-4180,4340,-160
2000-05-03,18800,19200,38670,6.85,-1120,1320,-200
2000-05-04,19100,18500,18020,6.6,-7490,7550,-60
2000-05-08,18650,18400,6360,6.56,120,0,-120
2000-05-09,18000,18400,10660,6.56,1030,-230,-800
2000-05-10,18400,18400,5160,6.56,-420,1360,-940
2000-05-12,17800,18000,4920,6.42,270,-180,-90
2000-05-15,18000,18700,21740,6.67,-2700,2800,-100
2000-05-16,19000,18600,10310,6.63,6310,-6230,-80
2000-05-17,18600,19700,57440,7.03,-11370,1570,-200
2000-05-18,19700,19400,110680,6.92,-36080,16080,0
2000-05-19,19000,18200,13830,6.49,-3420,3420,0
2000-05-22,18200,17000,7770,6.06,-830,850,-20
2000-05-23,16600,17100,11890,6.1,-5460,5310,0
2000-05-24,16900,16650,10430,5.94,2150,-2150,0
2000-05-25,16150,16850,10750,6.01,2500,-2550,0
2000-05-26,16750,15900,14050,5.67,-3560,3510,0
2000-05-29,15900,15200,2400,5.42,-450,450,0
2000-05-30,15200,15650,5160,5.58,1190,-1180,-60
2000-05-31,15700,15500,19630,5.53,13450,-1150,0
2000-06-01,16000,15350,5240,5.48,940,-940,0
2000-06-02,15850,15350,17170,5.48,7040,-2120,0
2000-06-05,15400,15650,100580,5.58,65190,-54280,0
2000-06-07,15950,17500,152580,6.24,-2810,4520,0
2000-06-08,17600,15650,61480,5.58,16870,-16870,0
2000-06-09,16100,15650,56660,5.58,25740,-21740,0
2000-06-12,16300,16100,40430,5.74,13380,-13250,0
2000-06-13,16000,15100,24220,5.39,2780,220,0
2000-06-14,15200,15600,27720,5.56,-2480,3040,0
2000-06-15,15000,15000,17220,5.35,-2700,2700,0
2000-06-16,14600,15000,8920,5.35,-120,0,0
2000-06-19,14300,15150,8260,5.4,800,-850,0
2000-06-20,15150,14800,15140,5.28,8040,0,-8040
2000-06-21,14500,15100,43270,5.39,24580,1770,-24960
2000-06-22,15350,15300,16300,5.46,-6670,6670,0
2000-06-23,15100,15900,45180,5.67,-8860,9910,-50
2000-06-26,16000,16200,46860,5.78,-4370,-25090,0
2000-06-27,16200,15800,19510,5.64,-2590,2590,0
2000-06-28,15600,15300,48270,5.46,14550,-14750,200
2000-06-29,15400,15000,17490,5.35,10,-10,0
2000-06-30,14800,14900,10140,5.31,-2560,2460,100
2000-07-03,14950,15300,27300,5.46,14190,-14190,0
2000-07-04,15500,15500,51730,5.53,8090,-8090,0
2000-07-05,15550,15000,20070,5.35,-20,20,0
2000-07-06,15150,15050,14160,5.37,0,0,0
2000-07-07,15000,15200,21160,5.42,1700,-1700,0
2000-07-10,15500,15150,15880,5.4,340,-40,-300
2000-07-11,15250,15000,16910,5.35,40,-40,0
2000-07-12,15250,15000,10010,5.35,110,-110,0
2000-07-13,15050,15000,10700,5.35,-530,130,400
2000-07-14,15000,14700,7480,5.24,20,-20,0
2000-07-18,14700,14500,6760,5.17,-50,0,0
2000-07-19,14700,14500,9050,5.17,-50,0,0
2000-07-20,14100,14300,8510,5.1,-20,0,20
2000-07-21,14200,14400,7890,5.14,510,-610,0
2000-07-24,14100,14200,7930,5.07,-3140,3140,0
2000-07-25,14200,14000,6680,4.99,-2670,2460,110
2000-07-26,14000,14150,3690,5.05,-1050,1000,0
2000-07-27,13850,14000,2020,4.99,-70,70,0
2000-07-28,14200,14100,2780,5.03,-440,80,360
2000-07-31,13950,14200,3930,5.07,-2190,2010,180
2000-08-01,14300,14200,2810,5.07,50,-50,0
2000-08-02,14400,14700,9190,5.24,-5030,5000,30
2000-08-03,14750,14500,3450,5.17,-1880,1880,0
2000-08-04,14500,14500,3050,5.17,-1810,1810,0
2000-08-07,14050,14100,1330,5.03,30,-30,0
2000-08-08,14700,14100,4820,5.03,-960,960,0
2000-08-09,14600,14000,5030,4.99,-590,390,200
2000-08-10,14100,14100,4540,5.03,-730,730,0
2000-08-11,14400,14550,26410,5.19,-410,410,0
2000-08-14,15000,14600,9380,5.21,-1210,1170,40
2000-08-16,14700,15000,16580,5.35,1080,-1400,160
2000-08-17,14700,14650,4150,5.23,-1000,0,0
2000-08-18,14700,14500,6970,5.17,1000,-1000,0
2000-08-21,14500,14400,8890,5.14,-6000,6000,0
2000-08-22,14800,14250,12930,5.08,-790,530,110
2000-08-23,14350,14000,16820,4.99,8980,-9010,30
2000-08-24,14000,13900,9700,4.96,980,-1200,120
2000-08-25,13900,14000,6440,4.99,-350,0,0
2000-08-28,14500,14050,13190,5.01,9940,-9200,60
2000-08-29,14300,13950,8400,4.98,0,0,0
2000-08-30,13900,13800,46280,4.92,25070,-15620,-10000
2000-08-31,14100,13900,32300,4.96,-7900,7900,0
2000-09-01,14100,13750,17390,4.9,6250,-6550,0
2000-09-04,13800,14000,44880,4.99,10270,-10270,0
2000-09-05,14350,14800,162260,5.28,37920,-10950,0
2000-09-06,15000,14800,54420,5.28,13980,-14000,0
2000-09-07,14700,15100,90750,5.39,18990,-25090,0
2000-09-08,15200,15200,46780,5.42,310,-310,0
