Symbol,오리온홀딩스_시가(원),오리온홀딩스_종가(원),오리온홀딩스_거래량(주),오리온홀딩스_PER(IFRS-연결),오리온홀딩스_순매수수량(개인)(주),오리온홀딩스_순매수수량(기관계)(주),오리온홀딩스_순매수수량(외국인계)(주)
2000-01-04,34400,35200,23180,4.05,-2630,2140,310
2000-01-05,36200,36200,27420,4.16,-8810,8810,0
2000-01-06,36400,34900,26920,4.01,-1130,-2830,980
2000-01-07,34200,35000,28330,4.02,-2840,1960,880
2000-01-10,35000,35000,17730,4.02,130,-980,710
2000-01-11,39800,36250,55820,4.17,4430,-3260,680
2000-01-12,38000,38800,74630,4.46,-1730,5730,-4000
2000-01-13,37100,37000,27800,4.26,-6100,4900,990
2000-01-14,38000,35800,14760,4.12,1580,-1780,200
2000-01-17,36000,36500,88450,4.2,-5760,5930,520
2000-01-18,36100,36300,46940,4.17,-3770,-1410,5180
2000-01-19,36300,35200,61750,4.05,-6690,-14160,46400
2000-01-20,35050,35100,18310,4.04,-2410,1120,1270
2000-01-21,34550,33800,13770,3.89,5770,-6480,950
2000-01-24,33000,34000,60240,3.91,-1580,1420,160
2000-01-25,31600,33050,14850,3.8,-5040,5090,0
2000-01-26,32600,34900,19570,4.01,-8750,9750,-1000
2000-01-27,34300,35000,38110,4.02,-2300,1830,490
2000-01-28,35500,33800,26540,3.89,6360,-6260,-20
2000-01-31,33800,34200,16200,3.93,-2380,2380,0
2000-02-01,34500,33350,13240,3.83,6960,-6850,-30
2000-02-02,33700,34200,13200,3.93,-6790,6790,0
2000-02-03,34400,33800,28040,3.89,-580,580,0
2000-02-07,34800,35500,16170,4.08,-7040,-1370,8400
2000-02-08,36000,34000,8220,3.91,-250,-910,700
2000-02-09,34000,33900,49450,3.9,2540,24460,0
2000-02-10,33150,31100,42050,3.58,31200,-31200,0
2000-02-11,31900,32250,22110,3.71,-8020,-4800,11780
2000-02-14,32350,31500,19310,3.62,-5540,40,6500
2000-02-15,31500,32000,47130,3.68,-2660,-4170,26860
2000-02-16,32100,31950,33550,3.67,-460,-19000,20200
2000-02-17,32000,32000,32370,3.68,-5580,-16200,21580
2000-02-18,32000,31000,47250,3.57,12020,-33940,21000
2000-02-21,30500,30100,52100,3.46,6600,-24500,15100
2000-02-22,32500,30000,113140,3.45,35520,-65370,38190
2000-02-23,30900,30500,100370,3.51,12390,-45480,38180
2000-02-24,31000,32500,92260,3.74,-9150,-24860,28010
2000-02-25,32500,34100,78030,3.92,-8770,-11950,20530
2000-02-28,34200,38500,156630,4.43,-12490,-31480,39150
2000-02-29,38500,38500,164720,4.43,-6140,-8750,16040
2000-03-02,40700,38500,125320,4.43,-9910,-5540,15450
2000-03-03,39000,38000,100380,4.37,11590,19260,-37850
2000-03-06,38000,35600,108270,4.09,6910,-3290,-3680
2000-03-07,36100,34900,82200,4.01,14890,-6880,-8010
2000-03-08,34900,34900,69280,4.01,3480,-1320,-2160
2000-03-09,35100,33100,94820,3.81,13570,-21100,8050
2000-03-10,33350,37950,128600,4.36,18000,-11520,-28480
2000-03-13,37950,36500,54130,4.2,-9920,1610,-190
2000-03-14,36000,33600,36010,3.86,6050,-60,-6810
2000-03-15,33300,32600,51300,3.75,3730,10320,-14050
2000-03-16,34600,33500,44700,3.85,-21270,1800,15350
2000-03-17,33500,33000,16700,3.79,5500,1620,-6800
2000-03-20,32500,31800,33730,3.66,4230,3800,-8270
2000-03-21,31500,31600,17030,3.63,430,-2080,420
2000-03-22,32500,31900,30600,3.67,16970,-2950,-18100
2000-03-23,32100,31700,21180,3.64,6870,-7240,-480
2000-03-24,32500,33000,30010,3.79,-13430,8430,5000
2000-03-27,33000,32300,20770,3.72,-9430,10560,0
2000-03-28,31100,32600,17500,3.75,140,-1160,520
2000-03-29,32600,32500,37490,3.74,2280,-12030,10730
2000-03-30,32500,31600,11140,3.63,-140,270,110
2000-03-31,31200,31000,16230,3.57,-1690,1890,-200
2000-04-03,31500,30950,47540,3.56,3150,-17740,13780
2000-04-04,31500,30950,27050,3.56,-1260,-5100,6030
2000-04-06,30600,30700,18100,3.53,-4920,4440,1780
2000-04-07,30100,30850,16480,3.55,-5440,5010,430
2000-04-10,30600,30650,107410,3.53,34440,-26050,-6950
2000-04-11,31200,29600,41080,3.4,340,9630,-10000
2000-04-12,29600,28500,30170,3.28,7120,-9630,2540
2000-04-14,28000,27950,32700,3.21,-3240,5640,-2390
2000-04-17,24500,25000,55890,2.87,-2280,1210,930
2000-04-18,26000,27300,78030,3.14,4200,-26730,32590
2000-04-19,29000,26100,33920,3,13940,-6610,-4920
2000-04-20,26300,25800,56240,2.97,8140,-11370,3200
2000-04-21,26950,26950,34030,3.1,3720,-3660,-50
2000-04-24,26050,26300,17950,3.02,2380,-5020,0
2000-04-25,25500,27800,75820,3.2,-5060,22870,4190
2000-04-26,28300,26700,51460,3.07,-11620,3960,12310
2000-04-27,27000,26600,18640,3.06,-10520,6350,4630
2000-04-28,26600,26500,58140,3.05,9460,1560,-11000
2000-05-02,26500,25550,27770,2.94,21030,-19700,-2330
2000-05-03,25500,26450,74530,3.04,-1190,-53030,54220
2000-05-04,26950,28500,78540,3.28,220,-1010,1790
2000-05-08,28500,28000,58300,3.22,190,-10750,10560
2000-05-09,29200,29300,85810,3.37,15550,-20430,4880
2000-05-10,29350,30000,112950,3.45,-5890,9170,6620
2000-05-12,30000,29100,51980,3.35,-12530,8340,4190
2000-05-15,29150,27850,34290,3.2,160,-5580,5420
2000-05-16,27800,27300,149220,3.14,27910,-34740,5880
2000-05-17,28500,25500,93240,2.93,27760,-30750,3040
2000-05-18,24700,24000,43210,2.76,-7940,1330,6610
2000-05-19,24000,23600,38130,2.71,7620,-7410,380
2000-05-22,23000,22200,38110,2.55,-6760,320,6440
2000-05-23,20650,23200,54960,2.67,-24530,-5540,29980
2000-05-24,22800,22600,59770,2.6,4720,-13140,11430
2000-05-25,23500,24650,111870,2.83,30210,-42760,12630
2000-05-26,25100,23200,32810,2.67,-11250,170,11080
2000-05-29,24000,24200,42380,2.78,-19400,5040,14360
2000-05-30,24300,25700,50390,2.95,-9020,2590,12430
2000-05-31,27000,26600,49980,3.06,-15350,-1690,-1270
2000-06-01,27000,26400,28140,3.04,-15200,-6390,1600
2000-06-02,26900,27400,45720,3.15,-3500,-13630,-100
2000-06-05,28100,27400,97450,3.15,11440,-44570,13160
2000-06-07,27600,27050,78540,3.11,1280,-29190,7910
2000-06-08,27100,26100,91110,3,-10290,-47440,37730
2000-06-09,27000,26950,69030,3.1,-12440,-19790,16010
2000-06-12,26950,26200,45020,3.01,16170,-35110,-10
2000-06-13,26500,26900,47570,3.09,-24860,-1000,5860
2000-06-14,27200,25600,43280,2.94,19410,-25140,0
2000-06-15,25700,24000,36080,2.76,12650,-16310,-210
2000-06-16,24200,24500,29710,2.82,5300,-8690,30
2000-06-19,24000,24500,23060,2.82,840,5440,-6280
2000-06-20,24000,24100,18270,2.77,-170,-3830,0
2000-06-21,24300,24300,46440,2.8,7410,2910,-30
2000-06-22,24500,24300,17120,2.8,-300,300,0
2000-06-23,23700,24500,33240,2.82,-3380,3380,0
2000-06-26,24500,24400,14480,2.81,-6850,6720,40
2000-06-27,24500,24500,11830,2.82,710,2070,-3050
2000-06-28,25000,25000,37980,2.87,3420,13360,-14710
2000-06-29,24750,24200,13300,2.78,2380,-430,-1320
2000-06-30,24300,24250,18320,2.79,-4050,4170,0
2000-07-03,24300,24500,36760,2.82,150,15580,-15000
2000-07-04,25050,24300,41040,2.8,-2830,11240,-11500
2000-07-05,24900,26800,68120,3.08,-13840,-3160,14000
2000-07-06,26800,28000,100800,3.22,-24100,13170,16750
2000-07-07,28900,27600,26670,3.17,190,2400,-2790
2000-07-10,27650,27000,25410,3.1,-10310,10270,60
2000-07-11,27200,26900,23690,3.09,-4290,4400,-20
2000-07-12,26200,26500,42180,3.05,5430,-5650,30
2000-07-13,26200,26500,14270,3.05,2870,-2650,-140
2000-07-14,27000,26600,16520,3.06,1670,-1630,0
2000-07-18,26700,26700,7980,3.07,-2060,1690,10
2000-07-19,26500,27300,34210,3.14,-1980,1570,210
2000-07-20,26500,27500,47250,3.16,-160,13050,-12880
2000-07-21,27500,27550,28100,3.17,-4240,5240,-540
2000-07-24,27000,27100,14430,3.12,-9420,8590,710
2000-07-25,27100,28400,46400,3.27,-6640,5100,1420
2000-07-26,28400,29400,42130,3.38,4520,-4030,0
2000-07-27,29400,29100,9660,3.35,-2590,2640,0
2000-07-28,29000,29100,14230,3.35,-8930,6490,1900
2000-07-31,28500,29600,35440,3.4,-11890,9690,1690
2000-08-01,29200,29500,33040,3.39,-7120,7730,0
2000-08-02,29900,29400,6370,3.38,-2270,-240,2390
2000-08-03,29100,29400,10040,3.38,-680,-1240,2430
2000-08-04,29400,29550,7680,3.4,-2770,-880,3780
2000-08-07,29050,29500,8540,3.39,820,-820,0
2000-08-08,29050,28950,8110,3.33,440,-1170,50
2000-08-09,29000,29300,9740,3.37,-7050,6250,360
2000-08-10,29500,29900,24250,3.44,-3830,-330,4330
2000-08-11,29900,29950,22220,3.44,1760,-1730,20
2000-08-14,30100,30350,19360,3.49,-2550,2210,110
2000-08-16,30300,31400,58980,3.61,-920,-520,1340
2000-08-17,31400,31400,32020,3.61,1640,-1620,0
2000-08-18,31350,30500,25700,3.51,3790,-3680,10
2000-08-21,29600,30800,6400,3.54,-20,40,-20
2000-08-22,30300,31200,14170,3.59,-3680,3980,-660
2000-08-23,31200,31200,16110,3.59,-1490,2250,-360
2000-08-24,30800,31900,19330,3.67,-5590,2900,2670
2000-08-25,31500,31850,14630,3.66,-1180,3730,-2710
2000-08-28,31800,32400,37250,3.73,-640,-2210,2580
2000-08-29,32400,32400,15720,3.73,-3520,-6630,9990
2000-08-30,31900,32250,42070,3.71,-2720,15360,-12520
2000-08-31,32000,31100,27050,3.58,840,1700,-2180
2000-09-01,30500,31200,10360,3.59,-2610,4790,-2500
2000-09-04,30700,31200,10280,3.59,-1790,1950,0
2000-09-05,30600,31800,21400,3.66,-5820,9180,-3720
2000-09-06,31200,31450,11850,3.62,-40,250,-290
2000-09-07,32000,31100,23560,3.58,9500,2080,-11420
2000-09-08,31000,30300,25630,3.48,10290,380,-10270
2000-09-14,29500,27650,48590,3.18,8330,2350,-8380
2000-09-15,27700,28000,43920,3.22,-11450,18000,-6550
2000-09-18,26200,26900,25400,3.09,-12180,11910,130
2000-09-19,25500,27500,19590,3.16,-6150,8350,-2100
2000-09-20,27500,28000,45400,3.22,-2230,-12800,6170
2000-09-21,28000,28550,20950,3.28,-4930,-880,5860
2000-09-22,28000,28200,5970,3.24,160,-1290,1130
2000-09-25,28200,29000,4860,3.34,-1070,-580,1650
2000-09-26,28950,29400,16130,3.38,1120,-1220,0
2000-09-27,28900,29900,29420,3.44,-8610,6120,2800
2000-09-28,29900,29400,33640,3.38,16590,-14430,0
2000-09-29,29400,29800,18510,3.43,-7300,7580,0
2000-10-02,29000,29000,5360,3.34,1470,-990,-480
2000-10-04,28900,28900,8330,3.32,-2910,3040,-490
2000-10-05,28900,27900,18450,3.21,12700,-12350,10
2000-10-06,28000,27700,9250,3.19,-1900,1740,0
2000-10-09,27700,27000,9020,3.1,2410,-2230,-20
2000-10-10,26500,27400,51720,3.15,-920,-13080,14000
2000-10-11,27400,27600,30870,3.17,-7160,2590,4560
2000-10-12,27150,28000,56320,3.22,1080,-890,-10220
2000-10-13,27900,27600,32540,3.17,-9970,13830,-4110
2000-10-16,29000,28100,29670,3.23,2710,9780,-11220
2000-10-17,27300,28100,14970,3.23,-7590,11910,0
