Symbol,우리은행_시가(원),우리은행_종가(원),우리은행_거래량(주),우리은행_PER(IFRS-연결),우리은행_순매수수량(개인)(주),우리은행_순매수수량(기관계)(주),우리은행_순매수수량(외국인계)(주)
2000-01-04,4050,4150,3484010,,774600,14470,-1359390
2000-01-05,4100,3950,2190900,,263210,50740,-453950
2000-01-06,3900,3500,2704930,,1376090,-225940,-1168360
2000-01-07,3540,3600,2642720,,503130,408820,-911950
2000-01-10,3810,3800,3317830,,415440,261440,-692530
2000-01-11,3850,3700,1865320,,124670,-36010,-114330
2000-01-12,3650,3600,1445110,,398800,-312050,-86750
2000-01-13,3550,3430,2453770,,1250020,-946330,-328220
2000-01-14,3450,3395,2161290,,378880,-294110,-334770
2000-01-17,3380,3400,1592500,,220480,133570,-354050
2000-01-18,3350,3300,1487880,,519300,-328420,-190880
2000-01-19,3250,3135,2258540,,963770,-712130,-162170
2000-01-20,3150,3070,3725140,,1603520,295860,-1902380
2000-01-21,3050,2855,9278020,,5774970,-761970,-4199720
2000-01-24,2860,2865,4258670,,667430,248270,-915700
2000-01-25,2845,2800,3654650,,775120,117430,-892550
2000-01-26,2760,2810,4781480,,1068230,785170,-1853400
2000-01-27,2770,2900,6320320,,1759840,114100,-1970160
2000-01-28,2880,2845,5020060,,1189060,5110,-1179050
2000-01-31,2800,2915,9785020,,2913240,-260920,-2651810
2000-02-01,3090,3030,12142000,,1560720,618100,-2412820
2000-02-02,3030,3030,4895920,,547890,534910,-1087800
2000-02-03,3030,3010,4834370,,754070,-75210,-678860
2000-02-07,3000,2940,4686040,,1159140,-469550,-715830
2000-02-08,2900,2855,3588590,,-96880,211100,-184220
2000-02-09,2805,2820,4139050,,832670,29940,-1087030
2000-02-10,2820,2700,5304740,,2101300,-817470,-1328010
2000-02-11,2650,2600,5302470,,1240750,407310,-1761420
2000-02-14,2540,2450,5068090,,600050,555260,-1230310
2000-02-15,2400,2500,5666380,,233550,-48860,-184690
2000-02-16,2510,2500,4660100,,1074280,-342560,-969750
2000-02-17,2550,2430,4595930,,1047710,204720,-1332930
2000-02-18,2400,2180,6156390,,2370800,-1460230,-915350
2000-02-21,2080,2050,6640550,,249170,-9630,-243540
2000-02-22,1980,2030,4407070,,-71890,559340,-592660
2000-02-23,2000,2290,9173200,,1386050,-1705580,-116470
2000-02-24,2255,2095,4241950,,1060,209840,-123620
2000-02-25,2000,2050,9227290,,496580,-472670,-20150
2000-02-28,1970,1970,3312350,,-488540,229290,248250
2000-02-29,2050,2000,3111140,,287810,-208310,-79500
2000-03-02,1955,2025,4965730,,-561790,-125250,677040
2000-03-03,2300,2150,5992320,,441720,-536060,-481560
2000-03-06,2100,2150,5320830,,603420,-5540,-624250
2000-03-07,2195,2110,3205170,,135190,-89240,-86590
2000-03-08,2120,2230,5351250,,-433270,365800,-33300
2000-03-09,2200,2010,6388560,,3038030,-1707630,-1421130
2000-03-10,2100,2090,3825010,,-176710,137830,29180
2000-03-13,2090,2030,3553130,,70190,16060,-84900
2000-03-14,2010,2010,2871520,,164880,-204340,39350
2000-03-15,2000,2060,5605080,,342890,-609190,259120
2000-03-16,2185,2100,7357700,,-422190,390830,-4700
2000-03-17,2180,2110,3622720,,-5340,-4840,15880
2000-03-20,2065,2050,2638210,,-314310,285980,26500
2000-03-21,2015,2035,2943250,,-360590,283970,60400
2000-03-22,2040,2015,4251690,,583680,392730,-976800
2000-03-23,2005,2000,3980700,,786430,11260,-785450
2000-03-24,2000,2020,4346130,,-251830,316010,-74250
2000-03-27,1970,1960,3255260,,567230,-348930,-242930
2000-03-28,1945,1930,2159100,,-67420,46420,21000
2000-03-29,1925,1800,3653690,,731510,-932980,202450
2000-03-30,1800,1800,3201000,,-239110,105930,125620
2000-03-31,1750,1730,2174650,,161770,-181350,47230
2000-04-03,1785,1745,3272650,,116770,-132780,-30000
2000-04-04,1795,1825,2902840,,-712020,691830,2850
2000-04-06,1800,1765,1445930,,57310,-92640,34540
2000-04-07,1700,1750,1978380,,191760,-217440,26450
2000-04-10,1750,1765,5413360,,664680,-636400,14840
