Symbol,유한양행_시가(원),유한양행_종가(원),유한양행_거래량(주),유한양행_PER(IFRS-연결),유한양행_순매수수량(개인)(주),유한양행_순매수수량(기관계)(주),유한양행_순매수수량(외국인계)(주)
2000-01-04,32100,35000,77320,5.44,6840,-15180,-240
2000-01-05,34500,34350,125130,5.34,-10790,19960,1230
2000-01-06,34300,32100,51080,4.99,-13940,13960,0
2000-01-07,31000,33600,86060,5.22,7460,-8260,800
2000-01-10,35000,33850,107660,5.26,-6370,4400,1830
2000-01-11,34000,34100,68200,5.3,-6520,5840,560
2000-01-12,34000,33300,44070,5.18,1600,-1620,0
2000-01-13,33300,32700,40920,5.08,-13830,16050,-1140
2000-01-14,33000,32700,59980,5.08,9300,17410,-26710
2000-01-17,31700,33000,48220,5.13,-1610,17970,-16360
2000-01-18,33000,32950,19900,5.12,-310,250,60
2000-01-19,32100,31000,31410,4.82,9730,-8450,-690
2000-01-20,30000,30500,33840,4.74,650,-2160,1010
2000-01-21,30500,30500,57490,4.74,26960,-21210,-510
2000-01-24,29500,29500,56820,4.59,16840,-21990,150
2000-01-25,28500,28300,121520,4.4,65220,-69270,0
2000-01-26,28450,28600,42620,4.45,-11990,9540,0
2000-01-27,28700,29600,98960,4.6,-6570,6610,300
2000-01-28,30150,30900,55990,4.8,-35530,5770,-150
2000-01-31,30000,30200,32600,4.69,-1110,740,0
2000-02-01,31300,30700,45510,4.77,10450,-10410,-40
2000-02-02,31300,31800,39150,4.94,-11410,11270,0
2000-02-03,31800,32000,32530,4.97,-15070,6890,0
2000-02-07,32000,31700,46550,4.93,5660,-8750,-1080
2000-02-08,31700,31200,39010,4.85,-2100,2100,0
2000-02-09,31500,31450,85810,4.89,5090,-8920,0
2000-02-10,31000,30650,59390,4.76,13800,-12730,-1070
2000-02-11,29500,32000,104370,4.97,-8260,1250,0
2000-02-14,31500,31600,53340,4.91,-24470,24170,300
2000-02-15,31600,30500,61580,4.74,-12280,5370,310
2000-02-16,29600,30500,33560,4.74,-8390,8330,100
2000-02-17,30700,33500,310120,5.21,19840,-31000,-140
2000-02-18,35000,37500,569080,5.83,82440,-55150,2500
2000-02-21,37000,36400,233560,5.66,-59530,44850,4000
2000-02-22,36700,35200,164890,5.47,-43010,23460,-4330
2000-02-23,33100,34800,131070,5.41,9650,-9480,-160
2000-02-24,34000,34500,88370,5.36,-5900,600,3000
2000-02-25,34000,34900,157190,5.43,-9910,11900,0
2000-02-28,34900,34500,102470,5.36,-39540,26420,120
2000-02-29,35400,35900,165820,5.58,5060,-32400,910
