Symbol,일양약품_시가(원),일양약품_종가(원),일양약품_거래량(주),일양약품_PER(IFRS-연결),일양약품_순매수수량(개인)(주),일양약품_순매수수량(기관계)(주),일양약품_순매수수량(외국인계)(주)
2000-01-04,11200,12850,886990,53.5,-23690,23100,0
2000-01-05,13000,14000,1849100,58.28,6920,-9950,-1420
2000-01-06,14000,11900,683360,49.55,2220,-360,-230
2000-01-07,12100,13650,1367950,56.82,5170,170,360
2000-01-10,14500,13000,1582420,54.12,10690,-10960,120
2000-01-11,13400,13200,737270,54.96,-30260,29970,80
2000-01-12,13600,13500,603920,56.2,-28940,28940,0
2000-01-13,13600,12900,412770,53.71,2480,-3280,-500
2000-01-14,12500,11650,486350,48.5,-11360,9360,0
2000-01-17,11750,11700,414130,48.71,-2640,290,350
2000-01-18,11500,11300,235570,47.05,1380,-1450,70
2000-01-19,11300,10300,382480,42.89,-17590,17300,0
2000-01-20,9800,10000,258120,41.63,-31240,31030,210
2000-01-21,9950,10300,313070,42.89,3380,-1470,0
2000-01-24,10100,10300,379590,42.89,3100,400,0
2000-01-25,10500,10000,233370,41.63,720,-720,0
2000-01-26,10300,9800,213360,40.8,-2200,200,0
2000-01-27,10000,10650,668370,44.34,900,130,0
2000-01-28,10700,10800,262940,44.97,1020,-900,0
2000-01-31,10600,10700,337160,44.54,-3470,3470,0
2000-02-01,10700,10700,255500,44.54,-14180,14220,-40
2000-02-02,11100,11950,909400,49.75,-4180,5180,0
2000-02-03,12200,11450,456040,47.67,-1910,-90,0
2000-02-07,11700,11900,486440,49.55,-910,-600,1500
2000-02-08,12300,12150,538510,50.58,2750,750,-1500
2000-02-09,12150,12600,592740,52.46,-8640,6640,0
2000-02-10,12500,12200,421960,50.79,10790,-9590,0
2000-02-11,12500,13050,941770,54.33,5320,220,0
2000-02-14,13450,12350,550130,51.42,10620,-7620,0
2000-02-15,11950,10600,356100,44.13,-8060,2490,70
2000-02-16,10150,11000,466190,45.8,-490,490,0
2000-02-17,11400,12150,607600,50.58,-610,370,0
2000-02-18,12550,13000,1294140,54.12,84930,-81810,0
2000-02-21,12600,12200,793350,50.79,550,-550,0
2000-02-22,12350,11300,383750,47.05,-9010,6070,0
2000-02-23,11500,11500,372210,47.88,14130,-14220,0
2000-02-24,11600,11100,314180,46.21,-4710,-290,0
2000-02-25,10800,10900,251740,45.38,-510,500,0
2000-02-28,10550,10750,233150,44.75,-1710,1510,0
2000-02-29,11100,10750,240210,44.75,870,-670,0
2000-03-02,10900,11400,501560,47.46,-20660,18200,0
2000-03-03,11700,11200,398570,46.63,-1260,-680,0
2000-03-06,11950,11500,276620,47.88,1290,210,0
2000-03-07,11300,11600,501380,48.29,-1380,1590,0
2000-03-08,11700,11650,442090,48.5,-2670,2670,0
2000-03-09,11850,11500,287980,47.88,-18850,25550,-6780
2000-03-10,11750,13200,760640,54.96,26140,-22240,0
2000-03-13,13700,15150,1494540,63.08,12580,-12580,0
2000-03-14,15300,13800,998390,57.46,30480,-24080,-1000
2000-03-15,14000,12800,636440,53.29,14940,-14940,0
2000-03-16,13900,12300,644650,51.21,-25500,25900,0
2000-03-17,12500,11650,388520,48.5,1720,-3170,0
2000-03-20,11650,12700,521750,52.88,710,-710,0
2000-03-21,13300,12400,499860,51.63,2050,-2210,600
2000-03-22,12500,12800,470340,53.29,1970,30,0
2000-03-23,13100,13500,603490,56.2,14500,-15910,0
2000-03-24,13800,15500,1084520,64.53,-10720,9730,5000
2000-03-27,17800,15800,3429690,65.78,-39170,41170,-5000
2000-03-28,15800,15200,1033910,63.28,-39770,34800,0
2000-03-29,15000,15200,1482690,63.28,-5230,3450,0
2000-03-30,14400,13250,503510,56.65,-2240,1240,0
2000-03-31,13100,12600,417890,53.88,41180,-38750,0
2000-04-03,12300,11900,412520,37.47,36970,-34790,0
2000-04-04,12000,12000,422800,37.79,1490,-640,0
2000-04-06,11700,11600,227770,36.52,-10,160,0
2000-04-07,12100,12100,320850,38.1,-530,470,0
2000-04-10,12100,12500,472100,39.36,-16000,-910,0
2000-04-11,12100,11650,219530,36.68,2080,530,0
2000-04-12,11900,11500,213140,36.21,-1750,750,0
2000-04-14,11000,11000,209600,34.63,190,-1600,0
2000-04-17,9350,9350,197250,29.44,-4890,1900,0
2000-04-18,9600,9800,266320,30.86,-960,-2500,0
2000-04-19,10200,10200,278820,32.12,38180,-46380,8200
2000-04-20,9950,10100,137020,31.8,-560,-440,0
2000-04-21,10000,10300,151440,32.43,1010,-1010,0
2000-04-24,10600,10400,300250,32.75,14360,-14360,0
2000-04-25,10400,10350,127240,32.59,-820,820,0
2000-04-26,10350,9700,144340,30.54,190,-190,0
2000-04-27,9700,9200,101330,28.97,-2430,1930,0
2000-04-28,9000,9400,198080,29.6,-1730,-270,0
2000-05-02,9500,9500,155410,29.91,5800,-2520,-280
2000-05-03,9510,9410,107130,29.63,1270,-840,-430
2000-05-04,9350,9950,380930,31.33,240,-100,-140
2000-05-08,10300,10000,205570,31.49,10490,-10250,-210
2000-05-09,9980,10200,237110,32.12,260,0,-260
2000-05-10,10200,10000,125360,31.49,-1850,2710,-860
2000-05-12,9820,9790,202290,30.83,540,-300,-270
2000-05-15,9790,9700,178300,30.54,290,-150,-140
2000-05-16,9990,9690,318530,30.51,-39910,20050,-140
2000-05-17,9690,8590,226500,27.05,410,-60,-350
2000-05-18,8200,7330,224900,23.08,8360,-19730,0
2000-05-19,7350,7370,133230,23.21,-40,40,0
2000-05-22,7300,6450,94850,20.31,450,-380,-70
2000-05-23,5800,6400,103940,20.15,-4820,2670,0
2000-05-24,6030,6600,123600,20.78,710,-710,0
2000-05-25,6950,7430,139880,23.39,33440,-31290,0
2000-05-26,7450,6810,195610,21.44,9510,-60,0
2000-05-29,6510,6850,126390,21.57,-2080,1880,0
2000-05-30,6870,7190,101010,22.64,2000,-1830,-160
2000-05-31,7250,7320,204960,23.05,41860,-41860,0
2000-06-01,7400,7550,262990,23.77,15530,-15530,0
2000-06-02,7650,7400,233160,23.3,26320,-26320,0
2000-06-05,7600,7800,339190,24.56,21400,-1400,0
2000-06-07,7950,8360,393380,26.32,9390,-9690,0
2000-06-08,8510,7800,237610,24.56,-880,-820,0
2000-06-09,7800,7720,118020,24.31,440,-80,0
2000-06-12,7920,8870,558610,27.93,3180,-40,0
2000-06-13,8670,7910,307510,24.91,-200,200,0
2000-06-14,8210,7900,122630,24.87,30,-30,0
2000-06-15,7500,7350,90880,23.14,130,-130,0
2000-06-16,7350,7100,86350,22.35,-530,530,0
2000-06-19,6910,6970,70090,21.95,20,-20,0
2000-06-20,7070,7150,101470,22.51,40,-40,0
2000-06-21,7100,7150,89760,22.51,850,-850,0
2000-06-22,7320,7100,106860,22.35,160,-160,0
2000-06-23,7150,7180,71660,22.6,120,-120,0
2000-06-26,7150,7500,173550,23.61,40,-40,0
2000-06-27,7340,7410,138580,23.33,2910,-2870,0
2000-06-28,7500,7300,91840,22.98,310,-310,0
2000-06-29,7250,7150,72490,22.51,320,-320,0
2000-06-30,7220,7170,73040,22.58,760,-220,0
2000-07-03,7170,7200,129900,22.67,1940,60,0
2000-07-04,7250,7290,183570,22.96,4480,-480,2000
2000-07-05,7400,7140,100100,22.48,430,-430,0
2000-07-06,7150,7190,145170,22.64,7150,-110,0
2000-07-07,7100,7390,222610,23.27,-240,290,0
2000-07-10,7590,7360,220640,23.18,28810,-29920,0
2000-07-11,7490,7800,672310,24.56,31450,-30340,0
2000-07-12,8100,8970,543020,28.24,23750,-18250,0
2000-07-13,9070,8300,1104450,26.13,-1250,-420,0
2000-07-14,8300,7800,303950,24.56,-1930,-1570,0
2000-07-18,8100,8050,971300,25.35,-130,130,0
2000-07-19,7750,7450,209320,23.46,-710,520,0
2000-07-20,7400,7350,174500,23.14,-2530,490,40
2000-07-21,7300,7270,121240,22.89,620,-360,0
2000-07-24,7210,6800,146600,21.41,-1240,1240,0
2000-07-25,6700,6850,75990,21.57,-1250,1000,250
2000-07-26,6860,6940,88220,21.86,590,-590,0
2000-07-27,6990,7090,121710,22.33,-410,410,0
2000-07-28,7190,6850,62800,21.57,-1850,1010,840
2000-07-31,6700,6700,56540,21.1,-750,330,420
2000-08-01,6600,6830,75600,21.5,790,-790,0
2000-08-02,7000,6900,120040,21.73,-120,50,70
2000-08-03,7100,6900,82140,21.73,550,-550,0
2000-08-04,7000,6820,41200,21.48,250,-250,0
2000-08-07,6700,6500,81350,20.47,130,-130,0
2000-08-08,6500,6500,56390,20.47,30,-120,0
2000-08-09,6510,6650,53970,20.94,-390,-30,420
2000-08-10,6610,6700,60830,21.1,-90,180,0
2000-08-11,6800,6720,83930,21.16,980,-980,0
2000-08-14,6900,6950,94280,21.88,1060,-1140,80
