Symbol,제일기획_시가(원),제일기획_종가(원),제일기획_거래량(주),제일기획_PER(IFRS-연결),제일기획_순매수수량(개인)(주),제일기획_순매수수량(기관계)(주),제일기획_순매수수량(외국인계)(주)
2000-01-04,82100,88500,93965,12.06,22555,-2990,-19805
2000-01-05,86000,87000,89750,11.86,-440,-19050,19590
2000-01-06,91000,86000,136760,11.72,-7840,-67950,66590
2000-01-07,87500,88000,50197,11.99,-12840,-4190,17030
2000-01-10,90000,88000,57950,11.99,-16400,-4690,22090
2000-01-11,89500,101000,144598,13.77,-25230,-18560,42230
2000-01-12,96000,99000,190927,13.49,-57130,-2110,62340
2000-01-13,100000,104000,72986,14.17,-19170,-9870,29540
2000-01-14,105000,110000,174772,14.99,-63010,46370,17250
2000-01-17,110000,115000,109252,15.67,-54240,20510,36230
2000-01-18,113000,112000,103607,15.26,-8260,8900,1360
2000-01-19,120000,108000,196870,14.72,-31430,-107380,41310
2000-01-20,108000,114000,80483,15.54,-48120,5890,44330
2000-01-21,114000,110000,52660,14.99,-5100,7800,160
2000-01-24,107000,104000,39695,14.17,7080,-5260,180
2000-01-25,101500,95000,64540,12.95,-4190,-8740,15930
2000-01-26,95100,96700,47829,13.18,-9910,-11820,21730
2000-01-27,98000,97500,25195,13.29,-3130,-1030,2160
2000-01-28,98000,99200,18909,13.52,-850,-1520,2370
2000-01-31,105000,100000,45627,13.63,-3400,-17660,21060
2000-02-01,100000,101000,33123,13.77,-10190,10890,-700
2000-02-02,103000,113500,59838,15.47,-40220,11010,25210
2000-02-03,120000,130500,323557,17.78,-135320,-69960,224610
2000-02-07,130500,125500,157961,17.1,-14941,-18440,43311
2000-02-08,126000,122000,67082,16.63,-16020,-3120,19140
2000-02-09,125000,140000,221265,19.08,-10654,-47476,67930
2000-02-10,144000,139000,173390,18.94,-26880,-1750,32830
2000-02-11,139000,125000,95508,17.03,-10550,6670,2380
2000-02-14,127000,128000,66678,17.44,-18490,-730,19220
2000-02-15,130000,125000,44853,17.03,-8653,-10877,20530
2000-02-16,123000,120000,61611,16.35,-750,-2220,36040
2000-02-17,118000,120000,70720,16.35,19420,-20600,8870
2000-02-18,125000,131000,90220,17.85,-28680,-4630,33310
2000-02-21,131000,135000,77419,18.4,-21410,-7110,32720
2000-02-22,135000,138500,77300,18.87,-14790,6480,7810
2000-02-23,138500,136500,32445,18.6,-14870,2550,11820
2000-02-24,134500,138000,44145,18.81,-13810,7910,5900
2000-02-25,145000,151500,150223,20.64,-70540,19610,51930
2000-02-28,155000,152000,159130,20.71,-42920,-17130,60050
2000-02-29,158000,143000,58600,19.49,-9100,40,2860
2000-03-02,155000,164000,89245,22.35,-50130,45500,5500
2000-03-03,164000,156500,34309,21.33,-9570,8640,830
2000-03-06,158000,150500,39945,20.51,930,-10790,6760
2000-03-07,154000,163500,118886,22.28,-25550,-61570,87050
2000-03-08,163500,163500,45450,22.28,-6440,-16140,22880
2000-03-09,168000,182000,80035,24.8,-25920,-20510,47430
2000-03-10,186500,178500,35271,24.32,-6670,3530,13610
2000-03-13,180000,167000,35048,22.76,4120,-3640,3750
2000-03-14,167000,157000,57906,21.4,-11220,9240,2480
2000-03-15,158000,163000,40621,22.21,-3330,-10930,14260
2000-03-16,160000,155000,39570,21.12,9490,-2290,-5400
2000-03-17,156000,146500,32804,19.97,4120,-7030,4850
2000-03-20,148000,143000,34580,19.49,-4600,-4120,6920
2000-03-21,143000,153500,70368,20.92,-5270,-17280,22550
2000-03-22,152000,152500,30560,20.78,4560,-4070,-860
2000-03-23,150500,141000,63150,19.21,24190,-20890,-4500
2000-03-24,144000,139000,59800,18.94,10190,2430,-13520
2000-03-27,140000,143000,42300,19.49,-9080,-13550,17030
2000-03-28,140500,143000,25220,19.49,-3090,-1560,1650
2000-03-29,140500,139000,22441,18.94,-4570,4320,250
2000-03-30,140000,138500,31200,18.87,9300,-11560,2260
2000-03-31,136500,137000,18341,18.67,-1790,2460,-670
2000-04-03,135000,133000,16240,18.12,-5480,-290,4350
2000-04-04,130000,113500,50970,15.47,19400,8070,-10650
2000-04-06,110000,120000,151820,16.35,10060,-9360,-640
2000-04-07,120000,131000,64696,17.85,19105,-25480,6625
2000-04-10,130000,128000,59230,17.44,-1230,4340,-2850
2000-04-11,127000,123000,32230,16.76,-2710,10810,-8100
2000-04-12,120500,124000,37245,16.9,-10710,6980,3730
2000-04-14,118000,118500,41620,16.15,-6320,13750,-7430
2000-04-17,101000,101000,38220,13.77,18040,-6430,3090
2000-04-18,107000,100500,121337,13.7,36330,11600,-41270
2000-04-19,103000,99500,110460,13.56,45200,-2820,-32190
2000-04-20,102000,102500,62170,13.97,-22760,10270,12490
2000-04-21,105000,113000,85155,15.4,-16700,16080,-2000
2000-04-24,114000,106500,30706,14.51,-10430,5350,-300
2000-04-25,110500,108000,17580,14.72,50,-50,0
2000-04-26,108500,108000,29800,14.72,-8830,3070,5760
2000-04-27,106000,113500,72243,15.47,-26300,10680,20620
2000-04-28,113500,116500,40949,15.88,-3200,-1250,11840
2000-05-02,115000,125000,39162,17.03,-12280,940,11340
2000-05-03,126000,130500,43380,17.78,-11460,-4660,16120
2000-05-04,132000,125000,37222,17.03,-2810,2710,100
2000-05-08,128000,135000,74265,18.4,-18230,-13500,31680
2000-05-09,137000,132500,28375,18.06,-4110,-240,4350
2000-05-10,131000,130000,21689,17.72,-2485,-435,2870
2000-05-12,133000,133500,54449,18.19,-14880,9880,16000
2000-05-15,133500,129000,50970,17.58,-9590,-6370,14780
2000-05-16,132000,132000,20750,17.99,-6630,2370,4260
2000-05-17,136000,134000,87327,18.26,-37,6287,17820
2000-05-18,139500,134000,92230,18.26,-15580,14930,27700
2000-05-19,133000,132500,27352,18.06,-4630,1000,6630
2000-05-22,129000,123000,43537,16.76,-4210,5860,-1650
2000-05-23,116500,124000,19204,16.9,-5700,-3470,9170
2000-05-24,121000,119500,14930,16.29,-1120,-4360,5480
2000-05-25,125000,125000,17380,17.03,-2380,2820,-440
2000-05-26,122000,120000,24120,16.35,-100,-2850,2950
2000-05-29,118000,115500,12086,15.74,-346,506,-160
2000-05-30,115500,118000,23440,16.08,-1440,-2820,3960
2000-05-31,121500,134000,46513,18.26,-12370,3430,8940
2000-06-01,135000,145500,106142,19.83,-14140,1560,43180
2000-06-02,150000,143000,42283,19.49,-260,-12170,18050
2000-06-05,145000,147000,66433,20.03,6553,2120,4500
2000-06-07,147000,146000,51676,19.9,4020,-2520,1590
2000-06-08,144000,134000,29215,18.26,4340,-2110,-1260
2000-06-09,130000,136000,156040,18.54,45752,-23902,-18010
2000-06-12,140000,137000,79740,18.67,-1840,-1680,3760
2000-06-13,132000,128000,31485,17.44,-5020,3590,1430
2000-06-14,128000,129500,34180,17.65,4650,6540,-11190
2000-06-15,128000,122500,29231,16.69,-1350,4250,-2900
2000-06-16,117000,117500,44020,16.01,9270,2800,-12070
2000-06-19,122000,125000,68723,17.03,-13850,-8610,17460
2000-06-20,127000,130000,51031,17.72,-11139,-580,11139
2000-06-21,131000,138000,108147,18.81,-34370,25630,29150
2000-06-22,138000,137000,67901,18.67,-11820,-10560,28310
2000-06-23,133000,131500,26605,17.92,3020,4420,-7440
2000-06-26,128000,132000,14595,17.99,-1490,3420,-2040
2000-06-27,134000,132000,23030,17.99,-2520,2530,-260
2000-06-28,132000,135000,32410,18.4,-2480,990,-950
2000-06-29,138000,142500,106344,19.42,-24890,-29360,60530
2000-06-30,139500,145500,29890,19.83,-12602,-3278,17290
2000-07-03,148500,148000,45790,20.17,-2030,4950,10
2000-07-04,149500,149500,34490,20.37,-13700,-15420,27640
2000-07-05,151000,149500,38920,20.37,-10670,-14860,26110
