Symbol,카카오_시가(원),카카오_종가(원),카카오_거래량(주),카카오_PER(IFRS-연결),카카오_순매수수량(개인)(주),카카오_순매수수량(기관계)(주),카카오_순매수수량(외국인계)(주)
2000-01-04,400000,340500,299705,139.8,15505,4610,-915
2000-01-05,300000,300000,11735,123.17,159,-359,300
2000-01-06,285000,264000,287096,108.39,15600,-5058,-10353
2000-01-07,232500,232500,12935,95.46,-1680,1420,-440
2000-01-10,232500,235000,748874,96.48,-13347,-9525,22317
2000-01-11,263000,263000,158638,107.98,1711,-25972,27942
2000-01-12,231500,247000,835796,101.41,-67361,-10776,74527
2000-01-13,233000,217500,481144,89.3,42430,-9488,-21692
2000-01-14,225000,233500,685501,95.87,23750,-23115,-319
2000-01-17,250000,261500,498122,107.37,-1946,-10113,9403
2000-01-18,265000,292500,257945,120.09,3400,-7050,3950
2000-01-19,324000,259000,748278,106.34,30690,-1335,-18756
2000-01-20,260000,281000,678076,115.37,9494,-6960,-1000
2000-01-21,281000,275000,539470,112.91,-10955,9985,1950
2000-01-24,271000,273000,303779,112.09,-29252,3400,26087
2000-01-25,245000,240500,254165,98.74,-720,1443,-2218
2000-01-26,245000,220000,394786,90.33,-3610,-2700,-1640
2000-01-27,205000,194000,247224,79.65,2604,4200,-4784
2000-01-28,181000,217000,515977,89.1,26366,-9140,-8638
2000-01-31,213000,243000,206802,99.77,-47189,-739,47882
2000-02-01,272000,272000,35182,111.68,-265,0,170
2000-02-02,280500,279000,578226,114.55,26806,-15870,-10402
2000-02-03,156000,156000,201794,128.1,-2265,0,12440
2000-02-07,174500,174500,12519,143.29,-2298,2300,-2
2000-02-08,195000,195000,600859,160.12,-67363,-4637,96117
2000-02-09,205000,218000,225518,179.01,-30683,20500,-17410
2000-02-10,229000,244000,163733,200.36,-4561,-3558,5026
2000-02-11,273000,273000,55360,224.17,40,-1100,2135
2000-02-14,264000,247000,1254125,202.82,17529,-38258,23135
2000-02-15,250000,217500,648619,178.6,-47518,19631,25883
2000-02-16,210000,243500,871486,199.95,-23440,38152,-13235
2000-02-17,246000,243500,1019885,199.95,-1375,12852,-9528
2000-02-18,250500,228000,912308,187.22,17798,-30585,15075
2000-02-21,210000,206500,588638,169.57,-2701,4001,-1652
2000-02-22,215000,196000,481754,160.95,3864,-5654,-4705
2000-02-23,187000,180000,461574,147.81,-26367,-4500,31300
2000-02-24,199000,201500,198168,165.46,-9066,3581,-1044
2000-02-25,219500,200000,505172,164.23,-42922,33830,12889
2000-02-28,190000,184000,472014,151.09,-21785,7050,11150
2000-02-29,191000,184000,277474,151.09,10373,-220,-7153
2000-03-02,190000,179500,309043,147.4,-7011,200,4061
2000-03-03,158000,158000,616721,129.74,-26682,20864,-346
2000-03-06,165000,147000,476923,120.71,19194,-15630,1020
2000-03-07,141500,156000,583977,128.1,10174,-1537,-8620
2000-03-08,148000,160000,765858,131.38,-46848,13640,35160
2000-03-09,164000,179000,657180,146.99,-101222,78001,22997
2000-03-10,185000,177000,805770,145.34,30742,28690,37810
2000-03-13,177000,157000,480702,128.92,18568,-14270,-9
2000-03-14,143000,145500,432507,119.48,17139,-25357,3114
2000-03-15,140000,142500,620710,117.01,13551,-6000,-12463
2000-03-16,145000,147000,1060110,120.71,33848,-27000,1310
2000-03-17,143000,129500,354337,106.34,1981,-14073,11095
2000-03-20,125000,114000,282628,93.61,-30115,21700,9549
2000-03-21,102000,110000,721601,90.33,-16896,4000,5268
2000-03-22,115000,114500,663165,94.02,15976,-3000,-10451
2000-03-23,119500,110000,479646,90.33,-21285,-8639,30916
2000-03-24,113500,109000,294750,89.51,34060,-26941,-5660
2000-03-27,111000,115500,626061,94.84,-7089,1063,1090
2000-03-28,116000,115500,272204,94.84,-1428,13954,-10340
2000-03-29,110000,103000,239908,84.58,-30422,40800,0
2000-03-30,96500,115000,588454,94.43,-41979,-6881,54772
2000-03-31,111500,102500,655624,84.17,18418,-3040,-17000
2000-04-03,105000,96500,369369,79.24,-63695,17193,43000
2000-04-04,92000,87800,525347,72.1,61365,500,-52064
2000-04-06,88000,89200,688677,73.25,7189,-1654,-8179
2000-04-07,94000,99900,413924,82.03,-37181,22541,13440
2000-04-10,108000,111500,104221,91.56,4095,-2993,508
2000-04-11,100500,100000,822622,82.11,-5016,5000,-2159
2000-04-12,97000,97000,297372,79.65,15235,-24000,9093
2000-04-14,90000,85400,236537,70.13,37991,-4750,-33975
2000-04-17,75200,75200,7533,61.75,550,0,-700
2000-04-18,77100,67400,631180,55.35,169266,-30320,-135250
2000-04-19,70200,68000,649251,55.84,4220,-20805,-140
2000-04-20,67000,62800,424136,51.57,13910,500,1130
2000-04-21,64600,70300,789166,57.73,-5397,4500,-91
2000-04-24,69800,62000,460887,50.91,-1574,1500,0
2000-04-25,59100,61200,475086,50.25,7194,-7300,0
2000-04-26,64300,60000,415691,49.27,2168,5380,-7552
2000-04-27,57500,52800,261597,43.36,-506,0,490
2000-04-28,54000,52500,416303,43.11,15126,-12500,-2613
2000-05-02,54100,58800,332684,48.28,-46586,10000,38604
2000-05-03,59900,62000,558891,50.91,-67129,-8000,76180
2000-05-04,62700,63500,444634,52.14,13952,-13760,120
2000-05-08,66100,62700,430612,51.49,5474,0,-5360
2000-05-09,60100,58600,262254,48.12,20466,-1000,-19470
2000-05-10,58500,57400,343443,47.13,54995,0,-56142
2000-05-12,55900,52000,299407,42.7,-1338,1000,0
2000-05-15,50000,45850,302507,37.65,-356,500,100
2000-05-16,45850,51300,437778,42.13,7161,-7136,0
2000-05-17,53100,46000,629814,37.77,3190,-4240,1000
2000-05-18,45000,47200,946746,38.76,-29738,33305,-3700
2000-05-19,49500,52800,887775,43.36,5169,-13850,9300
2000-05-22,54000,51100,1720376,41.96,3079,-2260,-1440
2000-05-23,53000,57200,615444,46.97,-125588,1930,160691
2000-05-24,59900,64000,1163564,52.55,-102595,5365,104850
2000-05-25,65000,69600,915709,57.15,-22150,21451,1000
2000-05-26,66900,66000,1274576,54.2,14425,18876,-7353
2000-05-29,66000,64300,744024,52.8,7116,-9000,1636
2000-05-30,66000,72000,837302,59.12,95638,3900,-84918
2000-05-31,77400,80600,911870,66.18,-62472,19316,32190
2000-06-01,80600,78600,1171028,64.54,4003,-13500,14990
2000-06-02,82800,78100,769922,64.13,6133,-1000,1682
2000-06-05,83100,87400,613921,71.77,-28512,5000,14410
2000-06-07,89000,97800,825567,80.31,23131,-31800,5424
2000-06-08,104000,109500,1214861,89.92,-103625,-7700,113901
2000-06-09,105000,99600,1432711,81.79,-5129,17550,-7035
2000-06-12,99000,95400,816050,78.34,-49161,46900,7630
2000-06-13,95000,90800,1032702,74.56,1319,-16217,12320
2000-06-14,94300,90900,697344,74.64,38284,-12700,-28460
2000-06-15,89000,80000,474702,65.69,11843,-1200,-2736
2000-06-16,77000,89600,1330680,73.58,29062,19353,-202
2000-06-19,91000,83000,1523690,68.16,52014,-4970,4790
2000-06-20,86700,84200,710312,69.14,-61441,58539,100
2000-06-21,85100,88300,1012569,72.51,-17186,-33250,49970
2000-06-22,90000,86900,665756,71.36,-38889,67457,3920
2000-06-23,83000,88500,747297,72.67,39246,14270,-2745
2000-06-26,88000,99100,1247345,81.38,20839,-7370,-8550
2000-06-27,102500,100000,2112011,82.11,13151,-10882,90
2000-06-28,100000,112000,1329988,91.97,30796,-9665,-17605
2000-06-29,117000,105000,2329785,86.22,29677,-27030,7575
2000-06-30,103000,106000,1747762,87.04,-27546,32526,-710
2000-07-03,106000,106000,732626,87.04,-8957,21930,-14500
2000-07-04,102000,97900,689029,80.39,11251,-9770,-1010
2000-07-05,96000,87000,798666,71.44,-9017,21042,-6810
2000-07-06,85000,89000,837620,73.08,-27454,34202,-4860
2000-07-07,90100,88100,436625,72.34,-9613,11289,1295
2000-07-10,86200,84900,440176,69.72,-11936,13334,-1540
2000-07-11,85500,79000,596275,64.87,27659,-958,-18698
2000-07-12,80100,88400,1299111,72.59,48271,-5468,-25469
2000-07-13,90000,86000,1626246,70.62,23713,-14262,-38168
2000-07-14,89900,87400,933559,71.77,746,26600,-26900
2000-07-18,88000,82000,956518,67.33,153036,20800,-174490
2000-07-19,79100,72900,934901,59.86,91614,-67926,-26177
2000-07-20,70200,72000,1467906,59.12,55326,-3298,-48623
2000-07-21,71100,69400,483325,56.99,-31637,6130,-240
2000-07-24,67100,67500,594324,55.43,-106881,-5230,122150
2000-07-25,67400,75600,687125,62.08,-32267,8277,24720
2000-07-26,77600,72800,1155235,59.78,-10491,13000,-1760
2000-07-27,73500,70500,473923,57.89,-10229,17550,-7380
2000-07-28,68500,63800,462238,52.39,20358,-21050,510
2000-07-31,61000,71400,1114759,58.63,2806,-2000,-590
2000-08-01,72100,70400,1159988,57.81,-8814,8356,-80
2000-08-02,70400,71000,1024464,58.3,1022,1200,-2150
2000-08-03,71700,72200,1116165,59.29,-12120,11150,1500
