Symbol,코웨이_시가(원),코웨이_종가(원),코웨이_거래량(주),코웨이_PER(IFRS-연결),코웨이_순매수수량(개인)(주),코웨이_순매수수량(기관계)(주),코웨이_순매수수량(외국인계)(주)
2000-01-04,2800,2890,357906,8.64,0,0,0
2000-01-05,2790,2700,571847,8.07,10000,0,0
2000-01-06,2810,2590,515094,7.74,0,0,0
2000-01-07,2550,2320,318877,6.93,0,0,0
2000-01-10,2350,2280,430553,6.81,0,0,0
2000-01-11,2260,2420,744249,7.23,0,0,0
2000-01-12,2350,2200,357636,6.57,0,0,0
2000-01-13,2070,2010,383989,6.01,0,0,0
2000-01-14,1960,2030,514308,6.07,0,0,0
2000-01-17,2160,2110,394693,6.31,330,0,0
2000-01-18,2110,2110,234829,6.31,0,0,0
2000-01-19,2150,1900,359235,5.68,0,0,0
2000-01-20,1850,1730,262381,5.17,0,0,0
2000-01-21,1760,1930,397326,5.77,0,0,0
2000-01-24,1900,2160,493117,6.45,0,0,0
2000-01-25,2100,2120,402236,6.34,0,0,0
2000-01-26,2290,2180,359563,6.51,0,0,0
2000-01-27,2110,2190,482398,6.54,0,0,0
2000-01-28,2190,2240,314718,6.69,0,0,0
2000-01-31,2190,2180,231796,6.51,0,0,0
2000-02-01,2200,2290,778054,6.84,0,0,0
2000-02-02,2300,2480,957830,7.41,0,0,0
2000-02-03,2580,2430,878530,7.26,0,0,0
2000-02-07,2430,2630,1353555,7.86,0,0,0
2000-02-08,2600,2350,498281,7.02,0,0,0
2000-02-09,2350,2270,480950,6.78,0,0,0
2000-02-10,2100,2030,525192,6.07,0,0,0
2000-02-11,2060,2110,568000,6.31,-2000,0,0
2000-02-14,2120,1990,390562,5.95,0,0,0
2000-02-15,2050,2060,472309,6.16,0,0,0
2000-02-16,2020,2020,331567,6.04,0,0,0
2000-02-17,2060,2260,983779,6.75,0,0,0
2000-02-18,2300,2350,945236,7.02,-2042,0,0
2000-02-21,2220,2200,464318,6.57,2000,0,0
2000-02-22,2200,2450,847257,7.32,0,0,0
2000-02-23,2740,2370,1394730,7.08,0,0,0
2000-02-24,2470,2500,1567471,7.47,0,0,0
2000-02-25,2500,2400,1075521,7.17,0,0,0
2000-02-28,2490,2680,651007,8.01,0,0,0
2000-02-29,3000,3000,1396608,8.97,2042,0,0
