Symbol,팜스코_시가(원),팜스코_종가(원),팜스코_거래량(주),팜스코_PER(IFRS-연결),팜스코_순매수수량(개인)(주),팜스코_순매수수량(기관계)(주),팜스코_순매수수량(외국인계)(주)
2000-01-04,1750,2090,180470,14.43,-180,0,0
2000-01-05,2050,1995,181670,13.78,190,-190,0
2000-01-06,2090,1900,101400,13.12,110,-110,0
2000-01-07,1990,2050,179250,14.16,80,-80,0
2000-01-10,2090,2040,203280,14.09,120,-120,0
2000-01-11,2030,1950,136500,13.46,190,-190,0
2000-01-12,1920,1890,100210,13.05,270,-270,0
2000-01-13,1825,1815,77780,12.54,220,-220,0
2000-01-14,1800,1800,115840,12.43,2040,-320,-1720
2000-01-17,1800,1800,103960,12.43,1120,-1120,0
2000-01-18,1805,1770,108520,12.23,50,-50,0
2000-01-19,1650,1585,99150,10.95,40,-40,0
2000-01-20,1520,1550,108720,10.7,10,-10,0
2000-01-21,1490,1600,117580,11.05,290,-290,0
2000-01-24,1600,1605,81190,11.08,10,-10,0
2000-01-25,1590,1845,607450,12.74,8340,-8240,0
2000-01-26,1800,1850,288410,12.77,5530,-5530,0
2000-01-27,1895,1950,486360,13.46,1210,-80,0
2000-01-28,2070,1940,199820,13.4,90,-90,0
2000-01-31,1880,1880,184890,12.99,50,-50,0
2000-02-01,1900,1860,92180,12.85,40,-40,0
2000-02-02,1850,1870,101460,12.92,90,-90,0
2000-02-03,1885,1940,145760,13.4,80,-80,0
2000-02-07,1955,2150,258230,14.85,70,-70,0
2000-02-08,2160,2015,237150,13.92,150,-150,0
2000-02-09,2095,1950,169960,13.46,160,-160,0
2000-02-10,1880,1850,143010,12.77,18240,-40,0
2000-02-11,1850,1710,156370,11.81,410,-410,0
2000-02-14,1790,1720,68480,11.88,40,-40,0
2000-02-15,1650,1730,78600,11.95,140,-140,0
2000-02-16,1780,1840,111270,12.71,10,-10,0
2000-02-17,1870,1780,66090,12.3,60,-60,0
2000-02-18,1800,1710,108960,11.81,130,-130,0
2000-02-21,1710,1580,86740,10.92,140,-140,0
2000-02-22,1500,1600,120980,11.05,60,-60,0
2000-02-23,1600,1840,255670,12.71,1270,-590,-680
2000-02-24,1830,1920,209670,13.26,5480,-5310,-170
2000-02-25,1920,2100,647040,14.5,42240,-42240,0
2000-02-28,2020,2000,847970,13.81,150020,-150020,0
2000-02-29,1770,2000,616360,15.88,-50010,-90,0
2000-03-02,2300,2300,111600,18.26,1240,-730,-510
2000-03-03,2645,2645,193420,21,11790,-1480,-10310
2000-03-06,2760,2600,1921930,20.64,-5790,3490,0
2000-03-07,2600,2990,1419980,23.74,-139600,169730,-140
2000-03-08,2900,3250,1021580,25.8,-29590,29820,-230
2000-03-09,3260,3055,908880,24.25,20960,-620,-340
2000-03-10,3200,2930,843630,23.26,2620,-390,0
2000-03-13,2950,3100,892700,24.61,-1180,-150,0
2000-03-14,3100,3000,623970,23.82,30960,-30950,0
2000-03-15,3010,3100,445900,24.61,-3860,2260,0
2000-03-16,3100,3270,917620,25.96,380,-700,0
2000-03-17,3350,3100,565250,24.61,1680,-1360,0
2000-03-20,3010,2635,609790,20.92,70190,-70190,0
2000-03-21,2635,2240,689750,17.78,104420,-104520,0
2000-03-22,2350,2245,346380,17.82,-400,0,0
2000-03-23,2260,2100,353100,16.67,9260,-40,-9220
2000-03-24,2150,2250,501110,17.86,20,-20,0
2000-03-27,2220,2090,535960,16.59,4200,-4200,0
2000-03-28,2070,2080,329720,16.51,330,-330,0
2000-03-29,2000,1850,354130,14.69,1650,-2050,0
2000-03-30,1815,1600,1055870,12.7,-640,-360,500
2000-03-31,1695,1670,462340,13.26,4050,-3050,0
2000-04-03,1420,1420,1104280,11.27,0,0,0
2000-04-04,1300,1380,714780,10.96,-430,0,0
2000-04-06,1300,1375,366970,10.92,450,-20,0
2000-04-07,1410,1580,1109040,12.54,0,0,0
2000-04-10,1600,1680,1040410,13.34,-150,-10,0
2000-04-11,1680,1550,385840,12.31,20,-20,0
2000-04-12,1550,1430,360220,11.35,110,-10,0
2000-04-14,1410,1500,344270,11.91,150,-50,-100
2000-04-17,1310,1285,287720,10.2,0,0,0
2000-04-18,1350,1350,257680,10.72,-10,-90,100
2000-04-19,1450,1380,218590,10.96,30,-30,0
2000-04-20,1320,1320,191720,10.48,110,-10,-100
2000-04-21,1355,1365,250020,10.84,680,-680,0
2000-04-24,1450,1350,144500,10.72,660,-80,0
2000-04-25,1310,1315,118560,10.44,0,0,0
2000-04-26,1330,1280,161780,10.16,10,-10,0
2000-04-27,1250,1210,179040,9.61,-920,-80,0
2000-04-28,1200,1235,227180,9.8,40,-40,0
2000-05-02,1205,1200,492490,9.53,20,-20,0
2000-05-03,1180,1150,403940,9.13,-990,-10,0
2000-05-04,1175,1165,354350,9.25,1580,-1580,0
2000-05-08,1165,1175,366660,9.33,320,-320,0
2000-05-09,1180,1350,1170530,10.72,70,-20,0
2000-05-10,1330,1375,2016000,10.92,20,-170,0
2000-05-12,1300,1220,564610,9.69,190,-40,0
2000-05-15,1310,1200,408310,9.53,50,-50,0
2000-05-16,1220,1190,588200,9.45,20,-20,0
2000-05-17,1210,1040,504330,8.26,100,-100,0
2000-05-18,1000,1025,415560,8.14,40,-40,0
2000-05-19,1010,1010,258950,8.02,10,-10,0
2000-05-22,1010,950,311740,7.54,-1000,0,0
