Symbol,하이트진로_시가(원),하이트진로_종가(원),하이트진로_거래량(주),하이트진로_PER(IFRS-연결),하이트진로_순매수수량(개인)(주),하이트진로_순매수수량(기관계)(주),하이트진로_순매수수량(외국인계)(주)
2000-01-04,4515,4515,105380,,-3530,0,0
2000-01-05,4450,4190,81400,,-4440,0,0
2000-01-06,4200,4200,55010,,0,0,0
2000-01-07,4300,4000,55520,,-10410,0,0
2000-01-10,4200,4300,54910,,-23900,0,0
2000-01-11,4400,4400,81210,,-11000,0,0
2000-01-12,4200,4360,65000,,-720,0,0
2000-01-13,4300,4290,43720,,-11100,0,0
2000-01-14,4290,4350,70220,,-4580,-10,0
2000-01-17,4400,4540,110820,,-4120,0,-2570
2000-01-18,4410,4300,65150,,-8930,0,0
2000-01-19,4400,4300,77020,,-370,-10,0
2000-01-20,4350,4300,56740,,-2670,0,0
2000-01-21,4300,4190,40230,,-7000,0,0
2000-01-24,4100,4250,24880,,450,0,-450
2000-01-25,4250,4170,42680,,610,-10,0
2000-01-26,4170,4100,32170,,-4780,-20,0
2000-01-27,4100,4100,67080,,0,0,0
2000-01-28,4230,4100,55100,,-7200,0,0
2000-01-31,4100,4050,38250,,-4900,0,0
2000-02-01,4050,4070,26760,,1880,0,-50
2000-02-02,4065,4050,63820,,-7160,0,0
2000-02-03,4050,4020,69320,,2300,0,0
2000-02-07,4010,4050,62760,,0,0,0
2000-02-08,4020,3980,75960,,0,0,0
2000-02-09,3910,3750,74680,,0,0,0
2000-02-10,3730,3510,76920,,-8000,0,0
2000-02-11,3520,3960,99420,,0,0,0
2000-02-14,3800,3840,71620,,-4510,0,0
2000-02-15,3700,4000,74660,,10,-10,0
2000-02-16,3700,4040,50550,,-3600,0,0
2000-02-17,3870,4090,53200,,0,0,0
2000-02-18,4090,4090,40570,,0,0,0
2000-02-21,3900,3990,30130,,0,0,0
2000-02-22,3900,4000,32640,,10,-10,0
2000-02-23,3730,4000,50310,,0,0,0
2000-02-24,3990,4050,68270,,40,-40,0
2000-02-25,3860,3920,31870,,-2530,0,0
2000-02-28,4100,3950,60530,,180,0,-9980
2000-02-29,3990,4050,72040,,8000,0,-8000
2000-03-02,3950,4000,38440,,120,-20,-100
2000-03-03,3870,3930,27070,,-1130,0,-3920
2000-03-06,3770,3940,44100,,0,0,0
2000-03-07,3940,4030,48550,,-190,0,0
2000-03-08,3950,3905,38240,,2330,0,0
2000-03-09,3980,3900,29150,,190,0,0
2000-03-10,3800,3850,30850,,0,0,0
2000-03-13,3800,4200,144430,,-1410,-20,0
2000-03-14,4290,4100,79600,,-1560,-10,0
2000-03-15,4090,3820,56640,,-10000,0,0
2000-03-16,3800,3800,59110,,3010,-10,0
2000-03-17,3800,3850,45970,,-330,-10,0
2000-03-20,3850,3850,14510,,0,0,0
2000-03-21,3800,3690,51530,,-1210,0,0
2000-03-22,3700,3830,30860,,0,0,0
2000-03-23,3830,3700,29590,,0,0,0
2000-03-24,3730,3700,35360,,0,0,0
2000-03-27,3700,3700,27330,,30,-30,0
2000-03-28,3700,3710,49300,,0,0,0
2000-03-29,3710,3550,36150,,0,0,0
2000-03-30,3510,3440,30890,,0,0,0
2000-03-31,3400,3430,36590,,6540,0,-6540
2000-04-03,3430,3330,34030,,0,0,0
2000-04-04,3100,3160,26970,,1910,0,-1910
2000-04-06,3200,3270,17200,,0,0,0
2000-04-07,3250,3200,32400,,0,0,0
2000-04-10,3180,3380,28860,,-1800,0,1800
2000-04-11,3350,3450,27210,,-10410,0,10410
2000-04-12,3460,3400,18590,,0,0,0
2000-04-14,3385,3210,10130,,0,0,0
2000-04-17,2735,2880,25710,,0,0,0
2000-04-18,3000,3050,16480,,10,-10,0
2000-04-19,3050,3100,15710,,0,0,0
2000-04-20,3050,3100,11470,,0,0,0
2000-04-21,3050,3385,28110,,10,-10,0
2000-04-24,3350,3250,14860,,0,0,0
2000-04-25,3165,3100,19830,,0,0,0
2000-04-26,3010,3040,14200,,-300,0,300
2000-04-27,3150,2990,9250,,-80,-20,100
2000-04-28,2900,3000,13110,,0,0,0
2000-05-02,3050,3000,9350,,10,-10,0
2000-05-03,2955,2990,13440,,0,0,0
2000-05-04,2990,3005,10550,,0,0,0
2000-05-08,3255,3100,13300,,400,0,-400
2000-05-09,3150,3060,23790,,0,0,0
