Symbol,한국가스공사_시가(원),한국가스공사_종가(원),한국가스공사_거래량(주),한국가스공사_PER(IFRS-연결),한국가스공사_순매수수량(개인)(주),한국가스공사_순매수수량(기관계)(주),한국가스공사_순매수수량(외국인계)(주)
2000-01-04,29200,29200,602360,6.56,-224560,289630,-50070
2000-01-05,29200,28950,1303320,6.5,-340910,361190,-100
2000-01-06,28500,28700,790950,6.45,-259330,175580,-50
2000-01-07,28100,28700,953550,6.45,-327100,384650,-50
2000-01-10,28700,32900,2179450,7.39,-911150,1068950,-70
2000-01-11,28200,28800,1005140,6.47,-99910,108660,-280
2000-01-12,28250,32900,2920310,7.39,-1073490,1130860,-210
2000-01-13,28350,28100,634130,6.31,80170,-81050,0
2000-01-14,27650,23900,700120,5.37,22790,-17950,590
2000-01-17,24150,24650,620600,5.54,-59830,61890,50
2000-01-18,24700,24000,198360,5.39,-72980,73030,-50
2000-01-19,23500,22300,217450,5.01,16900,-41010,0
2000-01-20,21100,22000,246720,4.94,-34890,35090,-90
2000-01-21,21000,22700,150470,5.1,-19850,19900,-50
2000-01-24,22900,24300,243390,5.46,-72020,15590,0
2000-01-25,24350,24700,237800,5.55,-370,-23380,0
2000-01-26,25000,24900,146810,5.59,-50350,36090,0
2000-01-27,25050,24800,308220,5.57,-151780,-48150,0
2000-01-28,25000,24950,184420,5.61,-47370,-19130,-120
2000-01-31,24300,24350,47260,5.47,-19920,20420,0
2000-02-01,24500,24900,83760,5.59,-20670,-5260,-50
2000-02-02,24900,26300,191500,5.91,-66560,47770,0
2000-02-03,26400,26750,127050,6.01,-53740,36200,0
2000-02-07,27000,27200,168450,6.11,-25130,-5400,0
2000-02-08,27150,26500,107720,5.95,-18860,14860,0
2000-02-09,27000,27250,147110,6.12,-67090,-6500,0
2000-02-10,27350,27350,246850,6.14,-170250,-17630,0
2000-02-11,27400,27350,196530,6.14,-112730,-70500,0
2000-02-14,26500,26350,57300,5.92,-6750,6750,0
2000-02-15,26500,26950,236370,6.05,-90240,-57740,-70
2000-02-16,25500,26000,53150,5.84,6450,13550,0
2000-02-17,26250,26900,134010,6.04,-61810,-19780,0
2000-02-18,27050,27400,225710,6.16,-181120,-4000,0
2000-02-21,27400,26800,126310,6.02,-74380,-25620,0
2000-02-22,26050,26500,67610,5.95,13990,-13940,0
2000-02-23,29000,28400,212330,6.38,-118350,39840,220
2000-02-24,28000,28300,68600,6.36,3950,-3950,0
2000-02-25,28500,29150,339430,6.55,-244220,-33180,0
2000-02-28,29150,28050,252340,6.3,-42100,-157400,0
2000-02-29,28400,28550,107170,6.41,-58430,-7310,0
2000-03-02,28700,28850,122680,6.48,-61370,-40040,0
2000-03-03,28950,27900,220870,6.27,-30730,-169270,0
2000-03-06,27300,28050,28040,6.3,-1370,1370,0
2000-03-07,28600,28250,238730,6.35,-35550,-170050,5600
2000-03-08,28250,28800,185150,6.47,-135990,-36670,0
2000-03-09,28900,28900,60150,6.49,-44620,-1400,0
2000-03-10,28050,28050,18760,6.3,1330,-1330,0
2000-03-13,27500,27500,56250,6.18,33070,-33020,-50
2000-03-14,27600,27950,90600,6.28,-73350,5800,0
2000-03-15,28000,27900,147930,6.27,-97640,-26290,0
2000-03-16,27050,27300,18420,6.13,-4070,4070,0
2000-03-17,27500,27350,47180,6.14,-17620,17620,0
2000-03-20,27400,27500,98230,6.18,41740,-41690,-50
2000-03-21,27600,27800,36370,6.25,-9370,9370,0
2000-03-22,27500,28000,65050,6.29,-30360,30360,0
2000-03-23,27850,28000,48490,6.29,-35090,35090,0
2000-03-24,28000,28400,118410,6.38,-32520,32520,0
2000-03-27,28200,28900,83240,6.49,-2890,2890,0
2000-03-28,28550,31900,295570,7.17,-200720,210070,-300
2000-03-29,28650,28000,120940,6.29,-110,5110,0
2000-03-30,28100,28300,46560,6.36,3000,-3000,0
2000-03-31,28300,30400,643190,6.83,-197980,254070,-70
2000-04-03,28400,28000,26530,6.29,7810,-7810,0
2000-04-04,27900,27600,19480,6.2,-6220,6260,0
2000-04-06,27000,27100,17320,6.09,-2760,2760,0
2000-04-07,27100,27300,12750,6.13,-3030,3070,0
2000-04-10,27300,27200,74510,6.11,34410,-34570,160
2000-04-11,27100,27500,70060,6.18,-36200,36360,-160
2000-04-12,27000,28000,49690,6.29,-29230,29230,0
2000-04-14,27500,26950,12110,6.05,2380,-2380,0
2000-04-17,25000,24300,29350,5.46,-5920,5420,500
2000-04-18,24600,25950,34660,5.83,-6750,6750,0
2000-04-19,26500,25700,66090,5.77,17430,-17430,0
2000-04-20,25000,25400,24640,5.71,-8920,8920,0
2000-04-21,25000,25900,30320,5.82,-20270,20270,0
2000-04-24,25700,25250,7460,5.67,180,-180,0
2000-04-25,25100,24850,9790,5.58,-320,320,0
2000-04-26,24850,24500,36230,5.5,2220,-2220,0
2000-04-27,24300,24400,73460,5.48,-5400,5400,0
2000-04-28,23900,25300,47670,5.68,-36070,38140,-70
