Symbol,한국단자_시가(원),한국단자_종가(원),한국단자_거래량(주),한국단자_PER(IFRS-연결),한국단자_순매수수량(개인)(주),한국단자_순매수수량(기관계)(주),한국단자_순매수수량(외국인계)(주)
2000-01-04,11500,12350,11870,7.98,0,0,0
2000-01-05,12350,12450,44900,8.04,-320,-14680,0
2000-01-06,12500,11600,31330,7.49,12000,-12000,0
2000-01-07,11200,11200,27010,7.23,8000,-8000,0
2000-01-10,11300,11500,55960,7.43,-28000,-3000,0
2000-01-11,11050,11350,93080,7.33,22050,-10250,0
2000-01-12,11250,11700,42990,7.56,-9610,9610,0
2000-01-13,11500,11500,18140,7.43,-5390,5390,0
2000-01-14,11150,10750,37350,6.94,11120,-11120,0
2000-01-17,11000,11000,33940,7.1,-13000,2000,0
2000-01-18,11000,10700,16300,6.91,0,0,0
2000-01-19,10300,10250,14930,6.62,0,0,0
2000-01-20,10000,9700,81330,6.26,31000,-31000,0
2000-01-21,10200,10100,26740,6.52,0,0,0
2000-01-24,10200,10100,29750,6.52,-1950,-8050,0
2000-01-25,10100,9700,27630,6.26,-620,-4380,0
2000-01-26,9760,9560,37470,6.17,-2630,-9370,0
2000-01-27,9560,10000,39770,6.46,17200,-19850,0
2000-01-28,10600,10200,50310,6.59,-5270,-12740,10
2000-01-31,10300,10600,39100,6.84,-400,0,0
2000-02-01,10900,10900,44560,7.04,-24230,24230,0
2000-02-02,10900,11900,51650,7.68,-6980,6730,0
2000-02-03,11900,11550,65310,7.46,-5890,-4110,0
2000-02-07,11600,11600,79940,7.49,33620,-43620,0
2000-02-08,11600,11400,34470,7.36,-10160,5280,0
2000-02-09,11500,11100,32550,7.17,-15300,3300,0
2000-02-10,11200,11100,37960,7.17,-13980,1980,0
2000-02-11,11100,10800,19550,6.97,-10000,0,0
2000-02-14,10800,10450,21670,6.75,-11730,1730,0
2000-02-15,10450,10100,26880,6.52,-3700,0,0
2000-02-16,9800,9800,21930,6.33,-10000,10000,0
2000-02-17,10300,10100,13380,6.52,0,0,0
2000-02-18,9600,11000,77280,7.1,-9080,-4020,0
2000-02-21,10800,10500,40730,6.78,-18390,-3610,0
2000-02-22,10300,11600,119390,7.49,-8230,2890,0
2000-02-23,11600,12700,264500,8.2,-5240,-15140,0
2000-02-24,12700,12200,166770,7.88,-83790,24480,0
2000-02-25,11600,12000,57370,7.75,-20000,10000,0
2000-02-28,11500,12900,107440,8.33,-66380,66380,0
2000-02-29,13200,12700,60230,8.2,-12510,12510,0
2000-03-02,12600,14000,179950,9.04,-113770,79590,0
2000-03-03,13500,13500,99010,8.72,-18400,-20710,-10
2000-03-06,13300,13600,194430,8.78,26340,-42680,0
2000-03-07,13600,13000,87560,8.39,-31600,-22500,0
2000-03-08,12550,12400,32190,8.01,-3000,3000,0
2000-03-09,12450,12500,33860,8.07,8040,-8040,0
2000-03-10,14000,13750,143320,8.88,-58790,58790,0
2000-03-13,13300,14200,123160,9.17,-46170,58170,0
2000-03-14,14150,13500,416240,8.72,-30040,55010,-400
2000-03-15,13450,13100,124610,8.46,-30190,-2560,-1050
2000-03-16,13000,12500,58710,8.07,5970,-15950,0
2000-03-17,12100,12500,38090,8.07,9790,-9870,0
2000-03-20,12800,12300,9850,7.94,-290,290,0
2000-03-21,12100,11700,28940,7.56,0,0,0
2000-03-22,11700,12050,30420,7.78,8270,990,-9260
2000-03-23,12200,12200,70850,7.88,31770,-11100,-20670
2000-03-24,12400,12200,149800,7.88,66490,-21340,-45070
2000-03-27,12500,12200,36610,7.88,-9900,9900,0
2000-03-28,12000,12000,57660,8.19,-9310,9310,0
2000-03-29,11700,11500,25720,7.84,-6520,6520,0
2000-03-30,11100,11150,48450,7.61,-13920,13880,0
2000-03-31,11450,12500,27490,8.53,-20700,20700,0
2000-04-03,12000,12000,36100,8.19,-13900,-600,14500
2000-04-04,12100,11500,1690,7.84,10,-10,0
2000-04-06,11050,11700,23210,7.98,-11440,1370,10070
2000-04-07,11900,12000,57790,8.19,4220,-29650,25430
2000-04-10,12000,11500,73250,7.84,57090,-56980,0
2000-04-11,11550,11350,33530,7.74,-11700,11700,0
2000-04-12,11150,11400,10240,7.78,0,0,0
2000-04-14,11000,11300,29650,7.71,-24300,24300,0
2000-04-17,10600,9700,58000,6.62,-32310,18310,14000
2000-04-18,10000,10150,29280,6.92,5950,-5950,0
2000-04-19,10300,9900,72460,6.75,51700,-51660,0
2000-04-20,9900,9500,43860,6.48,20010,-7000,0
2000-04-21,9600,9790,34480,6.68,12690,-12690,0
2000-04-24,9780,10100,25080,6.89,-11000,11000,0
2000-04-25,9800,10000,18140,6.82,-11480,11480,0
2000-04-26,9800,9800,16540,6.68,-9000,9000,0
2000-04-27,9510,10000,20300,6.82,-1330,-7000,4250
2000-04-28,10000,9990,23480,6.81,-9060,3310,5750
2000-05-02,10050,10000,14370,6.82,20,-20,0
2000-05-03,9800,9710,21300,6.62,930,570,-6500
2000-05-04,9800,9500,41180,6.48,20520,9770,-10290
2000-05-08,9810,9930,29090,6.77,-12280,21480,-9200
2000-05-09,9700,9750,10420,6.65,-4320,7130,-2810
2000-05-10,9700,9650,22320,6.58,6970,330,-7300
2000-05-12,9510,9400,22650,6.41,3500,7610,-7410
2000-05-15,9400,8900,31370,6.07,4970,-6290,-8680
2000-05-16,8300,9290,16720,6.34,7310,0,-7310
2000-05-17,9200,9000,52980,6.14,20,-20,0
2000-05-18,8510,8500,12910,5.8,1400,-1400,0
2000-05-19,8450,8700,41090,5.93,-2020,14640,-2020
2000-05-22,8700,8300,9590,5.66,-1950,1660,290
2000-05-23,8250,8400,11410,5.73,-3520,2990,-430
2000-05-24,8060,8400,41370,5.73,4940,-6810,1870
2000-05-25,8250,8850,39000,6.04,-3610,0,-390
2000-05-26,8500,8100,30580,5.53,-7340,10120,-2780
2000-05-29,7700,8000,9950,5.46,4270,-4270,0
2000-05-30,8000,8060,38500,5.5,20360,-9860,-10500
2000-05-31,8500,8220,53250,5.61,35510,-23630,-11880
2000-06-01,8280,8400,19140,5.73,-12080,12380,-300
2000-06-02,8400,8110,39410,5.53,21100,-21100,0
2000-06-05,8410,8710,93490,5.94,26360,-26360,0
2000-06-07,8850,8640,49770,5.89,-1720,1920,-200
2000-06-08,8900,8900,80110,6.07,-30950,41500,0
2000-06-09,8890,8790,16840,6,20,-20,0
