Symbol,한국쉘석유_시가(원),한국쉘석유_종가(원),한국쉘석유_거래량(주),한국쉘석유_PER(IFRS-연결),한국쉘석유_순매수수량(개인)(주),한국쉘석유_순매수수량(기관계)(주),한국쉘석유_순매수수량(외국인계)(주)
2000-01-04,25500,25000,1030,4.38,-10,10,0
2000-01-05,24000,23500,3340,4.12,10,-10,0
2000-01-06,24000,22500,4480,3.94,20,-20,0
2000-01-07,22550,23250,4380,4.07,-60,30,30
2000-01-10,23500,23650,5540,4.14,0,0,0
2000-01-11,22650,22900,4180,4.01,0,0,0
2000-01-12,23050,22450,14280,3.93,5910,-5910,0
2000-01-13,21700,23500,10920,4.12,-2840,2840,0
2000-01-14,24700,24000,7370,4.2,-3640,3640,0
2000-01-17,24000,24000,13010,4.2,-4600,4750,-150
2000-01-18,23000,24400,10670,4.27,-610,1830,-1220
2000-01-19,24500,22000,3010,3.85,20,-20,0
2000-01-20,22100,22000,2480,3.85,-1220,1190,30
2000-01-21,22200,22500,2470,3.94,-1500,1500,0
2000-01-24,22600,22500,2870,3.94,-1550,1550,0
2000-01-25,22450,23900,29450,4.19,1660,-1660,0
2000-01-26,23900,24000,8430,4.2,-6060,6460,-400
2000-01-27,24000,24100,10160,4.22,4500,-3000,-1500
2000-01-28,24100,24100,8070,4.22,-1940,3000,-1060
2000-01-31,23800,23650,2500,4.14,0,0,0
2000-02-01,23500,23050,2710,4.04,40,0,0
2000-02-02,23100,24000,9850,4.2,-4190,7790,-3600
2000-02-03,24300,24500,5070,4.29,90,-90,0
2000-02-07,24800,24800,15560,4.34,6410,-3410,-3000
2000-02-08,25000,24200,2640,4.24,-40,0,0
2000-02-09,24000,24000,6060,4.2,-600,600,0
2000-02-10,24000,23100,2740,4.05,30,-30,0
2000-02-11,23100,22550,4070,3.95,300,0,-300
2000-02-14,22300,22000,3890,3.85,-40,40,0
2000-02-15,22000,19000,7430,3.33,1990,-2000,10
2000-02-16,19500,19600,5990,3.43,860,-10,-900
2000-02-17,18500,20000,8580,3.5,2990,10,-3000
2000-02-18,20300,19450,8810,3.41,750,-10,-740
2000-02-21,18300,18500,8750,3.24,0,0,0
2000-02-22,17500,17700,6980,3.1,4000,0,-4000
2000-02-23,18000,18700,21390,3.27,11200,-5160,-6000
2000-02-24,19000,18400,6580,3.22,0,0,0
