Symbol,한국전력_시가(원),한국전력_종가(원),한국전력_거래량(주),한국전력_PER(IFRS-연결),한국전력_순매수수량(개인)(주),한국전력_순매수수량(기관계)(주),한국전력_순매수수량(외국인계)(주)
2000-01-04,35600,36000,2341020,15.59,-162740,118970,-26080
2000-01-05,34500,34000,1681950,14.73,-45910,-6990,37200
2000-01-06,36900,35000,2995650,15.16,-285790,-603660,892890
2000-01-07,34500,36800,2708690,15.94,-682130,310530,387000
2000-01-10,37500,36600,1547710,15.85,-225930,103100,104370
2000-01-11,37500,36300,1267880,15.72,-163300,208660,-35180
2000-01-12,36000,36500,1396090,15.81,-117000,-124170,167770
2000-01-13,36000,36000,1743570,15.59,69410,-67420,-43440
2000-01-14,36000,35650,1375690,15.44,-4850,179190,-161060
2000-01-17,35100,36100,1217780,15.64,-146930,465270,-299420
2000-01-18,37100,36300,2569930,15.72,200250,51630,-215760
2000-01-19,36300,35000,2117640,15.16,405540,43640,-441060
2000-01-20,34500,36000,1256420,15.59,-393200,459710,-51330
2000-01-21,35200,34700,1271190,15.03,137180,-49190,-65570
2000-01-24,34400,35100,1027230,15.2,-110530,61060,26470
2000-01-25,34200,33450,1145380,14.49,299180,41520,-351270
2000-01-26,33700,34000,783680,14.73,-251410,272960,5800
2000-01-27,33500,33850,804740,14.66,42540,46200,-75920
2000-01-28,34300,34850,955320,15.1,-120320,218140,-75590
2000-01-31,33500,34700,1230380,15.03,40,-19620,-38630
2000-02-01,34250,34000,1274280,14.73,142390,115700,-249940
2000-02-02,34150,35100,1027770,15.2,-186060,367200,-218340
2000-02-03,35500,35800,1068200,15.51,-381710,323380,18830
2000-02-07,34500,35000,2192600,15.16,439900,288200,-776590
2000-02-08,34500,34700,1433250,15.03,-141870,192000,-34840
2000-02-09,34300,33100,3708310,14.34,2372500,-587860,-1546170
2000-02-10,32600,31300,5010890,13.56,2818840,-2007890,-691770
2000-02-11,31300,28900,6473780,12.52,2517880,-1928830,-359680
2000-02-14,28500,27000,4719830,11.7,746070,155390,-769210
2000-02-15,27150,27150,6444580,11.76,1750750,-185040,-1423310
2000-02-16,27800,28500,4123700,12.35,-313430,176640,118690
