Symbol,한국타이어월드와이드_시가(원),한국타이어월드와이드_종가(원),한국타이어월드와이드_거래량(주),한국타이어월드와이드_PER(IFRS-연결),한국타이어월드와이드_순매수수량(개인)(주),한국타이어월드와이드_순매수수량(기관계)(주),한국타이어월드와이드_순매수수량(외국인계)(주)
2000-01-04,2700,3200,1244220,5.7,2300,-5550,-1960
2000-01-05,3170,3070,1051010,5.46,-3120,-13410,15880
2000-01-06,3110,2900,1391080,5.16,373360,-377420,4690
2000-01-07,2980,2950,1188930,5.25,51260,-59440,8180
2000-01-10,2990,3290,2922830,5.85,-65310,51600,6070
2000-01-11,3380,3120,1632680,5.55,-7070,-2940,1740
2000-01-12,3065,3015,1097910,5.37,55660,-55760,100
2000-01-13,2980,3030,1305190,5.39,211520,-162580,-50560
2000-01-14,3000,2970,1796780,5.29,356870,-53830,-303040
2000-01-17,2970,2915,1372410,5.19,331830,12600,-341430
2000-01-18,2920,2800,1237890,4.98,63810,-53850,-4960
2000-01-19,2800,2760,1873000,4.91,-148470,-119040,297880
2000-01-20,2750,2650,1478860,4.71,155780,51490,-207210
2000-01-21,2650,2650,1420900,4.71,20330,5150,-15630
2000-01-24,2570,2865,2451930,5.1,-509530,103920,391180
2000-01-25,2865,3000,4782710,5.34,-429010,18790,426650
2000-01-26,3130,2970,2089080,5.29,-275410,276950,0
2000-01-27,3000,3145,2986180,5.6,24550,272420,-299840
2000-01-28,3200,3130,2848950,5.57,-173520,152570,3470
2000-01-31,3040,3030,1404660,5.39,51860,-44020,-12970
2000-02-01,3050,2995,1644170,5.33,182470,-127290,-58790
2000-02-02,2990,3020,1799770,5.37,-180080,158260,0
2000-02-03,3030,3025,1594510,5.38,-4580,-3520,-400
2000-02-07,2810,2955,1655840,5.26,274970,-196990,-79400
2000-02-08,2920,2865,1324890,5.1,10,-1290,1280
2000-02-09,2830,2790,1408380,4.97,-14590,13190,400
2000-02-10,2790,2700,1648400,4.8,539080,-526160,-13620
2000-02-11,2660,2625,1515350,4.67,280690,-232870,-49040
2000-02-14,2560,2535,1716280,4.51,-104510,113190,-12780
2000-02-15,2500,2520,1240410,4.48,-69340,65900,6860
2000-02-16,2520,2500,1115620,4.45,48390,5280,-53550
2000-02-17,2500,2480,1356750,4.41,131870,-140090,-3980
2000-02-18,2440,2330,1832390,4.15,506330,-491150,-13440
2000-02-21,2200,2080,1671820,3.7,171950,-32280,-136670
2000-02-22,2080,2170,2510010,3.86,47830,-269520,223130
2000-02-23,2295,2495,3047370,4.44,309070,-75480,-242480
2000-02-24,2550,2500,4159280,4.45,-144460,-6320,146480
2000-02-25,2600,2580,2050090,4.59,-230330,240400,-420
2000-02-28,2500,2580,2218360,4.59,-338820,143370,194230
2000-02-29,2700,2660,2152230,4.73,-169480,26990,143660
2000-03-02,2670,2600,2195910,4.63,49090,-258150,109060
2000-03-03,2650,2515,1478320,4.47,-89360,-49640,39340
2000-03-06,2525,2720,3005400,4.84,-167970,-590,67410
2000-03-07,2800,2705,1941960,4.81,-184400,-75120,59790
2000-03-08,2715,2650,1219240,4.71,-335750,-8750,3800
2000-03-09,2800,2700,2292140,4.8,181800,-177890,-358850
2000-03-10,2750,2650,1304980,4.71,-360160,28120,-27960
2000-03-13,2670,2700,1839890,4.8,-326520,-44080,-26250
2000-03-14,2730,2620,1308300,4.66,-363450,-34700,-1850
2000-03-15,2630,2550,1204790,4.54,-315580,2920,-20450
2000-03-16,2560,2480,1049540,4.41,-358620,58610,11220
2000-03-17,2530,2510,1129800,4.47,-14770,3750,9970
2000-03-20,2540,2550,1007860,4.54,-219250,7720,7930
2000-03-21,2560,2455,889870,4.37,-283910,56850,4200
2000-03-22,2480,2470,934320,4.4,-95900,51290,13320
2000-03-23,2480,2420,1396090,4.31,22380,-100540,-20430
2000-03-24,2430,2415,1508880,4.3,98780,32090,-226610
2000-03-27,2425,2405,907470,4.28,-66800,-30280,0
2000-03-28,2415,2380,932750,4.24,-32720,-50060,11610
2000-03-29,2390,2350,1165840,4.18,-176640,-140140,135180
2000-03-30,2400,2365,1094140,4.21,51550,15280,-116810
2000-03-31,2355,2320,765190,4.13,-234660,5390,229660
2000-04-03,2350,2300,898350,4.09,-286600,13140,74520
2000-04-04,2310,2335,1345140,4.15,-642270,165960,261020
2000-04-06,2385,2685,3413750,4.78,-532450,-69710,602110
2000-04-07,2700,2590,5162280,4.61,-424120,28350,181340
2000-04-10,2645,2630,2616350,4.68,119140,-111680,11070
2000-04-11,2640,2425,1360190,4.32,-197460,-2430,-210
2000-04-12,2435,2395,1062620,4.26,111210,-353750,-4200
2000-04-14,2310,2355,1307650,4.19,212210,-186850,300
2000-04-17,2100,2220,1467510,3.95,-577420,196010,309050
2000-04-18,2490,2290,1091890,4.08,160010,-164180,290
2000-04-19,2300,2290,1099660,4.08,191410,-138910,-21970
2000-04-20,2250,2240,646500,3.99,36110,-34380,-1650
2000-04-21,2250,2330,1439450,4.15,4000,-9880,6120
2000-04-24,2500,2335,1835770,4.15,25630,-14700,-7460
2000-04-25,2300,2340,1737710,4.17,-47890,47790,0
2000-04-26,2350,2260,1327440,4.02,-34990,14260,19780
2000-04-27,2300,2205,1278260,3.92,-137930,127690,10240
2000-04-28,2200,2250,1184930,4,-14080,-13830,28940
2000-05-02,2260,2260,941220,4.02,255720,-175540,-13610
2000-05-03,2255,2240,585100,3.99,-5080,-23220,28350
2000-05-04,2220,2230,828680,3.97,9650,-8610,-1040
2000-05-08,2220,2235,971750,3.98,-34540,-4730,38830
2000-05-09,2235,2220,692550,3.95,17440,-66520,49980
2000-05-10,2230,2280,1126320,4.06,-302230,181900,119700
2000-05-12,2280,2215,1008360,3.94,-17660,-15540,33250
2000-05-15,2200,2110,900890,3.76,-68790,-101920,170710
2000-05-16,2155,2180,967770,3.88,-167130,5910,131220
2000-05-17,2210,2055,860700,3.66,-298810,143310,155900
2000-05-18,2055,2075,1217760,3.69,-278200,23010,255190
2000-05-19,2100,2065,967240,3.68,-111860,-49390,159250
2000-05-22,2010,2010,994460,3.58,-189150,-100000,287250
2000-05-23,2000,2070,1251040,3.68,-388420,159730,225310
2000-05-24,2070,2150,2052800,3.83,69360,48900,-86580
2000-05-25,2160,2215,2985570,3.94,329860,-176980,-149620
2000-05-26,2215,2030,1600520,3.61,-417020,-8440,425460
2000-05-29,2000,2070,1239840,3.68,-142400,30830,111570
2000-05-30,2120,2140,1145590,3.81,78280,-89770,21490
2000-05-31,2200,2195,2879190,3.91,70740,-84610,14970
2000-06-01,2180,2180,1394740,3.88,17500,-93060,75510
2000-06-02,2210,2295,3255000,4.08,-263480,194620,69310
2000-06-05,2350,2485,4657160,4.42,-31720,28620,100
2000-06-07,2360,2490,6494530,4.43,-52670,46830,1360
2000-06-08,2500,2455,2814030,4.37,308610,-294430,-14000
2000-06-09,2420,2590,8649090,4.61,-158180,147030,580
2000-06-12,2590,2650,4496370,4.71,44570,-42860,-1210
2000-06-13,2570,2365,2352740,4.21,-57310,58500,-1540
2000-06-14,2370,2350,1534120,4.18,-160120,160640,0
2000-06-15,2340,2440,2774790,4.34,200910,-201160,-750
2000-06-16,2415,2450,7054750,4.36,28280,-28820,540
2000-06-19,2470,2415,1429950,4.3,-38280,38790,0
2000-06-20,2450,2500,1794500,4.45,22530,-2270,-20260
2000-06-21,2530,2420,9300850,4.31,-135730,125690,-660
2000-06-22,2420,2335,4264000,4.15,-5920,7120,100
2000-06-23,2335,2340,1912790,4.17,25580,-23230,2650
2000-06-26,2255,2290,1712910,4.08,-52580,61670,720
2000-06-27,2280,2350,2090040,4.18,-24610,20750,1650
2000-06-28,2340,2300,1765790,4.09,104530,6720,-113530
2000-06-29,2310,2260,1231290,4.02,46740,-58400,16400
2000-06-30,2240,2260,1098430,4.02,-142640,39500,79850
2000-07-03,2280,2370,2127850,4.22,-129000,89570,0
2000-07-04,2400,2300,1390490,4.09,-162020,51930,-480
2000-07-05,2310,2285,849630,4.07,-33460,17460,0
2000-07-06,2270,2370,4434920,4.22,-34150,4370,-49150
2000-07-07,2410,2670,8445660,4.75,-1551470,1410380,36180
2000-07-10,2770,2750,9270030,4.89,-1053150,649490,243490
2000-07-11,2890,2740,5133860,4.88,-803170,758160,46040
2000-07-12,2850,2660,3124290,4.73,-114900,150340,-330
2000-07-13,2570,2620,2232510,4.66,291940,-292390,-4720
2000-07-14,2590,2505,1939520,4.46,34530,-154650,3700
2000-07-18,2450,2430,1521760,4.32,152010,-188580,2300
2000-07-19,2380,2425,2263640,4.32,-56080,62330,44470
2000-07-20,2380,2450,2222050,4.36,-158850,112200,46380
2000-07-21,2520,2595,4561170,4.62,-160180,-42630,164280
2000-07-24,2600,2450,2018190,4.36,-417000,31510,384550
2000-07-25,2495,2460,1209630,4.38,-194470,141170,52460
2000-07-26,2480,2520,1671230,4.48,-13170,-61260,67800
2000-07-27,2590,2600,2830810,4.63,-293830,-21000,309990
2000-07-28,2660,2585,3296650,4.6,-465760,98560,357820
2000-07-31,2600,2615,1698000,4.65,-395960,369990,42600
2000-08-01,2640,2705,3074680,4.81,-195680,66120,134770
2000-08-02,2720,2640,2479950,4.7,-8530,-11650,10
2000-08-03,2695,2650,1942670,4.71,-135260,158460,-1530
2000-08-04,2650,2545,1292000,4.53,-181880,153300,30
2000-08-07,2500,2470,2657570,4.4,310340,128110,-438650
2000-08-08,2500,2455,1349790,4.37,-242340,71880,183220
2000-08-09,2490,2560,1830020,4.56,-798850,780590,10580
2000-08-10,2575,2630,1372360,4.68,-330480,343780,-12170
2000-08-11,2580,2645,1309890,4.71,-425140,333220,90340
2000-08-14,2800,2780,2162260,4.95,-755650,543370,203600
2000-08-16,2800,3000,9374190,5.34,-1139180,-223750,1359810
2000-08-17,2950,2940,4187900,5.23,-1122260,455380,578680
2000-08-18,3000,2980,5682350,5.3,284910,-246290,-1860
2000-08-21,2890,2765,2300570,4.92,-398680,476420,-80340
2000-08-22,2850,2880,1794170,5.12,-570900,387310,173080
2000-08-23,2900,2980,2762220,5.3,-548410,192430,457580
2000-08-24,3000,3015,4378100,5.37,-876460,-80230,896550
2000-08-25,3020,2980,1405780,5.3,-161590,157230,-170
2000-08-28,2960,2950,1329890,5.25,-228900,206060,129760
2000-08-29,2950,2900,1744260,5.16,37090,112260,3420
2000-08-30,2930,2820,2170760,5.02,692310,-698590,-680
2000-08-31,2900,2720,1886550,4.84,387990,-346110,3550
2000-09-01,2720,2750,1230230,4.89,-93120,42680,49000
2000-09-04,2750,2800,1383030,4.98,-291190,292510,0
2000-09-05,2760,2820,862010,5.02,-372100,215210,153370
2000-09-06,2800,2770,1010350,4.93,72730,-199840,124550
2000-09-07,2700,2590,1309640,4.61,160480,-97430,-2290
2000-09-08,2550,2545,1570240,4.53,123790,165900,-282490
2000-09-14,2460,2460,1697640,4.38,941180,-169760,-333460
2000-09-15,2410,2350,1452880,4.18,374690,-70210,-301480
2000-09-18,2200,2150,2972450,3.83,241630,179850,-423790
2000-09-19,2100,2185,2238490,3.89,-87540,107000,-42670
2000-09-20,2200,2250,1681040,4,-134710,239640,-102960
2000-09-21,2250,2200,1052330,3.91,-227130,113290,115160
2000-09-22,2230,2110,1200020,3.76,296060,-501880,205820
2000-09-25,2195,2240,717180,3.99,-55290,81540,-7150
2000-09-26,2220,2200,1133100,3.91,251050,-245700,0
2000-09-27,2210,2250,1033360,4,137690,-133880,0
2000-09-28,2250,2230,893530,3.97,167440,-1760,-163190
2000-09-29,2250,2230,893470,3.97,30940,-29010,-900
2000-10-02,2200,2220,725410,3.95,-119520,22330,97190
2000-10-04,2220,2240,819490,3.99,-144360,7020,129610
2000-10-05,2250,2250,1028670,4,52370,-89870,46180
2000-10-06,2250,2370,2354080,4.22,-369810,-59730,425860
2000-10-09,2380,2300,983510,4.09,-26640,-109640,155460
2000-10-10,2345,2280,654280,4.06,-66230,-39850,106080
2000-10-11,2250,2235,938930,3.98,-243050,24960,218090
2000-10-12,2205,2255,1357560,4.01,-232990,77870,154200
2000-10-13,2185,2180,1350040,3.88,-110250,112080,-18710
2000-10-16,2300,2245,1264980,4,70000,-69710,5670
2000-10-17,2210,2150,738530,3.83,-207060,-53890,258190
2000-10-18,2100,2170,1050750,3.86,-265300,-15350,311570
2000-10-19,2140,2200,1429690,3.91,-249180,361790,-98930
2000-10-20,2250,2250,757390,4,-335350,322230,11850
2000-10-23,2260,2200,415060,3.91,-170260,149310,20380
2000-10-24,2165,2225,423770,3.96,-147670,154190,720
2000-10-25,2230,2180,351690,3.88,66550,-62810,-60
2000-10-26,2140,2140,320380,3.81,-11140,13140,-2000
2000-10-27,2150,2140,521720,3.81,-229030,211270,8880
2000-10-30,2120,2140,447180,3.81,-111460,-43190,157660
2000-10-31,2120,2150,537000,3.83,-86040,60990,19420
2000-11-01,2170,2220,902280,3.95,-85380,98280,-8690
2000-11-02,2200,2230,559240,3.97,-17870,37370,-16740
2000-11-03,2250,2235,644450,3.98,42170,-27450,-29000
2000-11-06,2225,2200,820120,3.91,25740,-32200,-360
2000-11-07,2200,2170,814480,3.86,-39510,-45850,288800
2000-11-08,2170,2180,442030,3.88,-2180,-35920,41970
2000-11-09,2150,2160,565490,3.85,65670,-44900,-59420
2000-11-10,2140,2140,462380,3.81,-75450,50930,24400
2000-11-13,2120,2120,492130,3.77,48030,-104250,97510
2000-11-14,2100,2110,804020,3.76,274950,-274850,0
2000-11-15,2120,2105,738930,3.74,-23440,57390,640
2000-11-16,2110,2070,672620,3.68,-19100,7300,11800
2000-11-17,2010,2030,1136930,3.61,132660,-287610,225150
2000-11-20,2010,2015,888840,3.59,150390,-56550,70160
2000-11-21,2005,1995,1879750,3.55,141590,-535120,569610
2000-11-22,2005,2005,1733400,3.57,313010,-317500,126050
2000-11-23,2000,2075,2129920,3.69,-107160,4360,136960
2000-11-24,2100,2055,861520,3.66,-30430,44200,7970
2000-11-27,2045,2040,1295110,3.63,41740,104540,6900
2000-11-28,2050,2055,1008020,3.66,-182160,6370,197610
2000-11-29,2030,2055,1222490,3.66,-375840,-91480,536060
2000-11-30,2055,2000,891620,3.56,214280,-31580,-9280
2000-12-01,1750,1980,874540,3.52,-142260,130770,5970
2000-12-04,1950,1850,1005620,3.29,84930,-106720,2710
2000-12-05,1850,1960,1395230,3.49,-695570,116730,597000
2000-12-06,2020,1925,952330,3.42,-54360,33720,17900
2000-12-07,1860,1910,456220,3.4,68640,-66810,2750
2000-12-08,1900,1935,458080,3.44,-113570,57380,50000
2000-12-11,1905,1945,802180,3.46,6690,-242290,231490
2000-12-12,1955,1950,953980,3.47,-139900,27180,120020
2000-12-13,1980,1965,622860,3.5,-163050,106220,49470
2000-12-14,1950,1910,759540,3.4,438640,-506610,79010
2000-12-15,1915,1900,359730,3.38,114940,-97740,-16630
2000-12-18,1880,1890,341600,3.36,-16540,46560,9060
