Symbol,한미사이언스_시가(원),한미사이언스_종가(원),한미사이언스_거래량(주),한미사이언스_PER(IFRS-연결),한미사이언스_순매수수량(개인)(주),한미사이언스_순매수수량(기관계)(주),한미사이언스_순매수수량(외국인계)(주)
2000-01-04,14000,15850,99950,11.7,-530,370,0
2000-01-05,15500,15800,593550,11.65,38770,-17860,-19900
2000-01-06,16300,14100,213010,10.4,4180,-2510,0
2000-01-07,14000,16200,491970,11.95,-4060,3150,240
2000-01-10,16900,15200,676970,11.21,-7330,9140,-100
2000-01-11,15500,15000,330360,11.07,2950,-3060,-30
2000-01-12,15000,14400,241280,10.63,4920,-4520,-400
2000-01-13,14400,14300,143350,10.55,-1760,1560,0
2000-01-14,14000,13500,182740,9.95,9440,-9440,0
2000-01-17,13600,13550,181120,10,6680,5530,300
2000-01-18,13500,13100,119560,9.67,3990,-4050,60
2000-01-19,12900,12850,221900,9.48,12560,-11490,0
2000-01-20,12900,12200,102600,9,-4520,4100,230
2000-01-21,12200,12000,157380,8.85,3270,-4380,0
2000-01-24,12400,13000,177480,9.59,-12580,12580,0
2000-01-25,12700,12400,95140,9.15,6710,-6110,0
2000-01-26,12900,12500,64150,9.22,-7640,7640,0
2000-01-27,12750,13400,414060,9.89,-44320,34300,9740
2000-01-28,13700,13350,141080,9.84,2770,-2690,0
2000-01-31,13000,13350,116580,9.84,-380,380,0
2000-02-01,13150,12900,111070,9.51,18110,-12080,-5740
2000-02-02,13050,13650,268040,10.07,580,9630,-4000
2000-02-03,13650,13400,105240,9.89,-3430,2430,1000
2000-02-07,13500,13650,150390,10.07,-19770,2750,20000
2000-02-08,14350,13850,283350,10.22,-37840,38930,0
2000-02-09,13900,14250,265210,10.51,110,5800,0
2000-02-10,14400,13800,221050,10.18,35480,-35480,0
2000-02-11,13700,14650,583580,10.8,5340,-6340,0
2000-02-14,14500,13700,268500,10.11,-33670,33670,0
2000-02-15,13750,12600,140250,9.29,-12850,12790,60
2000-02-16,12300,12800,155070,9.44,4120,-1080,-3040
2000-02-17,13000,13650,385870,10.07,16780,-9030,-7750
2000-02-18,14000,15650,667770,11.54,-180920,138880,-11000
2000-02-21,16100,17950,1396810,13.24,-232960,118060,4000
2000-02-22,18400,17450,869380,12.88,-131720,99700,2320
2000-02-23,17000,16800,563630,12.39,-19690,37790,-6020
2000-02-24,17100,17200,379480,12.69,-55100,50560,-300
2000-02-25,17000,16300,312690,12.03,-25460,26610,0
2000-02-28,15700,15200,205110,11.21,-26030,18540,-540
2000-02-29,15200,15300,261540,11.29,21630,-21630,-10000
2000-03-02,16000,17550,347470,12.94,-41200,41200,0
2000-03-03,18100,17000,602490,12.53,-56200,55200,0
2000-03-06,18700,17600,261550,12.99,14760,-18760,4000
