Symbol,한섬_시가(원),한섬_종가(원),한섬_거래량(주),한섬_PER(IFRS-연결),한섬_순매수수량(개인)(주),한섬_순매수수량(기관계)(주),한섬_순매수수량(외국인계)(주)
2000-01-04,4310,4130,65500,5.29,10590,-10590,0
2000-01-05,4130,3930,68620,5.04,29680,-29680,0
2000-01-06,4295,3890,44280,4.99,6930,-6930,0
2000-01-07,4000,4000,62040,5.13,-12700,-12300,25000
2000-01-10,4000,4000,159390,5.13,55150,-55150,0
2000-01-11,4060,4000,122430,5.13,52410,-52410,0
2000-01-12,4000,4150,145930,5.32,10000,-10000,0
2000-01-13,4200,4400,287280,5.64,49700,-49700,0
2000-01-14,4255,4270,107940,5.47,-22620,0,0
2000-01-17,4270,4160,94880,5.33,-32000,-3000,0
2000-01-18,4160,3900,149280,5,17980,-52980,0
2000-01-19,4100,3520,99080,4.51,30560,-30560,0
2000-01-20,3650,3520,65130,4.51,-9000,6000,0
2000-01-21,3520,3590,75040,4.6,-4930,-15070,0
2000-01-24,3590,3450,71660,4.42,27550,-29550,0
2000-01-25,3450,3250,72830,4.17,15700,-25700,0
2000-01-26,3250,3270,59080,4.19,-4680,-320,0
2000-01-27,3410,3760,142080,4.82,-10000,10000,0
2000-01-28,3880,3700,112720,4.74,12620,0,0
2000-01-31,3700,3750,84860,4.81,-10000,0,0
2000-02-01,3810,3850,81160,4.94,4000,-4000,0
2000-02-02,4000,4000,102280,5.13,-21380,21380,0
2000-02-03,4120,4100,95000,5.26,-28280,18280,0
2000-02-07,4100,4000,77350,5.13,630,-2670,2040
2000-02-08,4000,3820,83750,4.9,-3110,-20000,23110
2000-02-09,3870,3700,84830,4.74,-4430,-25570,0
2000-02-10,3720,3520,107040,4.51,4490,-54840,0
2000-02-11,3700,3600,132650,4.61,5780,-73460,17680
2000-02-14,3600,3650,106350,4.68,-34940,-33000,17940
2000-02-15,3650,3620,72070,4.64,-50000,0,0
2000-02-16,3620,3640,127730,4.67,-28000,-22000,0
2000-02-17,3640,3720,89920,4.77,-47000,-3000,0
2000-02-18,3740,3720,56250,4.77,-30000,0,0
2000-02-21,3650,3490,31980,4.47,0,0,0
2000-02-22,3010,4010,165540,5.14,9970,0,-9970
2000-02-23,4610,4500,457770,5.77,154210,-154210,0
2000-02-24,5170,4200,442330,5.38,56580,-56230,0
2000-02-25,4210,4100,357130,5.26,61200,-63700,2000
2000-02-28,4130,4710,507620,6.04,112040,-113040,1000
2000-02-29,4410,4150,341060,5.32,5100,-5100,0
2000-03-02,4400,4150,374660,5.32,42170,-42170,0
2000-03-03,4690,4770,1168190,6.11,446190,-396190,-50000
2000-03-06,5480,5480,85830,7.03,-740,740,0
2000-03-07,6300,6300,138540,8.08,0,-100,0
2000-03-08,5600,5700,1693940,7.31,25120,-24900,300
2000-03-09,5750,5860,1147420,7.51,12840,-13000,100
2000-03-10,6200,5520,775320,7.08,106500,-106560,100
2000-03-13,5300,5490,664380,7.04,-44250,44250,0
2000-03-14,5600,4950,506610,6.35,39110,-30110,-9000
2000-03-15,4820,5010,721150,6.42,166900,-167000,0
2000-03-16,5000,4550,365900,5.83,0,0,0
2000-03-17,4400,4710,1201430,6.04,11980,-11930,0
2000-03-20,4810,4375,296570,5.61,0,0,0
2000-03-21,4500,4170,314690,5.35,22720,-23220,0
2000-03-22,4210,4300,617070,5.51,206150,-205620,0
2000-03-23,4300,4200,555960,5.38,67290,-67290,0
2000-03-24,4300,4300,986550,5.51,317290,-317290,0
2000-03-27,4500,4375,403410,5.61,-100,0,0
2000-03-28,4350,4240,331390,5.44,0,0,0
2000-03-29,4300,4180,396770,5.36,-1700,-6000,-200
2000-03-30,4300,4200,507310,5.38,0,0,0
2000-03-31,4290,4080,200910,5.23,13000,-13000,0
2000-04-03,4000,3800,286870,4.87,9780,-9400,-300
2000-04-04,3615,3460,242950,4.44,640,-640,0
2000-04-06,3300,3370,149230,4.32,13280,-13280,0
2000-04-07,3400,3600,314370,4.61,6000,-6000,0
2000-04-10,3790,3700,252370,4.74,27620,-37620,0
2000-04-11,3600,3400,186640,4.36,0,0,0
2000-04-12,3315,3730,398450,4.78,-16550,0,0
2000-04-14,3735,3700,345820,4.74,-40,0,0
2000-04-17,3220,3145,172920,4.03,0,0,0
2000-04-18,3310,3240,221500,4.15,-15000,5000,0
2000-04-19,3270,3400,195030,4.36,4760,20000,0
2000-04-20,3250,3270,83080,4.19,6480,-6480,0
2000-04-21,3360,3350,185250,4.29,130,-130,0
2000-04-24,3380,3280,159400,4.21,11790,0,0
2000-04-25,3280,3200,119290,4.1,25020,-25000,0
2000-04-26,3250,3050,185820,3.91,9780,-9780,0
2000-04-27,3010,3010,231510,3.86,11710,-11710,0
2000-04-28,3080,3235,497030,4.15,4330,-4290,0
2000-05-02,3180,3100,274670,3.97,0,0,0
