Symbol,한솔케미칼_시가(원),한솔케미칼_종가(원),한솔케미칼_거래량(주),한솔케미칼_PER(IFRS-연결),한솔케미칼_순매수수량(개인)(주),한솔케미칼_순매수수량(기관계)(주),한솔케미칼_순매수수량(외국인계)(주)
2000-01-04,7700,8100,240170,14.34,-12910,15550,0
2000-01-05,7900,7550,202170,13.37,1520,-520,0
2000-01-06,7900,7200,151260,12.75,5570,-5530,0
2000-01-07,7200,7450,242670,13.19,51640,-52080,440
2000-01-10,7550,7850,299460,13.9,14090,1660,0
2000-01-11,7800,7500,313520,13.28,90040,-90320,0
2000-01-12,7450,7130,180970,12.62,-28280,28280,0
2000-01-13,7200,6900,214010,12.22,49830,-49830,0
2000-01-14,6900,7000,221620,12.39,-33840,33840,0
2000-01-17,7000,7050,254300,12.48,62930,-65480,550
2000-01-18,7190,7100,559650,12.57,75620,-73730,-890
2000-01-19,6910,6640,243070,11.76,-38270,39620,0
2000-01-20,6500,6230,160670,11.03,-180,1820,330
2000-01-21,5930,6340,511160,11.23,171730,-172700,1250
2000-01-24,6000,6170,258430,10.92,40510,-44510,2000
2000-01-25,6150,5800,248290,10.27,60360,-60360,0
2000-01-26,6000,6670,600520,11.81,-22420,-3150,0
2000-01-27,7390,6990,1447400,12.38,4580,23240,-3250
2000-01-28,7000,6820,305210,12.08,3170,-3170,0
2000-01-31,6820,6800,234460,12.04,16460,-15460,0
2000-02-01,6870,6700,227800,11.86,710,-550,0
2000-02-02,6330,6870,305540,12.16,-31680,31680,0
2000-02-03,7000,7200,460870,12.75,-740,-60,0
2000-02-07,7270,6980,319100,12.36,69310,-68530,0
2000-02-08,7010,6800,236380,12.04,-980,820,0
2000-02-09,6780,6650,268040,11.77,-12000,12000,0
2000-02-10,6510,6250,194540,11.07,44120,-44020,-100
2000-02-11,6250,6100,196620,10.8,4960,-4960,0
2000-02-14,6160,5800,134340,10.27,-2340,2340,0
2000-02-15,6250,5700,153720,10.09,-2580,2470,110
2000-02-16,5750,5650,180700,10,35900,-35900,0
2000-02-17,5650,5750,236080,10.18,9820,-9820,0
2000-02-18,5800,6000,313310,10.62,1580,-2010,0
2000-02-21,6000,5700,190360,10.09,-20060,20490,0
2000-02-22,5510,5570,206070,9.86,-3450,3450,0
2000-02-23,6400,6400,114860,11.33,24320,-24140,0
2000-02-24,7020,6600,723010,11.69,-9990,-210,10200
2000-02-25,6600,6950,430450,12.31,-50670,50650,0
2000-02-28,6560,7000,502340,12.39,-14000,19100,-10100
2000-02-29,7200,6700,271480,11.86,46620,-46560,100
2000-03-02,6810,6880,353370,12.18,0,-50,50
2000-03-03,7000,6850,389780,12.13,-38130,8290,0
2000-03-06,7150,7870,727230,13.93,57910,-57710,-200
2000-03-07,7900,7800,560130,13.81,-49850,49850,0
2000-03-08,7600,8000,468820,14.16,-116610,96510,0
2000-03-09,7900,8310,778670,14.71,20730,-25780,-1970
2000-03-10,8350,7900,404050,13.99,9380,-9510,0
2000-03-13,7890,7950,799830,14.08,-46840,-5660,2500
2000-03-14,8150,7300,402410,12.93,37730,-29130,-5500
2000-03-15,7200,7200,305390,12.75,-180,-40,0
2000-03-16,7560,7350,261850,13.01,1810,690,-2500
2000-03-17,7370,7010,268330,12.41,-18890,-31110,0
2000-03-20,7010,6710,208550,11.88,-670,670,0
2000-03-21,6530,6300,215270,11.15,27960,-29520,1560
2000-03-22,6300,6390,294100,11.31,44870,-44870,0
2000-03-23,6550,6300,224010,11.15,52010,-52010,0
2000-03-24,6500,6350,271830,11.24,19960,-19960,0
2000-03-27,6550,6500,250020,11.51,-10,10,0
2000-03-28,6680,6400,158670,11.33,3510,-3510,0
2000-03-29,6500,6300,300720,11.15,26420,-1420,0
2000-03-30,6310,6100,171630,10.8,1070,-950,0
2000-03-31,6150,6040,155830,10.69,-8630,-6370,0
2000-04-03,6060,5730,196880,10.15,-20230,230,0
2000-04-04,5750,5960,187420,10.55,-21870,1870,0
2000-04-06,5970,6210,147160,11,-230,230,0
2000-04-07,6300,6580,417810,11.65,-22630,630,0
