Symbol,한솔테크닉스_시가(원),한솔테크닉스_종가(원),한솔테크닉스_거래량(주),한솔테크닉스_PER(IFRS-연결),한솔테크닉스_순매수수량(개인)(주),한솔테크닉스_순매수수량(기관계)(주),한솔테크닉스_순매수수량(외국인계)(주)
2000-01-04,3600,4275,1162580,,-41320,-1210,1000
2000-01-05,4000,4180,1005960,,-57150,-2200,350
2000-01-06,4290,3960,998760,,-61190,-4980,4680
2000-01-07,3965,3930,901870,,-40970,9770,2400
2000-01-10,4000,4000,1348310,,-10920,2910,-390
2000-01-11,4000,4060,2464650,,-51400,-2400,540
2000-01-12,4020,3900,1029690,,17570,-12500,-70
2000-01-13,3930,4010,2678280,,22910,-35150,11140
2000-01-14,4110,3910,1267130,,140,-5290,1800
2000-01-17,3950,4010,1271240,,-5820,1410,4410
2000-01-18,4020,4000,1144500,,10900,-11330,430
2000-01-19,3990,4100,7998220,,20650,-26190,-6740
2000-01-20,4095,3880,2776120,,-23830,7220,1610
2000-01-21,3880,3800,2432270,,20500,-13700,-4600
2000-01-24,3750,3760,1844430,,-203890,6870,1420
2000-01-25,3705,3630,1221910,,-3620,-6380,0
2000-01-26,3580,3630,1020330,,-5510,7500,0
2000-01-27,3700,3800,1371600,,-13710,3520,380
2000-01-28,3830,3835,1478200,,9240,-6550,-1930
2000-01-31,3820,3815,1002050,,11100,-11100,0
2000-02-01,3890,3945,7915270,,48790,-3420,-370
2000-02-02,4090,4020,2776820,,-38910,34910,0
2000-02-03,4120,4050,2348780,,3550,1140,410
2000-02-07,4000,4200,2677800,,81610,-13490,-200
2000-02-08,4200,4270,2082840,,44650,-14650,0
2000-02-09,4270,4040,6857970,,42950,5580,0
2000-02-10,3950,3750,1928620,,39010,-39350,0
2000-02-11,3715,3720,1487960,,-25740,5060,320
2000-02-14,3730,3515,1315040,,-28020,21170,6050
2000-02-15,3525,3570,990970,,-5690,22620,3430
2000-02-16,3580,3690,2569550,,-3060,4960,-740
2000-02-17,3615,3645,1320570,,-9110,3560,3550
2000-02-18,3615,3960,3076490,,22200,-18070,-730
2000-02-21,3860,3800,4488430,,13060,-1180,-1880
2000-02-22,3705,3645,3866110,,-17950,4960,70
2000-02-23,3730,4190,3872590,,114220,-8970,-2120
2000-02-24,4210,3895,4169900,,-46780,41290,-510
2000-02-25,3820,3680,2808230,,27300,-27230,-130
