Symbol,한온시스템_시가(원),한온시스템_종가(원),한온시스템_거래량(주),한온시스템_PER(IFRS-연결),한온시스템_순매수수량(개인)(주),한온시스템_순매수수량(기관계)(주),한온시스템_순매수수량(외국인계)(주)
2000-01-04,42650,49000,12560,10.26,-3880,5190,-1670
2000-01-05,48000,50500,36780,10.58,-4630,10570,-5940
2000-01-06,50500,49000,34410,10.26,20,30,0
2000-01-07,48750,48500,21870,10.16,-3000,7390,-4390
2000-01-10,47500,49100,45050,10.28,-5500,5260,10
2000-01-11,49100,47500,25470,9.95,3510,-12860,9080
2000-01-12,48000,46000,47100,9.63,5460,19440,-24900
2000-01-13,44600,44800,24990,9.38,-1810,20,-2510
2000-01-14,44800,47500,23370,9.95,-5830,-5340,11170
2000-01-17,47500,49050,8880,10.27,-6850,1740,5110
2000-01-18,50100,50000,31970,10.47,-4140,-13310,24450
2000-01-19,50800,49000,15260,10.26,140,-6570,7660
2000-01-20,48900,49700,22580,10.41,-7720,-8770,16490
2000-01-21,49700,48000,11889,10.05,2540,-3220,1210
2000-01-24,46500,47100,11590,9.86,-4830,-100,4930
2000-01-25,46500,47800,11030,10.01,780,-3500,2720
2000-01-26,47900,47500,30750,9.95,-2800,470,18990
2000-01-27,46500,49600,35350,10.39,-4200,9180,22570
2000-01-28,49000,49000,18380,10.26,4800,3880,-8480
2000-01-31,47700,48000,11750,10.05,-2680,2310,-570
2000-02-01,47500,46850,14120,9.81,4740,-1400,-3310
2000-02-02,47000,47600,8644,9.97,-2160,4640,-2600
2000-02-03,47100,47000,6280,9.84,3090,-3090,0
2000-02-07,47800,45800,45226,9.59,19030,-16410,-2000
2000-02-08,45800,45300,6520,9.49,-2040,2010,0
2000-02-09,45300,42950,21240,9,11440,-5840,-5600
2000-02-10,42200,37500,29880,7.85,8380,-7000,-1380
2000-02-11,39300,34000,47070,7.12,27450,-22810,3080
2000-02-14,34550,31700,137840,6.64,64190,-55160,8360
2000-02-15,35000,35000,138660,7.33,18400,-47610,38850
2000-02-16,36000,38300,157960,8.02,-6160,-2230,8370
2000-02-17,39800,36000,82650,7.54,6530,-3960,-2970
2000-02-18,35000,34900,131410,7.31,15310,-14350,13740
2000-02-21,33000,30000,50090,6.28,6800,-5980,-820
2000-02-22,31500,31750,65380,6.65,4400,-5220,840
2000-02-23,33000,32100,54930,6.72,8760,-6810,-1820
2000-02-24,32000,31400,46530,6.58,3560,2570,-6130
2000-02-25,31100,32100,72510,6.72,-2820,-5040,6840
2000-02-28,31000,33500,71930,7.02,-4870,-11190,14060
2000-02-29,34200,33000,56710,6.91,-12060,20860,-8770
2000-03-02,34000,33300,82630,6.97,23890,-21300,-6590
2000-03-03,33300,31900,60590,6.68,15070,-13580,-1360
2000-03-06,32000,33300,82690,6.97,26990,-29610,2520
2000-03-07,32500,31550,83320,6.61,40180,-20180,-20060
