Symbol,한올바이오파마_시가(원),한올바이오파마_종가(원),한올바이오파마_거래량(주),한올바이오파마_PER(IFRS-연결),한올바이오파마_순매수수량(개인)(주),한올바이오파마_순매수수량(기관계)(주),한올바이오파마_순매수수량(외국인계)(주)
2000-01-04,4820,5390,47300,7.01,0,0,0
2000-01-05,5300,5400,53200,7.03,0,0,0
2000-01-06,5680,5000,35170,6.5,0,0,0
2000-01-07,5010,5550,81970,7.22,0,0,0
2000-01-10,5600,5220,60310,6.79,0,0,0
2000-01-11,5250,5110,54740,6.64,0,0,0
2000-01-12,5210,5050,25320,6.57,0,0,0
2000-01-13,5100,5140,35530,6.68,0,0,0
2000-01-14,5050,5070,35060,6.6,0,0,0
2000-01-17,5200,5100,36610,6.63,0,0,0
2000-01-18,5200,4920,30230,6.39,0,0,0
2000-01-19,4855,4720,43950,6.14,0,0,0
2000-01-20,4600,4360,24580,5.68,0,0,0
2000-01-21,4510,4360,32890,5.68,0,0,0
2000-01-24,4250,4410,46290,5.73,0,0,0
2000-01-25,4510,4420,20860,5.75,0,0,0
2000-01-26,4300,4400,14720,5.72,0,0,0
2000-01-27,4500,4700,71920,6.12,0,0,0
2000-01-28,4900,4530,19650,5.9,0,0,0
2000-01-31,4590,4550,28390,5.92,0,0,0
2000-02-01,4460,4450,28290,5.79,0,0,0
2000-02-02,4490,4660,47560,6.06,0,0,0
2000-02-03,4950,4780,26710,6.21,0,0,0
2000-02-07,4640,4800,28700,6.24,0,0,0
2000-02-08,4750,4830,29020,6.28,0,0,0
2000-02-09,4850,4930,37910,6.41,0,0,0
2000-02-10,4760,4720,47780,6.14,0,0,0
2000-02-11,4635,4850,55580,6.31,0,0,0
2000-02-14,4950,4500,32710,5.86,0,0,0
2000-02-15,4300,4300,35940,5.59,0,0,0
2000-02-16,4300,4200,27050,5.47,0,0,0
2000-02-17,4250,4520,50680,5.88,0,0,0
2000-02-18,4730,5000,95690,6.5,10,-10,0
2000-02-21,4850,4850,72760,6.31,0,0,0
2000-02-22,4900,4640,34010,6.03,0,0,0
2000-02-23,4800,4980,134770,6.48,0,0,0
2000-02-24,5100,5080,83530,6.61,20,-20,0
2000-02-25,5150,4950,52270,6.43,0,0,0
2000-02-28,4950,5310,138750,6.9,0,0,0
2000-02-29,5650,5400,69480,7.03,-2490,2490,0
2000-03-02,5320,5520,127250,7.18,2810,-2510,-300
2000-03-03,5610,5510,83120,7.16,0,0,0
2000-03-06,5700,6330,173970,8.24,-3990,-10,0
2000-03-07,6500,6230,77320,8.1,2290,0,-250
2000-03-08,6100,6000,67610,7.8,0,0,0
2000-03-09,6090,6000,66280,7.8,0,0,0
2000-03-10,6180,6300,152760,8.2,0,0,0
2000-03-13,6500,7000,177430,9.11,250,0,-250
2000-03-14,6990,6590,80710,8.57,0,0,0
2000-03-15,6500,6150,162480,8,0,0,0
2000-03-16,6420,5700,109800,7.41,0,0,0
2000-03-17,5860,5690,71700,7.4,10,-10,0
2000-03-20,5310,5400,61870,7.03,0,0,0
2000-03-21,5310,5000,57360,6.5,0,0,0
2000-03-22,5400,5270,55020,6.86,0,0,0
2000-03-23,5320,5400,82370,7.03,-200,0,0
2000-03-24,5900,6210,202330,8.07,-200,0,0
2000-03-27,6500,6000,127310,7.8,430,-30,0
2000-03-28,6000,5850,55500,7.61,0,0,0
2000-03-29,5810,5510,129930,7.16,-6680,6680,0
2000-03-30,5530,5280,60260,6.86,4000,0,0
2000-03-31,5280,5400,41500,7.03,0,0,0
2000-04-03,5420,5010,37440,6.52,0,0,0
2000-04-04,4910,5000,45330,6.5,0,0,0
2000-04-06,4835,4750,25350,6.17,0,0,0
2000-04-07,4860,4900,21590,6.38,0,0,0
2000-04-10,4980,5050,56300,6.57,700,0,0
