Symbol,한일시멘트_시가(원),한일시멘트_종가(원),한일시멘트_거래량(주),한일시멘트_PER(IFRS-연결),한일시멘트_순매수수량(개인)(주),한일시멘트_순매수수량(기관계)(주),한일시멘트_순매수수량(외국인계)(주)
2000-01-04,18100,19600,3950,7.72,-150,-120,0
2000-01-05,20000,20000,22490,7.88,-3760,-2210,6270
2000-01-06,19400,19400,6810,7.64,-690,-740,1760
2000-01-07,20000,20000,18960,7.88,-6530,-4170,10700
2000-01-10,20500,20800,18150,8.19,-3690,-4370,8120
2000-01-11,21000,20400,23520,8.04,-4730,-12770,17290
2000-01-12,20900,20200,16120,7.96,-170,-2490,7660
2000-01-13,20200,20600,58920,8.11,-1700,-2890,23550
2000-01-14,20500,21000,90170,8.27,-14490,11160,3330
2000-01-17,21900,21200,28820,8.35,-16740,10360,6380
2000-01-18,20800,20000,72520,7.88,29800,-29860,60
2000-01-19,19050,18000,28170,7.09,3370,-1800,-820
2000-01-20,20000,18900,16000,7.44,-7450,730,6720
2000-01-21,18200,18400,6920,7.25,-200,-1280,1840
2000-01-24,18400,18600,8590,7.33,-1630,-2300,3930
2000-01-25,17300,18100,17870,7.13,-9970,-2980,12950
2000-01-26,18100,18150,18490,7.15,-5010,-7830,12840
2000-01-27,18000,18900,21720,7.44,-140,130,40
2000-01-28,19500,18500,15140,7.29,8030,-640,-7770
2000-01-31,18350,18650,7610,7.35,-1330,-980,2310
2000-02-01,18500,18550,7370,7.31,-3450,380,3170
2000-02-02,18550,19200,14350,7.56,-5110,1940,3170
2000-02-03,19200,20000,26770,7.88,-14490,5400,3090
2000-02-07,20200,19900,12760,7.84,-1790,-940,2120
2000-02-08,19650,19250,12680,7.58,-1280,250,30
2000-02-09,18800,18100,28870,7.13,16190,-13730,-5960
2000-02-10,17800,16700,61690,6.58,47400,-47860,0
2000-02-11,16400,16000,88140,6.3,68540,-69100,0
2000-02-14,16100,15700,36590,6.18,320,-4400,-2580
2000-02-15,15200,15100,24260,5.95,-4410,2100,-4590
2000-02-16,15300,14500,33110,5.71,18150,-13290,-5300
2000-02-17,14600,14300,38450,5.63,15290,-15970,280
2000-02-18,14350,13900,49950,5.48,29920,-30200,0
2000-02-21,13800,12600,80290,4.96,35170,-290,-36380
2000-02-22,12500,12750,77420,5.02,23580,3990,-27510
2000-02-23,13150,14450,46520,5.69,-400,-1340,3350
2000-02-24,14500,13700,24220,5.4,300,-230,-70
2000-02-25,13100,13900,26860,5.48,7510,-7320,-200
2000-02-28,13100,14400,60230,5.67,-810,1170,140
2000-02-29,15400,14500,75900,5.71,21910,-24670,-140
2000-03-02,14500,15500,83100,6.11,-15410,11850,2630
2000-03-03,17000,17100,207590,6.74,28120,-25190,-1120
2000-03-06,18000,17700,149420,6.97,24380,-34600,0
2000-03-07,17200,17700,81390,6.97,-37260,44470,-9210
2000-03-08,17100,17800,64770,7.01,-22530,8230,-70
2000-03-09,17100,17150,70020,6.76,-18260,-3030,-9860
2000-03-10,17350,17500,44080,6.89,5630,-12630,0
2000-03-13,18000,18250,57150,7.19,-5370,6160,-400
2000-03-14,18500,18100,145910,7.13,19830,-9720,1000
2000-03-15,17200,17000,39700,6.7,-9840,10100,-260
2000-03-16,17000,17000,47480,6.7,-4580,-2190,-10800
2000-03-17,17600,16700,17050,6.58,-1130,5000,-3680
2000-03-20,16500,16900,12330,6.66,-980,820,-30
2000-03-21,16300,16500,21610,6.5,4450,-1970,-2540
2000-03-22,16900,16500,19910,6.5,520,110,-630
2000-03-23,16700,16850,36250,6.64,8350,-1540,-6630
2000-03-24,16900,16750,37880,6.6,15100,620,-14780
2000-03-27,16900,16500,19350,6.5,-150,320,-170
2000-03-28,16200,15700,39590,6.18,-3420,1320,0
2000-03-29,15200,15250,27050,6.01,1700,-1700,0
2000-03-30,15300,15200,14250,5.99,-890,390,0
2000-03-31,15100,14800,21040,5.83,5110,2720,-8330
2000-04-03,15300,15100,36210,5.95,4600,-6390,2320
2000-04-04,15500,15150,23840,5.97,-3800,2840,810
2000-04-06,15300,15000,17510,5.91,7650,-2250,-5400
2000-04-07,15000,14700,35090,5.79,19170,-8920,-10750
2000-04-10,15000,15400,106010,6.07,53360,-45580,-6370
2000-04-11,15400,14750,34720,5.81,550,-1150,0
2000-04-12,14700,14700,24190,5.79,11480,-10980,-500
2000-04-14,15200,14850,20790,5.85,-1500,-1410,0
2000-04-17,14000,13500,35610,5.32,-6620,3510,610
2000-04-18,13900,13800,13670,5.44,2930,-2930,0
2000-04-19,13800,14500,46040,5.71,2920,-1860,-60
2000-04-20,14400,14600,9830,5.75,210,-210,0
2000-04-21,14600,14750,9400,5.81,1360,-1230,-130
2000-04-24,15200,14750,40520,5.81,3990,-32110,28120
2000-04-25,15200,15000,19590,5.91,-2450,-5050,7500
2000-04-26,15400,15000,26030,5.91,-3070,-5950,9020
2000-04-27,15000,14500,11810,5.71,-6120,1570,4550
2000-04-28,14500,15000,13810,5.91,-3920,-210,3990
2000-05-02,15200,14700,17060,5.79,2160,-6920,4760
2000-05-03,14700,15000,5880,5.91,1210,-580,-630
2000-05-04,14900,15000,11010,5.91,-1260,1440,-180
2000-05-08,15500,14950,9530,5.89,3640,10,-3550
2000-05-09,14500,14400,17540,5.67,10710,290,-2090
2000-05-10,14400,14500,9310,5.71,2660,1510,-4170
2000-05-12,14500,14800,22210,5.83,-14740,-160,4900
2000-05-15,15000,14900,19590,5.87,-13780,4920,8860
