Symbol,한화_시가(원),한화_종가(원),한화_거래량(주),한화_PER(IFRS-연결),한화_순매수수량(개인)(주),한화_순매수수량(기관계)(주),한화_순매수수량(외국인계)(주)
2000-01-04,7010,7200,545500,1.88,47240,-7540,-12310
2000-01-05,7000,6700,687100,1.75,97680,-94320,6640
2000-01-06,6830,6190,701480,1.61,31090,-27730,2700
2000-01-07,6110,6200,675890,1.62,36100,-30160,4060
2000-01-10,6210,6250,662360,1.63,-94810,87420,6090
2000-01-11,6750,6650,1649540,1.73,206770,-209810,940
2000-01-12,6510,6420,941910,1.67,8450,-57260,13990
2000-01-13,6400,6250,701860,1.63,83170,-74470,-10500
2000-01-14,6010,6000,1035850,1.56,207550,-180510,2960
2000-01-17,6010,5980,733080,1.56,28120,15900,7400
2000-01-18,5950,5800,724840,1.51,17130,-12220,-4910
2000-01-19,5500,5050,804580,1.32,86150,23800,-12130
2000-01-20,4920,5200,1039850,1.36,268960,-93240,-17090
2000-01-21,5500,5980,1460540,1.56,74830,-63460,-7730
2000-01-24,6400,6180,2389820,1.61,141780,-44090,-97690
2000-01-25,6140,6000,1021330,1.56,-62460,-20280,35000
2000-01-26,6000,5850,547710,1.53,-52150,52150,0
2000-01-27,5400,5870,857470,1.53,-57740,57430,620
2000-01-28,5980,5900,791500,1.54,-19320,23620,-3060
2000-01-31,5810,5890,614320,1.54,-56850,-28000,-35330
2000-02-01,5900,5900,663800,1.54,-105950,-26920,-36910
2000-02-02,5900,6400,1607920,1.67,-153560,38510,0
2000-02-03,6400,6480,1261130,1.69,-83350,13070,-24000
2000-02-07,6550,6340,814000,1.65,52100,-106340,-15870
2000-02-08,6490,6150,688660,1.6,-157220,16730,270
2000-02-09,6090,6160,666430,1.61,-293590,269890,-20300
2000-02-10,6160,6040,782200,1.58,-59900,-15510,5410
2000-02-11,5900,5610,469400,1.46,81130,-82090,360
2000-02-14,5580,5200,563910,1.36,6520,7720,-14660
2000-02-15,5200,5210,505960,1.36,11040,-16180,5140
2000-02-16,5220,5270,522690,1.37,139080,-145900,6760
2000-02-17,5190,5300,955680,1.38,134230,-122100,2230
2000-02-18,5400,5120,1049200,1.34,429510,-258730,540
2000-02-21,4810,4795,766030,1.25,13470,-73420,-50
2000-02-22,4750,4400,2433500,1.15,790890,-898880,7290
2000-02-23,4550,4820,1957940,1.26,180870,-175730,-4450
2000-02-24,4700,4500,1044300,1.17,-750,-14960,710
2000-02-25,4400,4500,740860,1.17,56610,-52540,-180
2000-02-28,4300,4310,598810,1.12,-12550,10990,1560
2000-02-29,4800,4500,892290,1.17,46960,-14820,-31920
2000-03-02,4650,4590,991550,1.2,-28930,10820,18110
2000-03-03,4705,4860,1606150,1.27,-22760,-112580,4520
2000-03-06,4900,5200,1404530,1.36,99420,-48760,-60110
2000-03-07,5100,5040,825440,1.31,-160520,57270,-1510
2000-03-08,5000,5070,748450,1.32,-266390,28840,1150
2000-03-09,5070,4800,991850,1.25,124530,-109740,-159200
2000-03-10,4990,5050,1066340,1.32,-159770,149460,810
2000-03-13,5160,5400,2365550,1.41,74440,-13170,-10820
2000-03-14,5310,5170,736870,1.35,-244390,238490,5900
2000-03-15,5150,5300,912340,1.38,-120960,124640,-3410
2000-03-16,5410,5200,1898750,1.36,-64030,122880,-340
2000-03-17,5300,5340,808110,1.39,-179310,185270,3450
2000-03-20,5410,5310,657930,1.38,-202380,195870,6330
2000-03-21,5310,5290,556050,1.38,-252110,246620,4040
2000-03-22,5390,5440,1176120,1.42,-240810,240490,360
2000-03-23,5350,5210,423920,1.36,25460,-22740,-1320
2000-03-24,5200,5100,502550,1.33,-59540,9360,180
2000-03-27,5050,5030,577740,1.31,-13220,-36780,0
2000-03-28,4980,5000,492180,1.3,-49950,34670,5280
2000-03-29,4940,4855,445750,1.27,-17340,7370,-30
2000-03-30,4780,4950,414260,1.29,-69290,68030,1530
2000-03-31,4900,4780,239590,1.25,-23300,25470,-2260
2000-04-03,4810,4610,585440,1.2,230030,-204140,1840
2000-04-04,4550,4510,395640,1.18,-81690,86910,-6820
2000-04-06,4415,4360,267940,1.14,-15790,450,27930
2000-04-07,4300,4450,356240,1.16,31600,-6860,-14740
2000-04-10,4500,4700,917760,1.23,98000,-74480,-2070
2000-04-11,4700,4415,309900,1.15,-10330,5420,-90
2000-04-12,4415,4395,324380,1.15,66310,-64910,-1800
2000-04-14,4300,4280,249080,1.12,31120,-30320,0
2000-04-17,3850,3810,406780,0.99,-96180,78470,13190
2000-04-18,3980,3945,354210,1.03,88710,-82160,160
2000-04-19,4010,4000,894000,1.04,90970,-89170,180
2000-04-20,3970,4000,247840,1.04,-12190,-15830,28000
2000-04-21,4000,4025,324620,1.05,13050,-13220,160
2000-04-24,4025,3920,375820,1.02,89120,-88550,0
2000-04-25,3875,3785,435140,0.99,67830,-73830,0
2000-04-26,3885,3560,460720,0.93,51310,-54540,2860
2000-04-27,3300,3375,410640,0.88,29630,-34000,4370
2000-04-28,3320,3545,575850,0.92,8540,-7810,-330
2000-05-02,3515,3570,489740,0.93,84030,-93130,9300
2000-05-03,3515,3550,253750,0.93,24290,-23370,-920
2000-05-04,3480,3505,182080,0.91,7550,-4960,-2590
2000-05-08,3500,3575,329900,0.93,-45100,38390,6490
2000-05-09,3630,3730,1051970,0.97,109050,-98440,-3550
2000-05-10,3900,3700,584220,0.96,41850,-16740,-25110
2000-05-12,3620,3490,566130,0.91,127000,-106960,-5060
2000-05-15,3410,3130,485830,0.82,59120,-37300,2640
2000-05-16,3130,3030,1066560,0.79,103700,-52000,-51700
2000-05-17,3020,2600,744760,0.68,39050,-37190,-440
2000-05-18,2500,2750,838440,0.72,-61450,61180,10270
2000-05-19,2510,2750,1147740,0.72,410370,96480,-497740
2000-05-22,2850,2700,1056330,0.7,251050,-54390,-196060
2000-05-23,2610,2650,376570,0.69,-68170,53200,13280
2000-05-24,2680,2930,911320,0.76,-5380,5740,-270
2000-05-25,3010,3265,1040350,0.85,-50300,54240,-2340
2000-05-26,3100,3055,745340,0.8,-317850,317870,0
2000-05-29,2900,3100,583250,0.81,-30290,28550,1740
2000-05-30,3100,3170,587400,0.83,-2460,6650,-4190
2000-05-31,3210,3050,999860,0.8,155680,-57800,-97880
2000-06-01,3340,3500,2016410,0.91,-80100,95680,-15510
2000-06-02,3490,3460,1581620,0.9,45220,-31980,-13240
2000-06-05,3620,3700,1645090,0.96,180550,-190550,0
2000-06-07,3760,3800,1605180,0.99,73260,21170,-84430
2000-06-08,3850,3600,1630430,0.94,-571700,71440,0
2000-06-09,3700,3615,1238350,0.94,-406260,-104010,90
2000-06-12,3650,3675,1225430,0.96,-364390,-135300,-90
2000-06-13,3705,3620,1146910,0.94,-110050,-289950,-100000
2000-06-14,3650,3570,645770,0.93,-300680,680,0
2000-06-15,3600,3245,707320,0.85,-129270,-51200,-17000
2000-06-16,3250,3170,572650,0.83,-308300,30320,270
2000-06-19,3170,3185,1196910,0.83,-54080,-245920,0
2000-06-20,3185,3190,1297270,0.83,39040,-289040,-50000
2000-06-21,3240,3200,1317700,0.83,406220,-228700,-197940
2000-06-22,3250,3260,2192790,0.85,105460,-102450,-3000
2000-06-23,3270,3185,866080,0.83,-397430,109030,0
2000-06-26,3140,3190,494770,0.83,-81750,11830,69920
2000-06-27,3220,3265,490570,0.85,-2970,3040,-70
2000-06-28,3295,3310,771950,0.86,32920,-58750,270
2000-06-29,3320,3235,538910,0.84,14330,-15970,-450
2000-06-30,3230,3180,659710,0.83,190960,-191960,0
2000-07-03,3250,3495,1945160,0.91,46110,-137400,0
2000-07-04,3600,3420,1281800,0.89,-256800,-63200,20000
2000-07-05,3440,3420,1096720,0.89,-212300,-95700,0
2000-07-06,3470,3930,3148770,1.02,386650,-356450,-6000
2000-07-07,4070,3950,4402880,1.03,280160,-221110,-56660
2000-07-10,4100,4130,2748630,1.08,-93140,60420,-2130
2000-07-11,4180,3970,1884380,1.04,-213280,-87220,820
2000-07-12,3900,3780,1136130,0.99,128270,-127440,200
2000-07-13,3780,3750,802330,0.98,-221730,54410,-2670
2000-07-14,3750,3790,504470,0.99,-151360,151360,0
2000-07-18,3790,4000,1480100,1.04,-168160,168360,-200
2000-07-19,3960,3990,879690,1.04,-145440,139650,5790
2000-07-20,3940,3950,562780,1.03,-150810,147960,2700
2000-07-21,3905,4100,699110,1.07,-55000,54840,160
2000-07-24,4100,3905,1223120,1.02,-353970,51600,2250
2000-07-25,3905,3995,874860,1.04,-397050,85470,11580
2000-07-26,3995,3900,550150,1.02,-141410,22940,18470
2000-07-27,3900,3750,704260,0.98,-67960,-33450,1530
2000-07-28,3750,3510,773770,0.92,-72630,-48990,21140
2000-07-31,3510,3600,415720,0.94,-96310,-9980,6320
2000-08-01,3600,3700,609450,0.96,-137730,-69590,107320
2000-08-02,3700,3730,434920,0.97,-114780,14790,1490
2000-08-03,3730,3685,456440,0.96,-63680,-35600,-720
2000-08-04,3685,3680,336490,0.96,-81130,-18070,-80
2000-08-07,3680,3595,314240,0.94,-82170,-7830,0
2000-08-08,3595,3540,277690,0.92,-88320,-2430,750
2000-08-09,3540,3570,386640,0.93,-145780,40180,5600
2000-08-10,3600,3610,307750,0.94,-34780,-19550,9900
2000-08-11,3610,3665,427410,0.96,-60530,-19630,160
2000-08-14,3665,3710,408030,0.97,-73530,-21950,1240
2000-08-16,3720,3795,444840,0.99,-101820,-3320,4830
2000-08-17,3795,3720,273190,0.97,-83180,-16820,0
2000-08-18,3720,3690,274280,0.96,-80020,-20060,80
2000-08-21,3690,3660,209100,0.95,-91470,-8370,-160
2000-08-22,3665,3680,157370,0.96,-61950,36000,2350
2000-08-23,3680,3780,272760,0.99,-85700,-14880,580
2000-08-24,3780,3685,243830,0.96,-79640,-21550,2880
2000-08-25,3685,3750,229950,0.98,-115540,15620,-80
2000-08-28,3700,3685,108120,0.96,-17510,10950,6560
2000-08-29,3700,3730,186330,0.97,-84580,31040,3540
2000-08-30,3700,3680,110410,0.96,21860,-21540,-320
2000-08-31,3605,3500,172070,0.91,46260,-46100,0
2000-09-01,3510,3510,109680,0.92,-11140,11140,0
2000-09-04,3530,3510,168490,0.92,-76220,-23780,0
2000-09-05,3495,3550,106640,0.93,-38010,38010,0
2000-09-06,3470,3450,91520,0.9,-7520,5630,1890
2000-09-07,3450,3345,314150,0.87,-57950,-36800,-4950
2000-09-08,3345,3250,255060,0.85,-46680,-30610,-22710
2000-09-14,3250,3170,297450,0.83,16800,-85680,-31120
2000-09-15,3200,3155,292930,0.82,-35610,-45480,-18910
2000-09-18,3155,2900,260840,0.76,-144530,35260,8070
2000-09-19,2900,2905,327400,0.76,10450,-19020,-66660
2000-09-20,3030,3005,180610,0.78,35800,-34460,-740
2000-09-21,3010,3060,374060,0.8,-182040,-9180,-8780
2000-09-22,3060,2945,94220,0.77,14330,-11180,-3150
2000-09-25,2950,3135,223270,0.82,-7000,11300,-4300
2000-09-26,3085,3000,246120,0.78,91680,-92620,0
2000-09-27,3035,3035,555690,0.79,1220,-105750,0
2000-09-28,3070,3120,1087840,0.81,127580,-121660,-920
2000-09-29,3310,3080,635920,0.8,93120,-211650,-1000
2000-10-02,3100,3000,292440,0.78,-71440,-8560,0
2000-10-04,3000,3050,331830,0.8,-21380,-83300,4680
2000-10-05,3070,3045,402670,0.79,76900,-177000,100
2000-10-06,3050,3025,437200,0.79,-31280,-68720,0
2000-10-09,3025,2990,561880,0.78,66250,-166380,-200
2000-10-10,2900,2955,145590,0.77,2830,-2770,0
2000-10-11,2955,2895,556130,0.75,-126860,-73140,0
2000-10-12,2895,2805,430990,0.73,-80370,-115230,-4400
2000-10-13,2805,2745,335920,0.72,-156620,-38580,0
2000-10-16,2850,2760,412220,0.72,-37070,-74630,0
2000-10-17,2740,2470,194640,0.64,24620,-24620,0
2000-10-18,2375,2450,237480,0.64,50070,-50070,0
2000-10-19,2390,2390,360590,0.62,178090,-178080,-10
2000-10-20,2490,2450,285430,0.64,49890,-54070,4000
2000-10-23,2460,2370,231670,0.62,65350,-63670,-1500
2000-10-24,2390,2410,162870,0.63,-1130,730,400
2000-10-25,2410,2380,223720,0.62,58470,-57740,-400
2000-10-26,2350,2335,195860,0.61,37050,-37050,0
2000-10-27,2330,2315,214720,0.6,-20570,14300,4480
2000-10-30,2315,2280,138840,0.59,16990,-15380,0
2000-10-31,2270,2195,168850,0.57,38030,-35080,500
2000-11-01,2280,2520,614730,0.66,-12220,850,12920
2000-11-02,2550,2505,567590,0.65,116380,-116380,0
2000-11-03,2510,2505,331850,0.65,60100,-59600,-500
2000-11-06,2505,2680,449770,0.7,-13510,9750,-200
2000-11-07,2650,2590,220000,0.68,30450,-28690,0
2000-11-08,2550,2525,250040,0.66,17000,-15020,0
2000-11-09,2505,2500,208480,0.65,33700,-30960,-2520
2000-11-10,2550,2585,262510,0.67,-24350,23870,0
2000-11-13,2600,2495,216930,0.65,49130,-48470,0
2000-11-14,2510,2620,282630,0.68,1340,-1340,0
2000-11-15,2600,2625,375380,0.68,-37150,36850,300
2000-11-16,2595,2530,165490,0.66,-5560,5560,0
2000-11-17,2500,2500,173350,0.65,48510,-48410,-200
2000-11-20,2550,2875,1839330,0.75,28760,-35010,-100
2000-11-21,2890,2580,2219330,0.67,132650,-132800,6250
2000-11-22,2520,2420,517880,0.63,1570,-1670,100
2000-11-23,2380,2300,279090,0.6,-50270,30370,19900
2000-11-24,2265,2370,222740,0.62,-43900,21260,22200
2000-11-27,2390,2430,249900,0.63,-7160,31680,-25000
2000-11-28,2450,2345,231050,0.61,30210,-2220,-27510
2000-11-29,2345,2270,286190,0.59,94450,-107990,13980
2000-11-30,2295,2250,179660,0.59,12820,-15890,3070
2000-12-01,2200,2335,185590,0.61,-60240,61960,-1720
2000-12-04,2335,2280,181420,0.59,30550,-16250,-14300
2000-12-05,2280,2325,142830,0.61,-38400,39470,-1070
2000-12-06,2370,2350,538030,0.61,75030,-89500,13990
2000-12-07,2300,2270,297570,0.59,170350,-169870,0
2000-12-08,2280,2320,395350,0.61,104980,-120700,15000
2000-12-11,2340,2330,703170,0.61,157750,-152720,-13750
2000-12-12,2350,2215,729650,0.58,450040,-470380,21780
2000-12-13,2230,2280,429820,0.59,-74550,35590,38960
2000-12-14,2230,2280,542950,0.59,-63470,-179140,53970
2000-12-15,2300,2345,628680,0.61,-129260,-74040,-4950
2000-12-18,2390,2450,912020,0.64,-74180,19590,-88410
2000-12-19,2460,2490,1150940,0.65,-104950,-292720,-79980
2000-12-20,2480,2470,736260,0.64,-155880,-245400,-84340
2000-12-21,2405,2560,3436270,0.67,-456650,-2351640,-108340
2000-12-22,2520,2650,2024910,0.69,-528350,-94920,-330300
2000-12-26,2645,2790,1910550,0.73,-610520,7160,-382410
2001-01-02,2650,2625,365940,1.65,20660,-17990,-600
2001-01-03,2630,2480,495890,1.56,23250,-37260,16060
2001-01-04,2680,2850,871650,1.79,-131430,133910,1350
2001-01-05,2850,3145,2044000,1.98,9880,-8550,-340
2001-01-08,3245,3080,1140540,1.94,180090,-181210,200
2001-01-09,3100,3180,783850,2,-179190,90960,23000
2001-01-10,3120,2830,663700,1.78,1520,9830,-11810
2001-01-11,2900,2750,359080,1.73,107270,-97400,-8260
2001-01-12,2895,2965,724970,1.87,-39060,30850,7520
2001-01-15,2965,3210,1663770,2.02,3700,-2910,-100
2001-01-16,3235,3040,770620,1.91,16840,-16740,-100
2001-01-17,3100,3060,999950,1.93,8370,-8870,0
2001-01-18,3120,3050,407720,1.92,-48820,46100,0
2001-01-19,3100,3090,510490,1.95,43730,-45280,300
2001-01-22,2905,3200,579060,2.02,14580,-14580,0
2001-01-26,3350,3090,397540,1.95,29020,-28770,0
2001-01-29,3090,3090,327400,1.95,-24910,24910,0
2001-01-30,3160,3065,423870,1.93,12890,-12790,-100
2001-01-31,3050,3100,310110,1.95,23330,-12780,0
2001-02-01,3020,3020,202270,1.9,23390,-24140,750
2001-02-02,3030,2960,255300,1.86,46350,-46350,0
2001-02-05,2890,2730,311390,1.72,29870,-29870,0
2001-02-06,2730,2765,157110,1.74,-20880,20880,0
2001-02-07,2790,2750,242340,1.73,54200,-52200,0
2001-02-08,2750,2850,298720,1.79,-33930,30200,2850
2001-02-09,2800,2950,628220,1.86,12260,-12230,0
2001-02-12,2980,2930,655590,1.84,177510,-176830,-900
2001-02-13,2960,2970,313620,1.87,-16630,16400,230
2001-02-14,2960,3050,357460,1.92,-77310,76250,2100
2001-02-15,3030,2975,307380,1.87,54840,-67840,3000
2001-02-16,3015,2990,142680,1.88,12750,-12750,0
2001-02-19,2975,2925,219340,1.84,44570,-38720,-3870
2001-02-20,2920,2975,169040,1.87,-22200,19540,2440
2001-02-21,3000,3270,1610090,2.06,-172050,32610,148560
2001-02-22,3270,3175,681390,2,-22210,23120,-910
2001-02-23,3250,3140,416210,1.98,-78320,24110,1200
2001-02-26,3165,3300,970380,2.08,-5670,1340,3240
2001-02-27,3400,3180,1077030,2,47330,-34990,2440
2001-02-28,3130,3100,285010,1.95,190,-190,0
2001-03-02,3015,2900,384290,1.83,41090,-52020,13350
2001-03-05,2840,2845,179240,1.79,-29110,25690,120
2001-03-06,2845,2890,540000,1.82,15180,-5180,-10000
2001-03-07,2850,2825,414050,1.78,141030,-135190,-3800
2001-03-08,2910,2880,281440,1.81,43100,-9490,-36370
2001-03-09,2895,2860,371970,1.8,57140,-36580,-14020
2001-03-12,2810,2740,191360,1.73,16400,-13120,-2920
2001-03-13,2645,2640,296910,1.66,-78400,-11650,90050
2001-03-14,2740,2710,228800,1.71,-8150,11700,-3550
2001-03-15,2680,2640,246040,1.66,-23300,17980,3000
2001-03-16,2610,2680,132440,1.69,17550,-17090,-100
2001-03-19,2700,2710,481690,1.71,-48220,-77510,123350
2001-03-20,2760,2720,173690,1.71,-13540,2450,10450
2001-03-21,2655,2695,145230,1.7,-13040,8510,870
2001-03-22,2655,2630,197810,1.66,26830,-36830,10000
2001-03-23,2645,2650,150210,1.67,-24780,33470,-11650
2001-03-26,2660,2710,180100,1.71,22380,-20990,-3790
2001-03-27,2700,2650,181580,1.67,104180,-109450,2370
2001-03-28,2670,2620,297980,1.65,-480,10780,-10620
2001-03-29,2570,2585,273790,1.63,-4150,11730,-3490
2001-03-30,2585,2505,216540,1.58,78380,-79020,0
2001-04-02,2510,2500,156520,1.57,18730,-18730,0
2001-04-03,2470,2470,127290,1.56,-44080,43360,0
2001-04-04,2450,2450,111440,1.54,-33960,32180,0
2001-04-06,2550,2445,239340,1.54,61670,-55060,-120
2001-04-09,2505,2565,982990,1.62,-139440,-10820,150260
2001-04-10,2600,2505,474940,1.58,32420,-47440,15740
2001-04-11,2550,2525,285240,1.59,57260,-62050,10000
2001-04-12,2530,2575,447420,1.62,46380,-52400,12030
2001-04-13,2580,2630,715850,1.66,22350,-21200,-2110
2001-04-16,2630,2560,256350,1.61,5080,-4640,0
2001-04-17,2560,2590,188650,1.63,-90,-1410,0
2001-04-18,2610,2705,424710,1.7,-36090,32520,0
2001-04-19,2810,2730,655460,1.72,49240,-36480,-10700
2001-04-20,2730,2780,340610,1.75,-76200,69830,0
2001-04-23,2775,2760,240090,1.74,-49010,40860,4410
2001-04-24,2710,2760,130010,1.74,-17400,16020,600
2001-04-25,2760,2825,351400,1.78,-48840,42810,2730
2001-04-26,2850,2770,194640,1.74,24030,-24550,1400
2001-04-27,2795,2760,114050,1.74,1770,1140,-2910
2001-04-30,2770,2810,147530,1.77,-27360,26480,0
2001-05-02,2840,2840,400660,1.79,65560,-69770,7000
2001-05-03,2900,2910,613570,1.83,-64730,-55860,123670
2001-05-04,2900,2910,337460,1.83,-23680,23050,0
2001-05-07,2945,2960,300400,1.86,-36300,35800,540
2001-05-08,2945,2920,200740,1.84,16260,-15670,0
2001-05-09,2870,2805,246070,1.77,27220,-25590,0
2001-05-10,2800,2820,190100,1.78,9710,-2760,-1000
2001-05-11,2810,2845,182090,1.79,-63020,64760,0
2001-05-14,2815,2840,94360,1.79,3950,-3950,0
2001-05-15,2850,2870,378220,1.81,-30580,28880,0
2001-05-16,2880,2850,204590,1.79,16820,-17040,0
2001-05-17,2910,2935,355890,1.85,83730,13740,0
2001-05-18,2900,2980,502170,1.88,32790,-34760,0
2001-05-21,3050,3085,832010,1.94,26130,-32630,0
2001-05-22,3140,3065,472700,1.93,-7890,-15850,30000
2001-05-23,3100,3150,949430,1.98,-50570,29130,10000
2001-05-24,3125,3150,441720,1.98,-49030,29410,13600
2001-05-25,3250,3145,484060,1.98,-32990,26350,1400
2001-05-28,3150.0,3100.0,217320.0,1.95,-11180,9060,0
2001-05-29,3060.0,3120.0,317930.0,1.96,-35490,31590,0
2001-05-30,3100.0,3080.0,228250.0,1.94,42280,-42550,1410
2001-05-31,3010.0,3000.0,411820.0,1.89,44610,-56440,8220
2001-06-01,3000.0,2975.0,354070.0,1.87,96820,-94880,90
2001-06-04,2985.0,3020.0,526500.0,1.9,36770,-39820,2090
2001-06-05,3030.0,2920.0,326510.0,1.84,-35340,29330,4230
2001-06-07,2920.0,2905.0,187210.0,1.83,-14480,-1940,15000
2001-06-08,2920.0,2975.0,559760.0,1.87,193360,-150940,-42000
2001-06-11,2955.0,2915.0,399540.0,1.84,90110,-89350,0
2001-06-12,2940.0,2905.0,207870.0,1.83,14460,-14540,0
2001-06-13,2940.0,2955.0,310600.0,1.86,56220,-35490,-18020
2001-06-14,2925.0,3000.0,482950.0,1.89,27760,-32090,11650
2001-06-15,2955.0,3040.0,272960.0,1.91,26480,-14750,-10470
2001-06-18,3020.0,3020.0,319880.0,1.9,40360,-39010,0
2001-06-19,3025.0,3060.0,589340.0,1.93,-9360,60240,-58850
2001-06-20,3100.0,3050.0,508240.0,1.92,1710,1990,-5000
2001-06-21,3100.0,3035.0,351270.0,1.91,-26300,25530,0
2001-06-22,3000.0,3030.0,310290.0,1.91,270,4910,0
2001-06-25,2965.0,3060.0,606590.0,1.93,-6390,2060,0
2001-06-26,3050.0,2975.0,280570.0,1.87,-3030,6080,0
2001-06-27,2995.0,2975.0,230480.0,1.87,-42950,32670,5210
2001-06-28,2990.0,2950.0,142100.0,1.86,-240,-420,520
2001-06-29,2970.0,2970.0,172730.0,1.87,12700,-1380,-4800
2001-07-02,2950.0,2980.0,123350.0,1.88,40560,-20190,-11980
2001-07-03,2970.0,2950.0,116940.0,1.86,5330,-4060,0
2001-07-04,2985.0,2970.0,154640.0,1.87,-7740,8770,0
2001-07-05,2940.0,2925.0,126230.0,1.84,3960,-3960,0
2001-07-06,2920.0,2870.0,169090.0,1.81,-46390,-5790,53000
2001-07-09,2860.0,2790.0,214450.0,1.76,-106550,23040,77420
2001-07-10,2820.0,2795.0,189120.0,1.76,-72270,13240,60820
2001-07-11,2795.0,2750.0,220420.0,1.73,-63190,25090,0
2001-07-12,2785.0,2715.0,198080.0,1.71,51840,-25390,-10930
2001-07-13,2780.0,2670.0,215870.0,1.68,31680,-30530,0
2001-07-16,2650.0,2650.0,112270.0,1.67,-9980,5320,3800
2001-07-18,2665.0,2595.0,117930.0,1.63,-33080,-25350,55000
2001-07-19,2580.0,2635.0,228220.0,1.66,-92410,31900,61350
2001-07-20,2600.0,2580.0,112180.0,1.62,13720,-52660,48570
2001-07-23,2600.0,2580.0,139120.0,1.62,-83640,8240,3090
2001-07-24,2550.0,2580.0,106860.0,1.62,-30530,25500,3710
2001-07-25,2560.0,2540.0,114160.0,1.6,27720,-23940,0
2001-07-26,2570.0,2575.0,151220.0,1.62,42920,-41560,0
2001-07-27,2650.0,2685.0,180310.0,1.69,15910,-9710,-5320
2001-07-30,2680.0,2600.0,109670.0,1.64,31170,-30030,-900
2001-07-31,2590.0,2635.0,93650.0,1.66,-10740,8940,0
2001-08-01,2665.0,2670.0,220130.0,1.68,36740,-38680,2420
2001-08-02,2700.0,2665.0,168550.0,1.68,-8390,8870,0
2001-08-03,2700.0,2660.0,92060.0,1.68,13120,-6790,-5960
2001-08-06,2630.0,2700.0,186820.0,1.7,-27370,24930,0
2001-08-07,2670.0,2700.0,152080.0,1.7,4230,-4230,0
2001-08-08,2700.0,2690.0,95070.0,1.69,23680,-23630,0
2001-08-09,2670.0,2615.0,125630.0,1.65,14620,-14620,0
2001-08-10,2630.0,2680.0,115340.0,1.69,3340,-3780,0
2001-08-13,2700.0,2720.0,180810.0,1.71,38930,-38930,0
2001-08-14,2730.0,2830.0,411240.0,1.78,-58760,21320,0
2001-08-16,2780.0,2830.0,379570.0,1.78,-16810,-17750,0
2001-08-17,2810.0,2770.0,197650.0,1.74,12380,-12120,0
2001-08-20,2715.0,2645.0,418420.0,1.67,226950,-227510,0
2001-08-21,2650.0,2670.0,185460.0,1.68,5010,-5010,0
2001-08-22,2640.0,2655.0,182120.0,1.67,9620,-8460,-1850
2001-08-23,2685.0,2630.0,182890.0,1.66,16290,-16740,10
2001-08-24,2600.0,2580.0,193130.0,1.62,86810,-86920,-110
2001-08-27,2630.0,2590.0,168910.0,1.63,-30460,30300,0
2001-08-28,2600.0,2550.0,263810.0,1.61,100830,-15240,-87370
2001-08-29,2510.0,2420.0,304340.0,1.52,71230,-23980,-46810
2001-08-30,2390.0,2405.0,162830.0,1.51,4110,-3990,-120
2001-08-31,2320.0,2280.0,255260.0,1.44,93680,-94510,-50
2001-09-03,2310.0,2255.0,268950.0,1.42,123430,-123430,0
2001-09-04,2255.0,2345.0,247680.0,1.48,62790,-62940,20
2001-09-05,2300.0,2335.0,157290.0,1.47,9460,-6100,-2920
2001-09-06,2355.0,2395.0,161290.0,1.51,-2460,2460,0
2001-09-07,2350.0,2475.0,471000.0,1.56,11810,-4590,-7220
2001-09-10,2455.0,2520.0,269580.0,1.59,-95690,95940,-250
2001-09-11,2545.0,2500.0,214500.0,1.57,-75560,52260,23300
