Symbol,한화케미칼_시가(원),한화케미칼_종가(원),한화케미칼_거래량(주),한화케미칼_PER(IFRS-연결),한화케미칼_순매수수량(개인)(주),한화케미칼_순매수수량(기관계)(주),한화케미칼_순매수수량(외국인계)(주)
2000-01-04,9010,9350,353770,6.14,65580,-69410,470
2000-01-05,9000,8990,376680,5.9,33220,-88550,5420
2000-01-06,9000,8600,281520,5.65,-23020,-37820,5250
2000-01-07,8500,8600,331340,5.65,15260,-50360,5220
2000-01-10,8710,8620,279090,5.66,8970,-14250,4380
2000-01-11,8440,8950,291590,5.88,-79670,-40780,89430
2000-01-12,8900,8850,270200,5.81,-60390,-37430,97820
2000-01-13,8840,8590,665710,5.64,124560,-162630,58720
2000-01-14,8790,8500,419290,5.58,72130,-159070,83940
2000-01-17,8560,8200,344620,5.39,91760,-65650,-26110
2000-01-18,8150,7570,842100,4.97,166380,-127030,-72850
2000-01-19,7300,6500,641280,4.27,114510,-130980,-630
2000-01-20,6400,6090,750800,4,100680,-170480,1890
2000-01-21,6100,6800,1122860,4.47,-53850,-80150,139230
2000-01-24,6850,6690,635110,4.39,-48010,14420,18080
2000-01-25,6400,6200,434650,4.07,46880,75330,-148710
2000-01-26,6250,6200,253790,4.07,10150,-19960,0
2000-01-27,6200,6790,604670,4.46,17940,-60770,41090
2000-01-28,6770,6790,485190,4.46,41750,-44670,-37320
2000-01-31,6600,6800,597230,4.47,117330,-92020,-88080
2000-02-01,6800,6870,385350,4.51,-73580,-44590,81240
2000-02-02,7000,7900,920170,5.19,-193470,156230,37240
2000-02-03,8450,9080,2251320,5.96,-1009130,-75420,1028600
2000-02-07,9490,9110,1782500,5.98,-97590,-468140,379540
2000-02-08,9010,8610,455790,5.65,-122560,29600,9650
2000-02-09,8750,8150,422900,5.35,-5410,-115590,0
2000-02-10,7520,7700,426840,5.06,63950,-103660,36410
2000-02-11,7700,8000,518550,5.25,-23650,44740,-24680
2000-02-14,8100,8310,897830,5.46,-55830,69830,-7960
2000-02-15,8590,7850,244060,5.16,-68300,72350,-1850
2000-02-16,7800,7890,212200,5.18,-22590,-6400,19450
2000-02-17,7300,7900,278180,5.19,-34270,-25290,48550
2000-02-18,7900,7500,477190,4.93,212890,-134010,-100380
2000-02-21,7100,6800,313720,4.47,53400,-83430,13170
2000-02-22,6550,6700,255230,4.4,-2440,-12510,11910
2000-02-23,7200,7200,365670,4.73,20550,-26660,6400
2000-02-24,7200,6960,208550,4.57,-4120,-1460,1480
2000-02-25,7000,6950,247600,4.56,-14240,27320,-50220
2000-02-28,6200,6660,326360,4.37,63260,37300,-102020
2000-02-29,6650,6500,478360,4.27,252990,-110820,-144210
2000-03-02,6700,6500,679650,4.27,292330,-64900,-227430
2000-03-03,6600,6710,664630,4.41,208790,-92720,-4100
2000-03-06,7100,7660,887760,5.03,79020,-70280,-2790
2000-03-07,7600,7820,1282270,5.14,-148130,333170,-105370
2000-03-08,7500,7790,1118020,5.12,-208460,-105330,319720
2000-03-09,8200,8000,1204470,5.25,280370,-114490,-142000
2000-03-10,8000,8000,791590,5.25,-354500,15220,336880
2000-03-13,7850,7560,645330,4.96,44970,-33260,-17960
2000-03-14,7550,7300,412300,4.79,30740,1110,-50530
2000-03-15,6900,7000,421520,4.6,54450,-33730,-69520
2000-03-16,7190,7000,356010,4.6,-102910,-32010,118750
2000-03-17,7210,6950,1020140,4.56,263570,15030,-399510
2000-03-20,6950,6800,325870,4.47,-29120,21910,730
2000-03-21,6700,6650,255000,4.37,-25090,31670,-8660
2000-03-22,6800,6960,351980,4.57,-52690,2530,42660
2000-03-23,7000,7080,545720,4.65,-65290,-41960,36650
2000-03-24,7100,6990,185820,4.59,-46740,19120,21630
2000-03-27,7190,7090,238860,4.66,15800,-18120,0
2000-03-28,6980,7150,289880,4.7,-153990,58230,-550
2000-03-29,7190,7040,343300,4.62,78740,-54520,-15610
2000-03-30,7240,7350,732230,4.83,-37830,23270,520
2000-03-31,7350,8450,975710,5.55,-517600,499320,-640
2000-04-03,7400,7190,1489550,4.72,322670,-281000,1700
2000-04-04,7200,7350,426280,4.83,-217440,116780,97730
2000-04-06,7300,7150,284720,4.7,-81790,-8710,138480
2000-04-07,7000,7150,326940,4.7,-114200,91340,22860
2000-04-10,7200,7160,901670,4.7,318790,-160200,-194890
2000-04-11,7100,6800,493030,4.47,107620,5940,-173390
2000-04-12,6600,6550,649030,4.3,244220,32500,-278440
2000-04-14,6400,6100,586930,4.01,317520,-40920,-290380
2000-04-17,5310,5300,661940,3.48,56100,65690,-142500
2000-04-18,5550,5700,612300,3.74,19920,-44540,30210
2000-04-19,5800,5610,516700,3.68,222800,-88000,-143660
2000-04-20,5520,5620,262250,3.69,-330,88010,-87840
2000-04-21,5550,5730,308610,3.76,100170,-5830,-94090
2000-04-24,5570,5510,295830,3.62,86190,-16760,-68180
2000-04-25,5550,5250,360480,3.45,139030,30140,-84250
2000-04-26,5330,5020,469070,3.3,204380,-42540,-162370
2000-04-27,4950,4600,564560,3.02,100900,72400,-99730
2000-04-28,4600,4620,522370,3.03,216300,-81500,-59250
2000-05-02,4670,4640,595600,3.05,303980,-129260,-168040
2000-05-03,4710,4800,666540,3.15,97760,-30310,-67470
2000-05-04,4750,4715,387410,3.1,9560,-8600,20
2000-05-08,4710,4750,506900,3.12,-38430,113420,-75810
2000-05-09,4670,4850,427590,3.19,-83930,77560,3870
2000-05-10,4945,4700,293990,3.09,28940,31680,-66510
2000-05-12,4755,4800,475220,3.15,-197540,-5050,202580
2000-05-15,4700,4495,242030,2.95,-38730,-1190,8180
2000-05-16,4500,4400,372450,2.89,-1480,-104450,-7280
2000-05-17,4205,3800,535110,2.5,226880,-49580,-245530
