Symbol,한화테크윈_시가(원),한화테크윈_종가(원),한화테크윈_거래량(주),한화테크윈_PER(IFRS-연결),한화테크윈_순매수수량(개인)(주),한화테크윈_순매수수량(기관계)(주),한화테크윈_순매수수량(외국인계)(주)
2000-01-04,10800,12200,1645820,,190820,-190790,-1170
2000-01-05,11600,11850,1762180,,354470,-349380,5910
2000-01-06,12050,11850,2238910,,283670,-250870,-12900
2000-01-07,11900,13500,4579310,,-391680,236490,-4810
2000-01-10,13700,13000,3911440,,22980,-830,-54610
2000-01-11,13300,13700,4900440,,-103250,-7370,15900
2000-01-12,13300,13150,2895330,,10240,-42630,-10040
2000-01-13,13150,12700,1763790,,152940,-173940,-14220
2000-01-14,12800,12800,2664300,,261620,-264650,3630
2000-01-17,12950,12650,1927060,,-11940,11120,8220
2000-01-18,12800,12900,2796510,,530,-34200,-20830
2000-01-19,12650,11850,1717280,,-124420,123490,-20160
2000-01-20,11750,12000,1655350,,-125810,139420,7390
2000-01-21,11550,11550,1066590,,-9240,45120,-12920
2000-01-24,11400,11750,1129440,,-404810,402110,2800
2000-01-25,11500,11250,753660,,-142300,139800,2950
2000-01-26,11250,11100,901310,,-125090,130180,510
2000-01-27,10800,11600,1203000,,-88390,59590,-3040
2000-01-28,11650,11900,1036890,,-137450,-117910,-5570
2000-01-31,11550,12450,2038380,,-84870,580,-40
2000-02-01,12700,12500,1835840,,-174700,78710,2470
2000-02-02,12300,13500,3451550,,-1063730,1055250,9660
2000-02-03,13400,13500,3299840,,-705120,814060,830
2000-02-07,13650,14100,3658920,,-494480,270760,-3000
2000-02-08,14100,13600,1233680,,-78510,14510,4000
2000-02-09,13600,13000,1688690,,-348440,543890,-14790
2000-02-10,13000,13000,1300980,,315530,-320810,-3720
2000-02-11,13150,12400,1663760,,66090,-173910,21100
2000-02-14,12400,12450,1451710,,-7450,42630,-24760
2000-02-15,12600,12000,1159370,,68400,-51450,-8060
2000-02-16,11800,12200,930940,,-108650,129630,14120
2000-02-17,11500,14000,2193090,,-640870,626360,-15890
2000-02-18,14500,14000,4695900,,-916020,644230,61300
2000-02-21,13700,13000,1485640,,-72700,6950,21260
2000-02-22,13000,12300,1692270,,-202450,216300,-450
2000-02-23,12300,12650,2134270,,164190,-48260,-6430
2000-02-24,12500,12400,1262580,,-52880,132730,-3190
2000-02-25,12400,12300,1064840,,-14360,52050,2800
2000-02-28,12100,12300,1294190,,-257610,266240,1270
2000-02-29,12600,11700,1380800,,22420,41860,1580
2000-03-02,12000,13300,3728750,,148160,-167890,10830
2000-03-03,12900,12500,1666250,,75400,-172130,90710
2000-03-06,12800,12500,3611550,,-39610,17230,-19070
2000-03-07,12500,12600,1414400,,-235980,113800,3480
2000-03-08,12200,12200,1238280,,-135370,116590,380
2000-03-09,12350,12100,1880050,,56140,6550,-176720
2000-03-10,12350,11800,1127930,,-6200,-66340,920
2000-03-13,11700,11200,1494630,,472430,-468640,-13400
2000-03-14,11000,11000,1219110,,-29480,44240,-930
2000-03-15,10800,10600,1204980,,244420,-437390,44270
2000-03-16,10650,10050,1250320,,152770,-171440,5850
2000-03-17,10350,10250,1266730,,149140,-166430,16780
2000-03-20,10350,10900,1987150,,-24590,-292100,305800
2000-03-21,10950,10350,968670,,59730,-189330,93380
2000-03-22,10500,10200,2267970,,469620,-497360,155500
2000-03-23,10600,10400,1930270,,190280,-271090,-1190
2000-03-24,10300,10500,1798170,,97020,-89200,180
2000-03-27,10950,10900,1751620,,38100,-102620,-50
2000-03-28,10700,10750,776930,,-38700,2110,4410
2000-03-29,10650,10950,1854680,,-111240,67280,59000
2000-03-30,10900,10500,1058960,,-316070,167690,19400
2000-03-31,10500,10700,758160,,-117710,13680,37430
2000-04-03,10500,10000,620400,,-38340,-30260,57170
2000-04-04,10000,9650,765020,,-11890,-132710,136370
2000-04-06,9640,9000,1065710,,166690,-325630,138200
2000-04-07,8860,9070,794980,,89710,-105050,15340
2000-04-10,9100,9300,1249120,,278820,-235510,-41600
2000-04-11,9300,8800,627170,,-80960,50950,-100
2000-04-12,8700,8500,1640850,,305850,-156360,-150110
2000-04-14,8160,8100,932420,,154430,-188460,0
2000-04-17,7000,6890,1848710,,91800,-207400,15980
2000-04-18,7210,7350,2141020,,368420,-52590,200
2000-04-19,7410,7300,2760980,,514540,-204420,-9670
2000-04-20,7150,7000,1354870,,403490,-385030,360
2000-04-21,7100,7770,2666730,,11230,82840,-1990
2000-04-24,7700,7350,946770,,-116520,53390,-920
2000-04-25,7280,7200,676640,,-1510,1540,0
2000-04-26,7310,6900,1149860,,-178460,203260,50700
2000-04-27,6850,6900,842190,,-106040,112950,3110
2000-04-28,6760,6910,1141370,,208940,-158830,-400
2000-05-02,6810,7010,1012480,,122420,-118210,-3160
2000-05-03,7100,7200,1789780,,365350,-241710,-5070
2000-05-04,7300,7410,2361530,,-144620,218810,-5630
2000-05-08,7550,7340,942260,,-144220,96860,40920
2000-05-09,7340,7220,604240,,-121830,127250,-5400
2000-05-10,7100,7060,506900,,33130,9600,-42430
2000-05-12,7050,6790,668500,,53910,-54750,1710
2000-05-15,6700,6500,521760,,-64860,60830,-3970
