Symbol,현대건설_시가(원),현대건설_종가(원),현대건설_거래량(주),현대건설_PER(IFRS-연결),현대건설_순매수수량(개인)(주),현대건설_순매수수량(기관계)(주),현대건설_순매수수량(외국인계)(주)
2000-01-04,5700,6260,3807790,,473880,-440730,65100
2000-01-05,6100,6200,4046430,,-63760,131560,-19300
2000-01-06,6300,5730,2201320,,215720,-223070,10490
2000-01-07,5810,5800,2158810,,42880,-73640,74260
2000-01-10,6100,5830,2159490,,129210,-35430,16340
2000-01-11,5830,5710,2261860,,253500,-140490,-120800
2000-01-12,5600,5500,2220510,,455250,-413470,-41730
2000-01-13,5430,5410,1998820,,316890,-346680,14540
2000-01-14,5410,5420,2031150,,150090,-161090,11000
2000-01-17,5440,5370,2005950,,7320,-22420,51100
2000-01-18,5400,5270,1886040,,150340,-120950,-34670
2000-01-19,5170,5000,3783470,,765880,-740770,-470
2000-01-20,4990,4850,2352870,,6690,-30810,39160
2000-01-21,4800,4840,4078250,,1056690,-420590,-625890
2000-01-24,4800,4815,2626040,,320410,-400400,60530
2000-01-25,4860,4870,3181730,,114680,-90480,-200
2000-01-26,4920,5120,5503410,,-369860,240860,99300
2000-01-27,5200,5550,6757980,,-55800,83010,-29730
2000-01-28,5560,5250,4346680,,91930,-72940,-6470
2000-01-31,5150,5350,6516590,,138120,-190140,16400
2000-02-01,5600,5310,2775770,,32450,-36250,-14730
2000-02-02,5310,5340,3722470,,545010,-511070,34180
2000-02-03,5380,5290,2658220,,54360,9600,200
2000-02-07,5290,5220,4255970,,383920,-464130,78630
2000-02-08,5200,5100,2467020,,-52910,13750,-430
2000-02-09,5100,5000,2981540,,69610,-40590,-29180
2000-02-10,4910,4850,2739140,,556080,-530530,-26410
2000-02-11,4800,4690,3271130,,292360,-49640,-185920
2000-02-14,4600,4530,2910150,,-4870,-9020,14630
2000-02-15,4450,4430,3171950,,-248130,214680,9450
2000-02-16,4500,4500,3196290,,295680,-229040,-17200
2000-02-17,4450,4400,2502970,,-14830,-5300,9080
2000-02-18,4400,4200,3106300,,339590,-289220,-16180
2000-02-21,4020,3900,2607220,,-88380,-18650,26530
