Symbol,현대그린푸드_시가(원),현대그린푸드_종가(원),현대그린푸드_거래량(주),현대그린푸드_PER(IFRS-연결),현대그린푸드_순매수수량(개인)(주),현대그린푸드_순매수수량(기관계)(주),현대그린푸드_순매수수량(외국인계)(주)
2000-01-04,12800,13650,738670,4.12,134550,-152270,71110
2000-01-05,13300,13250,413150,4,-93610,98440,-4830
2000-01-06,13500,12400,270110,3.74,41450,-41350,0
2000-01-07,12200,12100,452730,3.65,36190,56270,-68480
2000-01-10,12300,12700,737440,3.83,7720,47200,1130
2000-01-11,12500,12600,515520,3.8,43950,5110,-39430
2000-01-12,12600,12000,423660,3.62,16630,-11230,-1000
2000-01-13,12000,12000,375290,3.62,55240,-49280,-6200
2000-01-14,12200,11500,718140,3.47,190170,-192330,1160
2000-01-17,11800,11400,470540,3.44,-70660,7240,92280
2000-01-18,11750,11050,862030,3.33,238760,-27630,-31420
2000-01-19,10050,10000,944650,3.02,150890,-160370,-480
2000-01-20,9800,9300,755270,2.81,153610,-199900,51060
2000-01-21,9250,9690,1274220,2.92,238600,-191530,-1180
2000-01-24,9420,9950,1692840,3,265530,-74110,12200
2000-01-25,9810,9500,598540,2.86,-34220,40120,-1300
2000-01-26,9600,9470,638840,2.86,20940,40270,-66210
2000-01-27,9550,10000,1473480,3.02,101480,28840,-125160
2000-01-28,10300,10000,662770,3.02,-43320,69950,-6150
2000-01-31,9700,10150,1165240,3.06,31750,214090,-205840
2000-02-01,10400,10300,842050,3.11,5970,24940,-30500
2000-02-02,10200,11800,2365330,3.56,-265610,132750,-49200
2000-02-03,12000,11750,2355930,3.55,-362320,-1060,296520
2000-02-07,12400,12000,769180,3.62,-159090,27070,131980
2000-02-08,12000,11600,387840,3.5,-41930,41390,130
2000-02-09,11850,10950,484730,3.31,-16520,16520,0
2000-02-10,10500,10200,561070,3.08,77250,8590,-80190
2000-02-11,10000,9650,699060,2.91,252920,-75980,-177220
2000-02-14,9500,8890,1048790,2.68,404330,-84370,-319960
2000-02-15,9100,8950,421670,2.7,64140,-45990,-18150
2000-02-16,9150,9010,331970,2.72,140,34240,-19400
2000-02-17,8630,9150,370000,2.76,50470,7440,-10320
2000-02-18,9050,8930,342180,2.69,-35840,36360,0
2000-02-21,8700,8100,346260,2.44,-20170,21390,-1220
2000-02-22,8000,8300,408760,2.5,-64730,30200,70
2000-02-23,8500,8800,945150,2.66,168590,-254740,-21170
2000-02-24,8400,8150,355220,2.46,29290,-38150,7810
2000-02-25,8100,8120,479230,2.45,-20230,-87160,7350
2000-02-28,7800,8000,680640,2.41,-154790,163710,-420
2000-02-29,8200,7880,406730,2.38,56490,-53320,9100
2000-03-02,8350,8110,717550,2.45,135300,-230970,101170
2000-03-03,8200,7850,372170,2.37,6710,-4300,-1740
2000-03-06,8000,9020,1326870,2.72,69890,-179300,-400
2000-03-07,9020,9100,1220830,2.75,-198340,105750,14390
2000-03-08,9100,9300,1146920,2.81,108210,-12690,-520
2000-03-09,9650,9650,1602840,2.91,230330,-83490,-58760
2000-03-10,9890,9400,630560,2.84,-118130,98130,0
2000-03-13,9500,9300,712250,2.81,-16770,-45830,95470
2000-03-14,9300,9590,670770,2.89,-123560,-108390,231790
2000-03-15,9500,9650,682320,2.91,-166040,-49380,385500
2000-03-16,9700,9150,368350,2.76,42700,-19250,1620
2000-03-17,9600,9150,411140,2.76,85570,-22420,360
2000-03-20,9150,8890,709990,2.68,330920,-209820,-102850
2000-03-21,8950,8600,423030,2.59,-45260,87090,-44930
2000-03-22,8500,8990,1044330,2.71,33240,-42420,-2000
2000-03-23,9010,9000,830760,2.71,67230,-93800,-840
2000-03-24,8710,8600,412110,2.59,105500,-102850,0
2000-03-27,8500,8350,601340,2.52,247050,-127980,-19260
2000-03-28,8420,8220,449650,2.48,107380,-57020,1330
2000-03-29,8100,8400,843900,2.53,-31190,-9640,-23000
2000-03-30,8400,8540,762760,2.58,-129720,235340,2640
2000-03-31,8500,8500,419780,2.57,-84730,62930,3320
2000-04-03,8720,8150,1149020,2.46,244520,-248770,4450
2000-04-04,8350,8000,561220,2.41,510,42190,1170
2000-04-06,7820,7720,394410,2.33,75460,16360,-91820
2000-04-07,7710,7910,590070,2.38,-25210,30270,-60
2000-04-10,8600,9090,1564610,2.74,372170,-399200,-10500
2000-04-11,9190,8550,1550870,2.58,-331970,223600,-48290
2000-04-12,8600,8300,509190,2.5,-66790,66640,0
2000-04-14,7980,8140,304010,2.45,-7680,-12210,20070
2000-04-17,7010,7300,479380,2.2,-167040,104310,7750
2000-04-18,7660,7500,258660,2.26,-29800,22740,60
2000-04-19,7600,7520,260470,2.27,-16330,26950,-5420
2000-04-20,7500,7500,301570,2.26,53600,6400,0
2000-04-21,7600,7600,325080,2.29,450,20880,-21300
2000-04-24,7630,7550,201920,2.28,-19620,20790,0
2000-04-25,7350,7390,137110,2.23,-35420,35420,0
2000-04-26,7400,6480,956340,1.95,198970,-132510,410
2000-04-27,6480,6090,688380,1.84,62120,-63960,840
2000-04-28,6150,6290,708380,1.9,29770,20840,-460
2000-05-02,6200,6150,444120,1.86,103950,6890,-1310
2000-05-03,6200,6220,337690,1.87,-66680,69610,-2930
2000-05-04,6120,6430,359700,1.94,-87500,88410,-910
2000-05-08,6500,6500,254170,1.96,-74310,80000,-5740
2000-05-09,6400,6440,149370,1.94,-21940,20000,1940
2000-05-10,6380,6160,263910,1.86,92520,-128100,-16320
2000-05-12,6170,6090,235930,1.84,-115170,28010,87110
2000-05-15,6300,6090,397860,1.84,-131530,1270,130260
2000-05-16,6100,6100,172410,1.84,-73440,-60,73550
2000-05-17,6240,6000,321510,1.81,-115250,-51030,166280
2000-05-18,5710,5810,173670,1.75,-85720,24940,61190
2000-05-19,5760,5550,230110,1.68,48930,24820,-73700
2000-05-22,5200,4800,222950,1.45,77290,-76900,-390
2000-05-23,4625,4710,196190,1.42,-45090,23250,21190
2000-05-24,4700,5300,453740,1.6,-156540,-70070,226650
2000-05-25,5590,6090,577520,1.84,-171330,-243230,412170
2000-05-26,6200,5790,1408630,1.75,-348800,-249950,603750
2000-05-29,5300,5840,327530,1.76,2350,-2100,-5650
2000-05-30,6100,6440,289670,1.94,-37950,-9670,48040
2000-05-31,6600,6700,1132970,2.02,51630,-5290,-29560
2000-06-01,6350,6300,338040,1.9,-12750,11590,1160
2000-06-02,6350,6100,329030,1.84,-25200,4030,21130
2000-06-05,6580,7010,789760,2.11,75860,-75960,0
2000-06-07,7360,6950,989010,2.1,84250,-56390,-118930
2000-06-08,7290,7050,849860,2.13,-180770,-101170,194130
2000-06-09,7100,7070,472530,2.13,86450,-23240,-66070
2000-06-12,7100,7070,356720,2.13,31610,-32640,-30
2000-06-13,7420,6630,346120,2,-66650,-23350,0
2000-06-14,6500,6500,228200,1.96,-6370,-2510,6000
2000-06-15,6500,5900,198900,1.78,22420,-46400,11000
2000-06-16,5620,5810,124120,1.75,-18450,-20,90
2000-06-19,5700,5680,96960,1.71,-2260,-2810,0
2000-06-20,5960,5910,160670,1.78,-100040,1970,-310
2000-06-21,5750,6010,127530,1.82,-6380,-710,-90
2000-06-22,6090,5980,112800,1.8,2220,-1540,-9100
2000-06-23,6110,6300,236750,1.9,-133780,2580,128280
2000-06-26,6300,6280,119380,1.9,-22100,400,21840
2000-06-27,6300,6390,139880,1.93,-2340,2700,-340
2000-06-28,6450,6500,195200,1.96,-11670,10150,2400
2000-06-29,6450,6110,162530,1.84,4720,-5190,-400
2000-06-30,6090,6200,122400,1.87,-8770,5120,-150
2000-07-03,6200,6800,400800,2.05,-167270,166140,0
2000-07-04,7140,6450,265980,1.95,-86720,-14930,9650
2000-07-05,6550,6600,152110,1.99,-16010,16010,0
2000-07-06,6600,7010,362520,2.11,-152650,128590,10000
2000-07-07,7200,7710,995420,2.33,-458150,236840,300180
2000-07-10,7770,7500,443690,2.26,2250,2570,180
2000-07-11,7500,7690,421630,2.32,-84790,82650,2140
2000-07-12,7900,7600,262660,2.29,-46000,45970,30
2000-07-13,7420,7270,153480,2.19,-5070,490,4580
2000-07-14,7120,6870,140790,2.07,25160,-15160,0
2000-07-18,6610,6650,85610,2.01,-310,310,0
2000-07-19,6750,7000,973850,2.11,-18330,-203560,221890
2000-07-20,7000,7000,342860,2.11,-178870,-60,177250
2000-07-21,7100,6950,290740,2.1,-4510,-3690,8200
2000-07-24,6800,6000,226750,1.81,46320,-26440,-22060
2000-07-25,6050,6100,205370,1.84,31180,950,-42020
2000-07-26,6200,6400,309500,1.93,-69420,-62190,132110
2000-07-27,6400,6420,172900,1.94,-26540,-41250,67790
2000-07-28,6520,6550,211080,1.97,-78180,65780,12400
2000-07-31,6600,6700,190080,2.02,-3050,3050,0
2000-08-01,6690,6610,202660,2,22950,-21260,-1690
2000-08-02,6530,6560,184880,1.98,21390,-21390,0
2000-08-03,6600,6600,116070,1.99,-30700,28700,0
2000-08-04,6500,6480,57090,1.95,230,-230,0
2000-08-07,6000,6180,66750,1.86,-24670,-330,25000
2000-08-08,6200,6330,116990,1.91,-49910,14670,0
2000-08-09,6470,6650,174580,2.01,-40690,40690,0
2000-08-10,6850,7290,450190,2.2,-123770,53740,70000
2000-08-11,7290,7560,382780,2.28,-201460,69970,131520
2000-08-14,7670,7840,469150,2.36,-182790,55730,117200
2000-08-16,8100,8000,379000,2.41,-189880,119970,16890
2000-08-17,8300,9150,892520,2.76,-415740,23120,393600
