Symbol,현대모비스_시가(원),현대모비스_종가(원),현대모비스_거래량(주),현대모비스_PER(IFRS-연결),현대모비스_순매수수량(개인)(주),현대모비스_순매수수량(기관계)(주),현대모비스_순매수수량(외국인계)(주)
2000-01-04,5850,6610,922410,,-153760,157270,770
2000-01-05,6700,7100,3416330,,314490,-268290,-4650
2000-01-06,7000,6540,1237120,,-50390,56820,5390
2000-01-07,6650,6520,994920,,-86420,86300,-4880
2000-01-10,6600,6280,1078790,,243450,-248820,3870
2000-01-11,6100,6300,1280430,,3120,-11590,-9640
2000-01-12,6300,6180,750580,,105180,-115990,100
2000-01-13,6310,6350,1179840,,22720,-31380,8060
2000-01-14,6500,6170,860060,,177660,-105330,3420
2000-01-17,6170,6100,802310,,91550,-78330,8000
2000-01-18,6200,6000,1115450,,135410,-111340,-24070
2000-01-19,5990,5610,1103310,,163540,-156000,-10400
2000-01-20,5600,5450,928110,,193570,-228320,6750
2000-01-21,5280,5580,1442910,,70940,-58420,-8500
2000-01-24,5510,5750,1297280,,-148340,122570,22590
2000-01-25,5780,5410,735000,,29130,-22950,-10000
2000-01-26,5500,5530,800950,,44080,-34080,-10000
2000-01-27,5650,6200,2214870,,-245470,219160,16650
2000-01-28,6150,6030,1295440,,29930,-14240,-3330
2000-01-31,6020,6230,1607340,,14730,-14020,0
2000-02-01,6300,6100,1127480,,197840,-163750,-36590
2000-02-02,6140,6490,2353980,,-596440,615250,0
2000-02-03,6600,6450,1621350,,-316930,329270,7000
2000-02-07,6500,6500,1601090,,-63210,79950,-7310
2000-02-08,6610,6590,1761740,,-318070,330770,-3000
2000-02-09,6500,6140,1144410,,189220,-204220,0
2000-02-10,5980,5650,1342550,,426160,-420330,-5480
2000-02-11,5550,5500,1099240,,209080,-211640,1900
2000-02-14,5400,5100,1170180,,220640,-230700,6560
2000-02-15,5000,5090,1053140,,108610,-123610,15000
2000-02-16,5150,5150,906080,,-5700,-5880,5220
2000-02-17,5150,5150,970080,,60380,-71020,6940
2000-02-18,5150,4900,1424860,,408470,-407760,-630
2000-02-21,4655,4400,1578690,,290080,-166580,-7800
2000-02-22,4220,4150,2118010,,380200,-381700,1120
2000-02-23,4350,4700,2117530,,207020,-206200,-310
2000-02-24,4400,4250,1077360,,-26080,69110,-26890
2000-02-25,4100,4300,1474880,,-89340,71130,19100
2000-02-28,4060,4065,1050910,,57580,-59220,1640
2000-02-29,4115,4070,1647750,,299210,-310130,15840
2000-03-02,4180,4245,1840480,,-29600,59100,-29000
2000-03-03,4300,4090,1464360,,77540,-40580,-37720
2000-03-06,4195,4700,3094660,,92840,-142570,100
2000-03-07,4900,4760,2714590,,301770,-342080,-2320
2000-03-08,4510,4890,1871820,,-417240,291770,-660
2000-03-09,4900,4810,1530370,,202440,-71580,-145700
2000-03-10,4710,4555,1271960,,275500,-252700,900
2000-03-13,4550,4330,1231310,,70480,2510,-12520
2000-03-14,4380,4310,891110,,22380,-27150,-200
2000-03-15,4320,4350,1218710,,-138200,90520,-4140
2000-03-16,4510,4350,827590,,-54580,51000,1920
2000-03-17,4470,4480,1331240,,-108480,108740,-770
2000-03-20,4500,4465,1128690,,-55420,-23280,2340
2000-03-21,4400,4345,780750,,-93210,85470,2000
2000-03-22,4350,4445,1172340,,-233680,242030,400
2000-03-23,4520,4750,3351550,,-232160,256060,-1340
2000-03-24,4750,4600,1106800,,-103350,103150,200
2000-03-27,4500,4400,1587540,,301990,-261410,0
2000-03-28,4400,4350,1250430,,57810,-85700,1440
2000-03-29,4350,4180,1443250,,586730,-609790,0
2000-03-30,4210,4170,1029710,,76460,-76410,-4190
2000-03-31,4160,4070,827060,,58830,-70510,6580
2000-04-03,4070,3975,867260,,9380,-17810,-2210
2000-04-04,4120,4095,842920,,-251430,226510,200
2000-04-06,4010,3970,726700,,193940,-197560,4020
2000-04-07,3910,3970,888500,,46360,-48220,1860
2000-04-10,4010,4160,2035770,,279280,-288230,6380
2000-04-11,4160,3985,820450,,48330,-48130,-100
2000-04-12,3995,3970,726750,,35220,-43380,-2000
2000-04-14,3900,3915,510130,,62630,-62490,0
2000-04-17,4130,4500,6564420,,-50690,44690,8420
2000-04-18,4795,4730,10409410,,332590,-548630,213670
2000-04-19,4750,4560,5284750,,63470,-114380,49560
2000-04-20,4700,5240,9376870,,-347110,-647660,478270
2000-04-21,5350,5160,9585720,,322470,-333150,-790
2000-04-24,5060,4685,4093310,,-50510,76620,-200
