Symbol,현대미포조선_시가(원),현대미포조선_종가(원),현대미포조선_거래량(주),현대미포조선_PER(IFRS-연결),현대미포조선_순매수수량(개인)(주),현대미포조선_순매수수량(기관계)(주),현대미포조선_순매수수량(외국인계)(주)
2000-01-04,9020,9290,200150,2.77,-7460,5920,1000
2000-01-05,9200,9100,203090,2.71,-56480,57480,-1000
2000-01-06,9300,8660,193660,2.58,-63570,68630,0
2000-01-07,8760,8820,81620,2.63,-6460,5720,740
2000-01-10,8820,8930,118040,2.66,32570,-33110,270
2000-01-11,8750,8670,141700,2.58,-41470,40870,180
2000-01-12,8470,8100,117200,2.41,4440,-4750,310
2000-01-13,8010,7850,111660,2.34,13190,-15080,1290
2000-01-14,7910,8200,193540,2.44,11200,-11490,290
2000-01-17,8690,8240,228170,2.45,16360,10690,-27050
2000-01-18,8240,8160,101010,2.43,2190,-2330,140
2000-01-19,8010,7900,246950,2.35,10710,-7150,-2060
2000-01-20,7980,8290,224420,2.47,-96250,95730,520
2000-01-21,8290,8310,411220,2.48,-12940,13250,-1590
2000-01-24,8220,8900,504550,2.65,10040,-11490,450
2000-01-25,8900,9200,645280,2.74,-67440,-30560,0
2000-01-26,9150,9450,246160,2.82,-138760,138170,0
2000-01-27,9390,9980,289990,2.97,-202280,202260,110
2000-01-28,9900,9900,175440,2.95,-94260,95450,-450
2000-01-31,9600,10100,174180,3.01,-54770,58730,0
2000-02-01,10100,10100,141200,3.01,-91350,96830,-5260
2000-02-02,10300,10000,238790,2.98,-44890,44890,0
2000-02-03,10000,10200,292840,3.04,-170100,204710,5200
2000-02-07,10300,9820,95540,2.93,-37500,34970,0
2000-02-08,9500,9390,148100,2.8,-79290,79070,0
2000-02-09,9020,8600,113810,2.56,25200,-26730,0
2000-02-10,8350,8120,163990,2.42,61960,-61180,-780
2000-02-11,8120,8140,111780,2.42,-28600,43110,0
2000-02-14,7990,7900,72310,2.35,-6010,5110,900
2000-02-15,7650,7900,61720,2.35,-15740,14850,890
2000-02-16,8200,7900,68500,2.35,-6060,10480,-4300
2000-02-17,7790,7750,56940,2.31,-1290,10810,-10220
2000-02-18,7710,7360,111860,2.19,62020,-61740,0
2000-02-21,7200,6860,102890,2.04,16420,-3820,-600
2000-02-22,6700,6600,230570,1.97,64850,-62630,320
2000-02-23,6800,7250,235490,2.16,74310,-74110,40
2000-02-24,7100,6800,112120,2.03,19700,-19560,-140
2000-02-25,6800,7050,245170,2.1,12530,-12350,-200
2000-02-28,6670,6720,75820,2,3280,-3580,300
2000-02-29,7300,6920,121520,2.06,20740,-31930,11410
2000-03-02,7020,7050,107890,2.1,5590,-4990,-600
2000-03-03,7000,6910,102240,2.06,-4370,5630,-900
2000-03-06,7090,7640,169100,2.28,-50710,50710,0
2000-03-07,7780,7720,129680,2.3,4010,-3620,-390
2000-03-08,7600,7800,105890,2.32,-45390,45510,-120
2000-03-09,8100,7250,136430,2.16,23090,-10040,-31570
2000-03-10,7950,8010,127880,2.39,-54520,54520,0
2000-03-13,7800,8000,157690,2.38,-29840,37140,-7300
2000-03-14,7800,8000,73970,2.38,-43830,29840,-410
2000-03-15,7900,8290,144080,2.47,-75940,56930,-990
2000-03-16,8300,8600,197430,2.56,-147150,145230,1640
2000-03-17,8500,8980,236590,2.68,-133230,130770,2460
2000-03-20,8850,8900,111780,2.65,-85700,84470,1230
2000-03-21,8900,8890,118670,2.65,-73850,74610,0
2000-03-22,8840,9060,382890,2.7,-112970,115400,0
2000-03-23,9010,8560,195290,2.55,-46100,47610,-1230
2000-03-24,8600,8100,90080,2.41,1340,-4380,0
2000-03-27,8000,7690,155790,2.29,83300,-83300,0
2000-03-28,7650,7510,105590,2.24,51660,-52890,1230
2000-03-29,7500,7100,452590,2.12,340710,-341030,300
2000-03-30,7200,7110,97020,2.12,4420,-5010,610
2000-03-31,7110,7100,55460,2.12,8980,-10800,1820
2000-04-03,7350,6950,101560,2.07,24970,-25600,700
2000-04-04,6670,7000,55650,2.09,-21640,21290,0
2000-04-06,7000,6800,47030,2.03,5660,-7480,1820
2000-04-07,7000,6860,49380,2.04,11490,-13370,1880
2000-04-10,7040,7170,240860,2.14,50290,-46780,100
2000-04-11,7170,7000,66700,2.09,1050,940,0
2000-04-12,7010,6910,50280,2.06,5770,-5770,0
2000-04-14,6800,6650,82690,1.98,22650,-22440,0
2000-04-17,6010,6010,95380,1.79,1370,-5480,4110
2000-04-18,6590,6020,246590,1.79,181410,-181310,-100
2000-04-19,6100,5970,254400,1.78,142090,-139220,-2850
2000-04-20,6010,6140,89960,1.83,660,-660,0
2000-04-21,6200,6170,123890,1.84,54540,-1140,-270
2000-04-24,6250,6230,78690,1.86,1710,-1710,0
2000-04-25,6190,6110,50870,1.82,3280,-3280,0
2000-04-26,6150,5700,585480,1.7,293690,-293690,0
2000-04-27,5490,5130,438650,1.53,134440,-136860,420
2000-04-28,5290,5260,328450,1.57,73470,-73470,0
2000-05-02,5340,5330,97130,1.59,15880,-15200,-680
2000-05-03,5010,5330,82380,1.59,18930,-1310,-1620
2000-05-04,5350,5380,69390,1.6,810,-320,-490
2000-05-08,5400,5330,86380,1.59,26060,-21910,-4150
2000-05-09,5250,5240,60690,1.56,760,-20,-740
2000-05-10,5150,5210,90530,1.55,35780,-31050,-9730
2000-05-12,5200,5000,94000,1.49,43110,-40980,-2130
2000-05-15,5000,4850,64780,1.44,670,-190,-480
2000-05-16,4900,4770,108040,1.42,55300,-49960,-340
2000-05-17,4700,4250,119040,1.27,59910,-59060,-850
2000-05-18,4200,4080,180530,1.22,50190,-50190,0
2000-05-19,4190,4195,61790,1.25,490,-490,0
2000-05-22,4190,4100,108870,1.22,10280,-9000,-1280
2000-05-23,4050,4250,114030,1.27,-3660,3120,540
2000-05-24,4290,4800,190790,1.43,10380,-6680,-400
2000-05-25,4850,5430,174650,1.62,5520,-2520,0
2000-05-26,5380,4620,219150,1.38,-2880,-120,0
2000-05-29,4000,4390,252100,1.31,14160,-14560,400
2000-05-30,4610,4950,134920,1.47,10880,-7110,-770
2000-05-31,5250,4900,438280,1.46,5670,-3240,-2430
2000-06-01,5490,5100,195700,1.52,-590,190,400
2000-06-02,5100,5270,213500,1.57,-29910,29910,0
2000-06-05,5400,5800,310680,1.73,2170,-2470,0
2000-06-07,5510,5700,245950,1.7,-33900,34330,-280
2000-06-08,5690,5260,229780,1.57,9750,-9350,-250
2000-06-09,5260,5300,95400,1.58,1680,-1680,0
2000-06-12,5800,5680,484970,1.69,-2610,-390,0
2000-06-13,5850,5350,161850,1.59,-1020,1020,0
2000-06-14,5400,5260,96510,1.57,1110,-1110,0
2000-06-15,5300,5060,74390,1.51,0,0,0
2000-06-16,4900,4900,59070,1.46,-500,500,0
2000-06-19,4650,4805,61380,1.43,-7590,7590,0
2000-06-20,4860,4915,37830,1.46,600,-600,0
2000-06-21,4990,4970,59570,1.48,-760,-1240,0
2000-06-22,5000,4990,43680,1.49,-740,740,0
2000-06-23,5010,4915,52100,1.46,-90,90,0
2000-06-26,4950,5090,52430,1.52,-3020,3020,0
2000-06-27,5160,5200,79750,1.55,-2360,2360,0
2000-06-28,5250,5100,62790,1.52,-1710,1710,0
2000-06-29,4950,5000,67890,1.49,2880,-2880,0
2000-06-30,4900,5000,28140,1.49,-2020,2020,0
2000-07-03,5000,5100,68610,1.52,-2240,2240,0
2000-07-04,5150,5060,70030,1.51,260,-260,0
2000-07-05,5080,5000,51400,1.49,-1590,1590,0
2000-07-06,5000,5200,139820,1.55,-30,30,0
2000-07-07,5450,5980,389020,1.78,-13860,15860,-2000
2000-07-10,6300,6100,789080,1.82,-84690,79920,4770
2000-07-11,6070,6020,369680,1.79,-26850,28620,-4770
2000-07-12,6100,5860,145930,1.75,-43060,43060,0
2000-07-13,5810,5710,99740,1.7,14540,-14570,0
2000-07-14,5710,5550,130170,1.65,-33580,31080,2500
2000-07-18,5630,5540,143010,1.65,2780,-2780,0
2000-07-19,5540,5500,151700,1.64,-12210,11890,320
2000-07-20,5320,5440,63650,1.62,-25880,25820,60
2000-07-21,5450,5320,38830,1.58,2950,-3030,80
2000-07-24,5210,5000,126980,1.49,-21490,20990,500
2000-07-25,4810,4840,114560,1.44,18660,-20420,1760
2000-07-26,4800,4810,158570,1.43,36670,-36670,0
2000-07-27,4900,4900,104710,1.46,24620,-24590,0
2000-07-28,4800,4850,217430,1.44,36920,-40140,2980
2000-07-31,4710,4900,99410,1.46,19700,-20470,650
2000-08-01,4910,4990,72240,1.49,17020,-17020,0
2000-08-02,4960,5000,73620,1.49,13450,-13600,150
2000-08-03,5100,5340,219850,1.59,25790,-25430,-360
2000-08-04,5280,5090,157650,1.52,77250,-76850,-40
2000-08-07,4920,4850,71170,1.44,5600,-5600,0
2000-08-08,4900,4775,60900,1.42,13600,-13600,0
2000-08-09,4890,4990,91360,1.49,17360,-18290,930
2000-08-10,5000,5000,95160,1.49,7570,-8570,0
2000-08-11,5000,4970,91950,1.48,26660,-26740,80
2000-08-14,5230,5160,97680,1.54,-1090,1710,380
2000-08-16,5250,5150,95040,1.53,-5250,4270,900
2000-08-17,5100,5020,78940,1.5,3010,-3010,0
