Symbol,현대산업_시가(원),현대산업_종가(원),현대산업_거래량(주),현대산업_PER(IFRS-연결),현대산업_순매수수량(개인)(주),현대산업_순매수수량(기관계)(주),현대산업_순매수수량(외국인계)(주)
2000-01-04,8610,9660,830300,7.28,247090,-207580,-21490
2000-01-05,9570,9210,1216410,6.94,136900,-125820,6220
2000-01-06,9210,8690,986540,6.55,135670,-204440,68990
2000-01-07,8700,8570,501150,6.46,-40820,39760,1060
2000-01-10,8650,8600,591040,6.48,5460,-19470,15650
2000-01-11,8600,8370,731550,6.31,156620,-61080,-98750
2000-01-12,8370,8600,682090,6.48,144250,-144250,0
2000-01-13,8500,8200,597230,6.18,-144090,157690,-8270
2000-01-14,8350,8300,549370,6.26,-14210,81090,-66880
2000-01-17,8400,8360,473450,6.3,-89690,113050,-3840
2000-01-18,8370,8240,493670,6.21,-59370,53180,6190
2000-01-19,8050,7500,800780,5.65,382280,-324560,-5020
2000-01-20,7500,7500,615500,5.65,11620,-13930,2810
2000-01-21,7600,7400,813810,5.58,29070,-68540,-6770
2000-01-24,7450,7280,1269800,5.49,566910,-110970,-455990
2000-01-25,7190,7200,1024810,5.43,32070,150810,-182880
2000-01-26,7300,7500,1255760,5.65,-26120,-34820,-9060
2000-01-27,7700,8620,2457930,6.5,-555790,426850,195850
2000-01-28,9050,9000,4248240,6.78,-1633940,182960,1239260
2000-01-31,8800,9270,1932270,6.99,-301480,70050,230300
2000-02-01,9180,9230,971640,6.96,-128760,53340,95290
2000-02-02,9210,9500,1532820,7.16,-301610,199860,1310
2000-02-03,9490,9010,1076710,6.79,250420,124380,-374890
2000-02-07,9000,8550,1468270,6.44,272630,23620,-297230
2000-02-08,8510,8420,1076110,6.35,210540,-33800,-196650
2000-02-09,8350,8110,995370,6.11,236990,-233690,-3300
2000-02-10,7950,7700,1199120,5.8,451090,-447180,-3910
2000-02-11,7600,7650,995170,5.77,335060,-269660,-63320
2000-02-14,7510,7200,1019500,5.43,257050,55370,-318420
2000-02-15,7200,7330,657950,5.52,-8230,2620,7660
2000-02-16,7490,7360,1035110,5.55,303560,-168490,-134150
2000-02-17,7300,7300,688550,5.5,-41340,44990,-7050
2000-02-18,7350,7070,721390,5.33,54690,-57620,-810
2000-02-21,7000,6450,805600,4.86,131200,-115830,-39160
2000-02-22,6300,6200,1014200,4.67,243990,56930,-300600
2000-02-23,6500,7130,2138040,5.37,414510,-283240,-26350
2000-02-24,6750,6700,1437020,5.05,-102690,133450,-28810
2000-02-25,6610,6750,894740,5.09,-154250,138050,-3910
2000-02-28,6510,6800,843220,5.12,-192310,154810,-5500
2000-02-29,6950,6800,973380,5.12,-351920,428470,-16250
2000-03-02,7820,7500,2078180,5.65,-411360,-616740,1045100
2000-03-03,7400,6890,678040,5.19,188510,-177940,-25890
2000-03-06,7000,7010,1638560,5.28,378890,-427690,20090
2000-03-07,7110,7300,1893580,5.5,203650,-286800,-89090
2000-03-08,7030,7400,1463570,5.58,-98120,43330,-18670
2000-03-09,7450,7160,3279330,5.4,477330,-249600,-216540
2000-03-10,7670,7130,1429440,5.37,414510,-355220,-19190
2000-03-13,7100,6940,934590,5.23,13360,4600,-11160
2000-03-14,6750,6700,704540,5.05,2580,-2840,-640
2000-03-15,6530,6630,854360,5,64170,-20110,-3790
2000-03-16,6720,6530,992800,4.92,167930,65360,6240
2000-03-17,6680,6630,1272510,5,95730,-1480,-2100
2000-03-20,6790,6560,796690,4.94,2540,-500,2190
2000-03-21,6370,6400,603760,4.82,-81080,72980,1520
2000-03-22,6430,6410,700630,4.83,73940,-74620,320
2000-03-23,6300,6190,1404740,4.67,708550,-160670,-506350
2000-03-24,6200,6170,947790,4.65,366030,-59870,-306150
2000-03-27,6150,6230,1117040,4.7,-10550,-89820,107030
2000-03-28,6250,6210,724940,4.68,19460,10620,-41740
2000-03-29,6130,6050,1252530,4.56,317460,125040,-40160
2000-03-30,6100,5970,1608960,4.5,217850,344370,-11140
2000-03-31,5850,5860,727050,4.42,84800,-31890,-3000
2000-04-03,6120,5950,2357710,4.48,75800,-516730,0
2000-04-04,6000,5650,806980,4.26,-102980,98500,9500
2000-04-06,5650,5400,840710,4.07,124830,-127350,2520
2000-04-07,5210,5320,882920,4.01,50480,-112000,2520
2000-04-10,5800,6110,2380550,4.6,135050,-96310,-9990
2000-04-11,6200,5600,2305610,4.22,142560,-138280,-190
2000-04-12,5500,5580,897440,4.21,94270,-92570,-1800
2000-04-14,5310,5410,1051400,4.08,335800,-76260,-264530
2000-04-17,4990,5030,1565030,3.79,-198650,123420,81000
2000-04-18,5300,5240,909200,3.95,19730,-17170,80
2000-04-19,5300,5100,981170,3.84,105250,-112050,15700
2000-04-20,5250,5300,1550300,3.99,-14320,14320,0
2000-04-21,5450,5690,1395250,4.29,-249860,251540,-1600
2000-04-24,5720,5560,830740,4.19,-96130,98370,-260
2000-04-25,5500,5560,565030,4.19,-85190,85190,0
2000-04-26,5650,5000,1404810,3.77,212680,-215870,1130
2000-04-27,4950,4760,1320790,3.59,216010,-218620,2410
2000-04-28,4800,4780,1289870,3.6,504640,-44830,-509270
2000-05-02,4800,4800,1314870,3.62,198940,264580,-452660
2000-05-03,4840,4880,858890,3.68,-18660,-19230,37890
2000-05-04,4910,4940,631310,3.72,-116560,87720,27540
2000-05-08,5040,4940,512450,3.72,-72050,80930,-7380
2000-05-09,4810,4825,467530,3.64,-24580,-93130,-22800
2000-05-10,4800,4675,1034700,3.52,215120,-88440,-286680
2000-05-12,4675,4650,623820,3.5,-110000,-41900,-6100
2000-05-15,4550,4365,538420,3.29,-50210,132550,-2340
2000-05-16,4270,4600,568170,3.47,-150040,179840,-30800
2000-05-17,4460,4150,825520,3.13,-42280,111210,-68930
2000-05-18,4000,3960,625130,2.98,-27350,132050,-110840
2000-05-19,3900,3950,726110,2.98,-80770,127030,-38630
2000-05-22,3860,3750,797350,2.83,-84320,276120,-137980
2000-05-23,3750,3880,534950,2.92,-228700,163540,63470
2000-05-24,3710,4460,1524920,3.36,-177970,191980,56080
2000-05-25,4620,5100,2026710,3.84,-632000,-83120,746720
2000-05-26,5110,4500,1578600,3.39,-536740,290720,255020
2000-05-29,3920,4330,1412970,3.26,43880,49850,-95730
2000-05-30,4490,4560,1232390,3.44,92340,-87560,-2780
2000-05-31,4610,4750,2970220,3.58,152670,-68310,-84310
2000-06-01,4750,4450,1145210,3.35,-30690,30760,0
2000-06-02,4560,4450,1341870,3.35,186730,-148440,-3290
2000-06-05,5000,5110,1593490,3.85,389210,-225760,540
2000-06-07,5870,5870,1292370,4.42,509190,-325120,17530
2000-06-08,6750,6280,8853430,4.73,1206180,-771330,-224690
2000-06-09,5700,5830,4269250,4.39,25180,-49060,7090
2000-06-12,5520,5820,2824720,4.39,135150,-125300,-1690
2000-06-13,5100,4950,1818590,3.73,-5260,8610,-400
2000-06-14,5010,5200,3383110,3.92,-12400,-7310,20000
2000-06-15,5200,4450,1916620,3.35,310100,-107840,-152110
2000-06-16,4350,4300,1472950,3.24,172670,-30200,-151610
2000-06-19,4110,4300,1118290,3.24,-286530,295690,1000
2000-06-20,4150,4500,1117100,3.39,-32480,57260,200
2000-06-21,4450,4350,2424280,3.28,68120,-62550,-5770
