Symbol,현대엘리베이_시가(원),현대엘리베이_종가(원),현대엘리베이_거래량(주),현대엘리베이_PER(IFRS-연결),현대엘리베이_순매수수량(개인)(주),현대엘리베이_순매수수량(기관계)(주),현대엘리베이_순매수수량(외국인계)(주)
2000-01-04,20100,22200,56090,5.74,790,110,-1080
2000-01-05,22200,22600,73620,5.84,-680,-1090,1970
2000-01-06,22500,21300,49020,5.51,4610,-1970,0
2000-01-07,21400,20600,42320,5.33,60,1820,320
2000-01-10,21350,21350,46750,5.52,-2860,880,1830
2000-01-11,21000,22500,70320,5.82,-16340,19140,60
2000-01-12,21150,21400,41160,5.53,-4120,4120,0
2000-01-13,20900,21000,47790,5.43,-5810,8380,-2770
2000-01-14,21050,20600,84590,5.33,19890,-20130,240
2000-01-17,20400,20300,87480,5.25,24960,-25560,600
2000-01-18,20000,18300,195840,4.73,83760,-83320,-440
2000-01-19,18900,17900,130610,4.63,3860,-2620,-690
2000-01-20,17100,17800,107470,4.6,-32550,32350,200
2000-01-21,16500,17000,72210,4.39,1020,-1850,-630
2000-01-24,16500,16950,102700,4.38,5470,-1470,-20
2000-01-25,16600,16150,72150,4.17,-1170,1170,0
2000-01-26,16200,16200,85290,4.19,12800,-12600,-100
2000-01-27,16600,17800,173740,4.6,4950,-4270,-660
2000-01-28,18000,17600,66360,4.55,4030,-4130,180
2000-01-31,17100,17800,79760,4.6,1610,-1200,-410
2000-02-01,18400,17800,61030,4.6,-2520,550,-30
2000-02-02,17800,19100,111400,4.94,1050,950,0
2000-02-03,19850,19900,296480,5.14,41790,-41790,0
2000-02-07,20100,20300,175500,5.25,11730,-12430,690
2000-02-08,20300,19300,79330,4.99,-980,-630,610
2000-02-09,18800,18000,103470,4.65,-9810,8810,0
2000-02-10,18000,20000,247650,5.17,-32160,35770,-1610
2000-02-11,20100,21200,223210,5.48,-31140,31300,-200
2000-02-14,20200,20700,159940,5.35,-82430,32070,360
2000-02-15,20500,19850,75150,5.13,-48150,47790,360
2000-02-16,19500,20700,105100,5.35,-62110,56010,120
2000-02-17,20300,21600,109580,5.58,-58170,52140,240
2000-02-18,22200,21700,375120,5.61,-72620,134780,-208810
2000-02-21,21200,20300,73830,5.25,-37970,35700,-240
2000-02-22,19500,20000,312170,5.17,-28890,26590,-237390
2000-02-23,19550,19900,83950,5.14,4080,-1450,-200
2000-02-24,19200,18750,45030,4.85,-40,90,-50
2000-02-25,18800,18600,69310,4.81,-14520,-5490,0
2000-02-28,18000,17300,54360,4.47,-2390,1670,720
2000-02-29,17550,17900,44520,4.63,-1830,-1050,-120
2000-03-02,18100,18150,80060,4.69,-4050,1630,2300
2000-03-03,18250,18200,76710,4.7,-21900,4220,-360
2000-03-06,18200,19100,208100,4.94,6740,68250,-123820
2000-03-07,19500,18900,154500,4.89,-7120,49430,-92260
2000-03-08,19000,18600,96470,4.81,-20750,29950,-32660
2000-03-09,18900,15850,82270,4.1,16590,3870,-21390
2000-03-10,18200,18200,56540,4.7,10360,-360,0
2000-03-13,19200,18300,217590,4.73,78400,1900,-81340
2000-03-14,18000,18000,166280,4.65,-6990,57190,-50200
2000-03-15,17700,17900,68420,4.63,-31830,32620,-350
2000-03-16,18000,17700,69390,4.58,-39980,9380,480
2000-03-17,17800,17600,114290,4.55,-22150,-28570,720
2000-03-20,17700,18100,142810,4.68,21440,-71840,400
2000-03-21,18000,17400,49970,4.5,-11110,870,0
2000-03-22,17500,17500,105840,4.52,-1110,-48890,0
2000-03-23,17600,17000,94780,4.39,-4230,-45490,-160
2000-03-24,17400,16900,100620,4.37,-20740,-29260,0
2000-03-27,17000,16950,96290,4.38,5430,-55530,100
2000-03-28,17050,16800,54790,4.34,4830,-15190,360
2000-03-29,16450,16150,152200,4.17,33870,36090,40
2000-03-30,16250,15850,181600,4.1,9630,42570,0
2000-03-31,15950,16000,69440,4.14,3440,-13400,-40
2000-04-03,15650,15700,132430,4.06,800,-74760,80
2000-04-04,16000,14600,124630,3.77,51580,-61810,90
2000-04-06,14600,14000,42580,3.62,9850,-9850,0
2000-04-07,14000,14000,49700,3.62,10550,-6050,0
2000-04-10,14300,14950,86820,3.86,2030,-2240,260
