Symbol,현대제철_시가(원),현대제철_종가(원),현대제철_거래량(주),현대제철_PER(IFRS-연결),현대제철_순매수수량(개인)(주),현대제철_순매수수량(기관계)(주),현대제철_순매수수량(외국인계)(주)
2000-01-04,5170,5720,1122680,5.98,302570,-137310,-290340
2000-01-05,5690,5500,1060370,5.75,135630,-115970,-54260
2000-01-06,5650,5350,862310,5.59,41810,-106540,-250
2000-01-07,5350,5600,1391840,5.85,-47270,-13980,5980
2000-01-10,5800,5670,918930,5.93,-32870,60480,-29090
2000-01-11,5600,5410,751940,5.66,73170,-107270,31020
2000-01-12,5490,5300,675540,5.54,-8760,-24470,-10000
2000-01-13,5300,5150,985690,5.38,167990,-290540,-26950
2000-01-14,5110,5030,848810,5.26,63840,-88060,3360
2000-01-17,5050,5010,964600,5.24,209980,-39650,-293970
2000-01-18,5050,4920,1022650,5.14,84200,-126970,460
2000-01-19,4820,4500,987590,4.7,-101310,4020,-13890
2000-01-20,4515,5170,1956630,5.4,-1070,-60820,7790
2000-01-21,5250,5080,2474840,5.31,25360,43960,-7870
2000-01-24,4900,5020,1012530,5.25,-175790,172740,2650
2000-01-25,4950,4800,699830,5.02,56920,-18920,0
2000-01-26,4700,4900,863680,5.12,-17270,16870,200
2000-01-27,4950,5170,983300,5.4,-125290,-30760,1520
2000-01-28,5170,5040,1017980,5.27,66720,177800,-245520
2000-01-31,5000,5050,600200,5.28,39190,-43790,0
2000-02-01,5100,4950,719940,5.17,153610,-156920,-490
2000-02-02,4930,5020,804360,5.25,-140240,139240,0
2000-02-03,5010,4985,536230,5.21,-31130,31130,0
2000-02-07,4990,4880,978250,5.1,305760,-302320,-1700
2000-02-08,4850,4740,897660,4.96,60560,-62810,0
2000-02-09,4750,4620,881020,4.83,155660,-109760,-79800
2000-02-10,4590,4450,946060,4.65,67850,-116660,0
2000-02-11,4405,4295,791400,4.49,-76670,6270,520
2000-02-14,4060,4100,706460,4.29,-120130,61150,6360
2000-02-15,4020,4070,767460,4.25,-49240,44950,4290
2000-02-16,4130,4310,899720,4.51,-70650,66260,2590
2000-02-17,4310,4200,684390,4.39,5130,18680,4770
2000-02-18,4200,4060,604540,4.24,-47970,37920,-1170
2000-02-21,3810,3850,539340,4.02,-140800,144290,-3490
2000-02-22,3790,3950,785140,4.13,-247250,317180,290
2000-02-23,3950,4460,1018520,4.66,-124810,-67950,-690
2000-02-24,4120,4300,684770,4.5,-251050,221010,18510
2000-02-25,4250,4945,1557850,5.17,-610350,467310,-5340
2000-02-28,4845,4750,1083990,4.97,92190,-93850,1660
2000-02-29,4750,4400,759270,4.6,45840,-47270,-1530
2000-03-02,4150,4255,634950,4.45,146970,-160730,-2940
2000-03-03,4270,4105,625270,4.29,43960,-116810,-980
2000-03-06,4150,4285,489540,4.48,-49780,17560,130
2000-03-07,4250,4280,457850,4.47,-25360,-6890,25720
2000-03-08,4300,4325,568370,4.52,-5460,6800,-1510
2000-03-09,4350,4400,1266620,4.6,347560,-128420,-161370
2000-03-10,4445,4320,582320,4.52,-28510,16020,1170
2000-03-13,4350,4270,685000,4.46,68670,-95000,-12120
2000-03-14,4390,4300,947820,4.5,135590,-170920,5330
2000-03-15,4320,4205,784300,4.4,144800,-141710,-3900
2000-03-16,4290,4120,431330,4.31,-76060,65650,-2700
2000-03-17,4280,4360,1205200,4.56,-182100,-164660,346260
2000-03-20,4400,4450,630050,4.65,-50510,46880,2760
2000-03-21,4450,4385,499790,4.58,-103830,78130,6200
2000-03-22,4440,4350,670840,4.55,9910,-11710,760
2000-03-23,4350,4340,557790,4.54,-128160,88060,-1500
2000-03-24,4270,4230,311840,4.42,-33540,32760,280
2000-03-27,4110,4160,442950,4.35,16740,-18160,0
2000-03-28,4200,4140,424160,4.33,-56540,20870,6220
2000-03-29,4090,4060,377820,4.24,-17090,-34400,0
2000-03-30,4060,4100,498760,4.29,-100590,51550,1840
2000-03-31,4000,4700,612650,4.91,-383190,192730,-1840
2000-04-03,4200,4060,480700,4.24,130950,-142220,0
2000-04-04,4010,4200,655430,4.39,223050,-187870,100
2000-04-06,4190,4030,187670,4.21,23550,-27330,3680
2000-04-07,3950,3995,342220,4.18,46520,-4440,1840
2000-04-10,4045,4160,819230,4.35,139500,-130200,-3220
2000-04-11,4200,4000,400650,4.18,-5760,6950,-140
2000-04-12,4010,4005,287030,4.19,45910,-43710,-2800
2000-04-14,3950,3910,319070,4.09,15080,-33730,0
2000-04-17,3330,3510,637070,3.67,9180,-34220,15820
2000-04-18,3630,3660,487170,3.83,98740,-94440,240
2000-04-19,3715,3700,526420,3.87,71860,-50650,-12140
2000-04-20,3745,3690,235310,3.86,9630,-9750,0
2000-04-21,3690,3700,301700,3.87,11000,-9140,-1740
2000-04-24,3660,3610,281300,3.77,115150,-112250,0
2000-04-25,3600,3470,316460,3.63,72990,-72990,0
2000-04-26,3500,3100,645650,3.24,57180,-58620,840
