Symbol,현대중공업_시가(원),현대중공업_종가(원),현대중공업_거래량(주),현대중공업_PER(IFRS-연결),현대중공업_순매수수량(개인)(주),현대중공업_순매수수량(기관계)(주),현대중공업_순매수수량(외국인계)(주)
2000-01-04,43000,43500,438060,7.46,4770,-5950,-800
2000-01-05,42100,43300,465710,7.42,-161430,154650,7550
2000-01-06,43750,41000,561870,7.03,-181380,170850,15520
2000-01-07,38250,39900,672350,6.84,8650,-15830,4450
2000-01-10,40000,40000,752920,6.86,-234800,233790,5410
2000-01-11,39300,39200,625150,6.72,-97580,2660,-1370
2000-01-12,38500,37050,619220,6.35,103500,-68480,-1280
2000-01-13,37100,36500,542950,6.26,82860,-69780,-17000
2000-01-14,36500,36000,652350,6.17,157400,-141400,3200
2000-01-17,36000,35700,722330,6.12,50750,-103190,7950
2000-01-18,35700,37600,1025880,6.45,-53640,59030,-9370
2000-01-19,36000,35900,865970,6.15,19390,19780,-12680
2000-01-20,34700,34900,597680,5.98,-50230,62370,-7630
2000-01-21,34250,34950,651540,5.99,-37890,52520,-5140
2000-01-24,34500,34950,764590,5.99,-39140,30640,7750
2000-01-25,34050,34000,354830,5.83,-47280,54400,-580
2000-01-26,34050,34000,439490,5.83,-88230,95730,-7500
2000-01-27,35000,35600,633770,6.1,-266540,268970,2600
2000-01-28,36000,36200,580120,6.21,-76870,88910,790
2000-01-31,35700,36400,635850,6.24,-70200,73890,-500
2000-02-01,36400,36500,477310,6.26,-81010,86980,-970
2000-02-02,37500,38550,1037670,6.61,-240450,195050,2800
2000-02-03,38550,39500,646380,6.77,-214350,223260,300
2000-02-07,40000,39500,586320,6.77,-146740,159760,-140
2000-02-08,38300,38500,459620,6.6,-77230,77880,0
2000-02-09,37700,35950,519890,6.16,102120,-98030,1000
2000-02-10,35150,34000,604070,5.83,260920,-245690,-7370
2000-02-11,34950,33600,595580,5.76,250440,-218300,240
2000-02-14,33000,33400,512840,5.73,-19800,21800,-1100
2000-02-15,32000,32000,324170,5.49,30000,37460,-29140
2000-02-16,31500,32000,409620,5.49,-18940,36460,3290
2000-02-17,30800,31400,350330,5.38,24090,-20930,-6610
2000-02-18,30900,31600,609210,5.42,-93330,103190,-10540
2000-02-21,30500,31400,461610,5.38,-200760,211620,-5360
2000-02-22,30400,31450,485920,5.39,-103230,73010,1230
2000-02-23,32450,32950,652020,5.65,53760,13440,-31410
2000-02-24,32900,30950,369100,5.31,52420,-53850,-7400
2000-02-25,30500,30300,378090,5.19,-38440,39620,-120
2000-02-28,30000,30700,902760,5.26,-457100,528590,-6220
2000-02-29,30900,31500,331920,5.4,-153160,160030,-1520
2000-03-02,31600,32750,576600,5.61,-140500,146790,-6290
2000-03-03,32000,32000,346580,5.49,-66950,65740,-4740
2000-03-06,31550,32900,537140,5.64,-97380,98020,60
2000-03-07,32900,33200,373390,5.69,-140670,142120,-1430
2000-03-08,32000,34500,651610,5.91,-261860,244470,17390
2000-03-09,34400,33950,485950,5.82,-36990,147340,-107970
2000-03-10,34650,35500,527010,6.09,-256720,256800,540
2000-03-13,35000,34850,376360,5.97,-24780,130770,-11810
2000-03-14,34600,36200,447200,6.21,-320390,325680,-670
2000-03-15,35550,36300,309110,6.22,-88380,97980,-12120
2000-03-16,36300,36350,307100,6.23,-124650,120420,5170
2000-03-17,36550,37750,727680,6.47,-244990,256250,3840
2000-03-20,37300,37400,389910,6.41,-5440,32750,2190
2000-03-21,36800,37000,358730,6.34,-108260,117860,4000
2000-03-22,36700,37000,820230,6.34,-177590,187940,2080
2000-03-23,36050,36600,1190430,6.27,-204230,301180,350
2000-03-24,35700,34800,330090,5.97,-18990,18440,120
2000-03-27,33800,32950,514720,5.65,29750,-5750,-6310
2000-03-28,32750,31750,361220,5.44,80990,-79410,4530
2000-03-29,31500,32600,397560,5.59,89580,-82440,3000
2000-03-30,32600,31800,195550,5.45,-1270,9820,-8740
2000-03-31,31500,32300,204670,5.54,-64130,52430,4630
2000-04-03,32000,32250,195550,5.53,-60670,61090,-100
2000-04-04,31850,35050,331990,6.01,-223010,223870,0
2000-04-06,34000,34450,376550,5.91,-93160,88070,-2870
2000-04-07,33900,36500,950120,6.26,-418000,413440,8810
2000-04-10,36500,36500,817310,6.26,-2800,1890,2840
2000-04-11,36000,34850,595400,5.97,-222950,247050,-60
2000-04-12,33300,31500,649580,5.4,-183510,184450,-1200
2000-04-14,31800,32000,362840,5.49,3390,-6940,-3120
2000-04-17,28000,27200,407210,4.66,-53660,40590,13360
2000-04-18,29100,27900,457000,4.78,248010,-246160,100
2000-04-19,28100,27100,434200,4.65,150070,-214460,61320
2000-04-20,27200,27300,230750,4.68,65480,-69170,-3420
2000-04-21,27300,28200,319840,4.83,-30260,-56490,88110
2000-04-24,28200,27100,168440,4.65,35040,-26220,-1390
2000-04-25,26500,25700,274330,4.41,58130,-57310,-1340
2000-04-26,25750,23950,1017700,4.11,193710,-144650,-2460
2000-04-27,22550,22000,412150,3.77,8310,14960,-23280
2000-04-28,22300,22800,411670,3.91,101210,-93260,-2200
2000-05-02,21850,22600,310840,3.87,110550,-88250,-4810
2000-05-03,22600,23150,200650,3.97,5480,-16150,10670
2000-05-04,23150,23250,180330,3.99,26300,-23810,-2240
2000-05-08,23500,23000,180690,3.94,15020,-4830,-9930
2000-05-09,23000,22300,119760,3.82,16140,-15920,-150
2000-05-10,23000,24900,587700,4.27,-234030,74590,160470
2000-05-12,24900,25000,304350,4.29,-73200,81250,-7550
2000-05-15,24100,23000,115830,3.94,33430,-30930,-2400
2000-05-16,23000,22600,103190,3.87,24620,-5310,-19310
2000-05-17,22600,20400,182260,3.5,38210,-40120,1710
2000-05-18,19700,19800,178260,3.39,70,1850,-1590
2000-05-19,19700,20400,128540,3.5,12170,-10760,-1410
2000-05-22,20400,20400,143340,3.5,-29300,-8840,38140
2000-05-23,19800,20550,151080,3.52,-74150,62020,8630
2000-05-24,20500,20000,208810,3.43,66870,-62010,-180
2000-05-25,20500,22200,9469610,3.81,-8337670,-61860,-2340
2000-05-26,21100,18950,406360,3.25,120420,-120420,0
2000-05-29,16200,17400,600460,2.98,92630,-87580,-230
2000-05-30,18400,18400,599240,3.15,204140,-203890,-1000
2000-05-31,19200,21100,1101160,3.62,59200,-31890,-24740
2000-06-01,20600,20700,731070,3.55,-125220,-141170,267200
2000-06-02,21100,21800,561140,3.74,-106270,24990,83740
2000-06-05,22400,22900,418740,3.93,14460,-14200,0
2000-06-07,22500,22250,458470,3.81,148930,-82030,-67560
2000-06-08,22250,20800,572600,3.57,-12080,-167800,179930
2000-06-09,20500,21900,530980,3.75,153800,-176080,19590
2000-06-12,22500,23300,952450,3.99,97320,-78620,18030
2000-06-13,24000,22900,951610,3.93,-173410,7570,184640
2000-06-14,23250,22300,325740,3.82,51620,-15130,0
2000-06-15,22300,20400,297020,3.5,72300,-69320,0
2000-06-16,20000,20150,249460,3.45,15050,-15840,180
2000-06-19,19800,19950,171010,3.42,11540,-9410,0
2000-06-20,20000,20300,133610,3.48,8690,-8190,0
2000-06-21,20300,20300,202100,3.48,-9890,13090,-180
2000-06-22,20500,20800,289990,3.57,-37720,28820,-10000
2000-06-23,20800,21000,142580,3.6,-20040,13120,0
2000-06-26,21200,21100,138400,3.62,-35710,35180,440
2000-06-27,21500,22450,337350,3.85,-170170,169450,-100
2000-06-28,22800,21600,229910,3.7,-12510,15280,-220
2000-06-29,21400,21000,254780,3.6,45350,-44100,-300
2000-06-30,20600,21000,125110,3.6,-15940,14650,0
2000-07-03,21000,21200,177120,3.63,-11290,11540,-200
2000-07-04,21200,20800,159250,3.57,-14110,13680,0
2000-07-05,20700,20700,153560,3.55,-3390,3270,-500
2000-07-06,20500,20600,222720,3.53,38960,-39670,0
2000-07-07,20800,22200,729330,3.81,-23650,-3830,11740
2000-07-10,22300,22500,594010,3.86,-42500,31020,1140
2000-07-11,22500,21500,353260,3.69,45910,-24730,-120
2000-07-12,21500,21000,186100,3.6,-17800,19060,120
2000-07-13,21000,21000,287120,3.6,119320,-118060,-840
2000-07-14,20800,20700,230930,3.55,97030,-91570,1470
2000-07-18,20400,21000,425050,3.6,-85190,-164100,259900
2000-07-19,21000,20550,188430,3.52,-3200,-12100,11850
2000-07-20,20200,20300,252910,3.48,-45570,-13460,54490
2000-07-21,20350,20100,175530,3.45,22850,-3090,180
2000-07-24,19900,19000,219370,3.26,-8530,340,5400
2000-07-25,18100,18500,190950,3.17,-58230,43240,15260
2000-07-26,18000,18000,402590,3.09,48300,-21480,-14700
2000-07-27,18400,18900,364060,3.24,23850,16790,0
2000-07-28,19500,20300,645570,3.48,-56040,-13260,79000
2000-07-31,20000,20000,350930,3.43,-105280,10420,91070
2000-08-01,20000,21000,407810,3.6,-140950,133510,1520
2000-08-02,21000,22700,810960,3.89,-342500,355600,1430
2000-08-03,23500,23700,1038220,4.06,-189890,214830,-690
2000-08-04,23200,22900,359170,3.93,-32270,51450,-12960
2000-08-07,22200,21300,322110,3.65,-59370,12420,34530
2000-08-08,21300,21100,208410,3.62,-11940,8620,1250
2000-08-09,21500,24250,681220,4.16,-32280,52720,8270
2000-08-10,24500,24000,791240,4.11,7380,-7390,14890
2000-08-11,23500,23400,342410,4.01,-16360,17760,3180
2000-08-14,24500,22700,589280,3.89,29070,-33640,4150
2000-08-16,21600,22800,334140,3.91,24500,-43040,34020
2000-08-17,22300,21800,640360,3.74,191260,-321730,26250
2000-08-18,21900,21800,251720,3.74,59370,-15940,2590
2000-08-21,21200,21150,180170,3.63,30160,-15940,6780
2000-08-22,21200,21450,134130,3.68,-49260,46210,2490
2000-08-23,21700,20900,165630,3.58,37690,-35760,370
2000-08-24,21300,21000,202790,3.6,2070,12380,-16970
