Symbol,현대차_시가(원),현대차_종가(원),현대차_거래량(주),현대차_PER(IFRS-연결),현대차_순매수수량(개인)(주),현대차_순매수수량(기관계)(주),현대차_순매수수량(외국인계)(주)
2000-01-04,19000,20700,2028370,5.71,54460,-588600,495030
2000-01-05,21000,20800,4091650,5.74,34750,-783440,231650
2000-01-06,21300,19700,1899330,5.44,102390,-313900,267150
2000-01-07,20900,20300,2206950,5.6,-250350,85540,73110
2000-01-10,21500,20000,1931830,5.52,76550,-388870,265330
2000-01-11,19800,20000,1779040,5.52,250150,-236040,6500
2000-01-12,20100,19450,1020450,5.37,153990,-189500,67600
2000-01-13,19500,19500,1245390,5.38,239420,-156140,-87630
2000-01-14,19500,18500,1720440,5.11,422770,-14550,-391990
2000-01-17,19050,18500,2114500,5.11,381600,-232470,50970
2000-01-18,18500,17800,2558780,4.91,1264820,-858420,-403550
2000-01-19,17400,16100,2608430,4.44,713560,-447920,-220920
2000-01-20,15850,16200,2730990,4.47,508740,-677890,256420
2000-01-21,15900,16200,2835700,4.47,158820,-223430,124180
2000-01-24,15800,16000,2175750,4.42,760770,-431030,-126670
2000-01-25,15700,15500,1751200,4.28,258040,-116340,-249150
2000-01-26,15500,15950,2038040,4.4,-21740,-37170,-25990
2000-01-27,16500,17150,3341490,4.73,-263190,335090,-13110
2000-01-28,17150,16800,2096870,4.64,84920,-212740,134030
2000-01-31,16600,17100,1725870,4.72,-212380,-32920,238980
2000-02-01,17500,17000,1815120,4.69,194360,-98790,-93030
2000-02-02,17000,18300,4041730,5.05,-1056890,597230,432500
2000-02-03,18500,18550,4235540,5.12,-600260,582280,-26680
2000-02-07,18100,18500,2104860,5.11,-377240,-175990,517700
2000-02-08,18500,18100,2110260,5,-162470,-303580,434490
2000-02-09,18000,17000,2244160,4.69,267630,-563030,328200
2000-02-10,16700,16350,3117220,4.51,1137290,-1190950,251050
2000-02-11,16400,15650,2220350,4.32,918780,-816170,-86440
2000-02-14,15200,14650,1836490,4.04,363560,-228180,-119980
2000-02-15,14200,13750,2240530,3.79,700480,-33740,-665260
2000-02-16,14000,14000,2142540,3.86,773040,-187640,-422840
2000-02-17,14400,14500,3180400,4,-363990,-87480,435270
2000-02-18,14300,13700,1959000,3.78,307830,-388710,70060
2000-02-21,13700,12350,2101280,3.41,692690,-134710,-564480
2000-02-22,12050,12200,2215070,3.37,232290,-257140,38690
2000-02-23,12550,13300,2683040,3.67,354720,-331620,-20170
2000-02-24,13200,12500,1340480,3.45,59640,-122260,36710
2000-02-25,12150,12900,2855810,3.56,-137610,281580,-191810
2000-02-28,12100,11850,1612000,3.27,354300,-222940,-98020
2000-02-29,12300,12050,2117420,3.33,109510,-72250,-42370
2000-03-02,12550,13200,3646270,3.64,-97800,240720,-126420
2000-03-03,13200,13500,3028800,3.73,-581220,377150,192830
2000-03-06,13900,15500,4842640,4.28,98560,81370,-275980
2000-03-07,15600,15000,4832740,4.14,-21020,50970,-118470
2000-03-08,14150,15000,3426360,4.14,-910110,1010120,-55990
