Symbol,현대해상_시가(원),현대해상_종가(원),현대해상_거래량(주),현대해상_PER(IFRS-연결),현대해상_순매수수량(개인)(주),현대해상_순매수수량(기관계)(주),현대해상_순매수수량(외국인계)(주)
2000-01-04,16950,19000,139920,10.53,58760,-58980,220
2000-01-05,18800,18400,58040,10.2,100,-100,0
2000-01-06,18600,16800,122690,9.31,77490,-76490,0
2000-01-07,17000,17500,136310,9.7,4650,-9120,12470
2000-01-10,18400,20100,127520,11.14,4650,-5000,150
2000-01-11,20800,20000,395190,11.09,-5430,-2970,8400
2000-01-12,19800,19150,73180,10.62,0,0,0
2000-01-13,19700,19600,172970,10.86,-4470,4880,-410
2000-01-14,19600,18750,80600,10.39,500,-500,0
2000-01-17,18850,18700,62250,10.37,4830,-4000,-830
2000-01-18,18700,18200,53210,10.09,7660,-7290,-370
2000-01-19,17800,16950,76370,9.4,31020,2000,-33020
2000-01-20,16000,16750,81610,9.28,31370,-31370,0
2000-01-21,16000,16800,69020,9.31,0,0,0
2000-01-24,16800,16850,38510,9.34,0,0,0
2000-01-25,16500,16600,42260,9.2,-50,-50,100
2000-01-26,16700,17000,52020,9.42,-5000,5000,0
2000-01-27,17000,18200,179030,10.09,42920,-45000,7900
2000-01-28,18300,18950,219960,10.5,-94320,-9680,104000
2000-01-31,18950,19350,146670,10.73,-32980,-21020,54000
2000-02-01,20500,19400,78770,10.75,-11480,11480,0
2000-02-02,18800,19700,108030,10.92,-12990,9990,0
2000-02-03,20200,21500,290800,11.92,-42800,31000,-200
2000-02-07,21000,20300,291060,11.25,14270,-15480,1110
2000-02-08,20000,19200,117600,10.64,7390,-7470,80
2000-02-09,19200,18900,75440,10.48,-1370,1370,0
2000-02-10,18300,18000,109420,9.98,-36650,20650,0
2000-02-11,17600,17200,83650,9.53,11870,-11870,0
2000-02-14,17000,18000,96060,9.98,1340,-1340,0
2000-02-15,17400,18000,41810,9.98,-9120,9300,-180
2000-02-16,18600,19500,477220,10.81,-100,-124900,100000
2000-02-17,19000,18500,85460,10.25,-13580,21480,-7900
2000-02-18,17900,17550,80890,9.73,20770,-20000,-770
2000-02-21,16600,17100,65210,9.48,-31000,31000,0
2000-02-22,17300,16400,109110,9.09,28400,-39400,15000
2000-02-23,16400,17500,160640,9.7,63920,2000,-64920
2000-02-24,17000,17000,71540,9.42,7540,14000,-21540
2000-02-25,16800,17000,51970,9.42,-10500,10500,0
2000-02-28,16600,16800,63750,9.31,-16110,22460,-6350
2000-02-29,17200,16900,45260,9.37,-11490,9610,1880
2000-03-02,16700,16900,104910,9.37,19280,-21850,2570
2000-03-03,17300,17100,95320,9.48,-22880,15880,7000
2000-03-06,17000,17650,116240,9.78,12180,-12190,10
2000-03-07,17750,17450,87390,9.67,-2510,2510,0
2000-03-08,17300,17400,98530,9.65,-14800,14800,0
2000-03-09,17400,17450,110930,9.67,-8250,8370,-120
2000-03-10,17300,17500,64270,9.7,-36060,36060,0
2000-03-13,17500,17500,74750,9.7,-49160,24160,25000
2000-03-14,17500,17600,112800,9.76,-5130,-44870,50000
2000-03-15,17600,17600,137380,9.76,2840,-2840,0
2000-03-16,18000,17600,60390,9.76,-24220,23820,400
2000-03-17,17900,18000,188290,9.98,-1470,1470,0
2000-03-20,18150,17700,63570,9.81,-2090,1980,110
2000-03-21,17400,17450,79220,9.67,-57990,57990,0
2000-03-22,17200,17300,119350,9.59,14310,41550,-45860
2000-03-23,17000,17000,92860,9.42,11560,19070,-30630
2000-03-24,16800,16500,125960,9.15,36620,-6810,-29810
2000-03-27,16100,16700,167540,9.26,84000,-44190,-39810
2000-03-28,16800,16750,131970,9.28,-7330,-32680,40010
2000-03-29,16700,16650,80220,9.23,540,1900,-440
2000-03-30,15500,15700,63480,8.7,-8000,16000,-8000
2000-03-31,15500,15000,35750,8.31,-5030,5200,-170
2000-04-03,14800,13600,78490,9.23,-3400,3000,400
2000-04-04,13100,12350,115820,8.38,28720,-28870,150
2000-04-06,12100,11200,81850,7.6,34720,-20000,-14720
2000-04-07,11000,10550,259980,7.16,164180,-134300,-29930
2000-04-10,11050,11400,278760,7.73,61390,-60610,0
2000-04-11,11700,10900,153180,7.39,30000,-30000,0
2000-04-12,11000,11150,116790,7.56,20030,0,0
2000-04-14,11000,12350,216170,8.38,46590,-21620,0
2000-04-17,10550,10500,194420,7.12,45780,-45790,10
2000-04-18,11200,11600,360640,7.87,61470,-61970,0
2000-04-19,11750,11200,237280,7.6,16030,-17000,0
2000-04-20,11300,10800,106860,7.33,28160,-28050,-110
2000-04-21,10800,10950,108410,7.43,30040,-30020,-20
2000-04-24,11000,10600,53120,7.19,1500,0,0
2000-04-25,10500,10200,56760,6.92,0,0,0
2000-04-26,10300,8810,232870,5.98,56140,-56140,0
2000-04-27,8820,8400,219510,5.7,55480,-55900,0
2000-04-28,8510,8510,160540,5.77,59530,-65490,6080
2000-05-02,8490,8530,100370,5.79,5770,100,-5870
2000-05-03,8550,8870,69150,6.02,0,0,0
2000-05-04,9000,9100,94730,6.17,-540,0,440
2000-05-08,8800,8850,53430,6,0,0,0
2000-05-09,8700,8800,49580,5.97,20,-20,0
2000-05-10,8500,9100,34560,6.17,-17960,0,17960
2000-05-12,9100,9140,39080,6.2,-15630,0,15630
2000-05-15,9000,8590,30920,5.83,-8390,0,8390
2000-05-16,8430,8440,28670,5.73,-7380,0,7400
2000-05-17,8800,7900,27370,5.36,-7400,-10,7410
2000-05-18,7600,7390,40320,5.01,-11890,0,11890
