Symbol,호텔신라_시가(원),호텔신라_종가(원),호텔신라_거래량(주),호텔신라_PER(IFRS-연결),호텔신라_순매수수량(개인)(주),호텔신라_순매수수량(기관계)(주),호텔신라_순매수수량(외국인계)(주)
2000-01-04,6700,7400,568770,17.92,66210,-53960,-12090
2000-01-05,7400,7200,715720,17.43,137590,-138440,850
2000-01-06,7400,7000,888470,16.95,284230,-311560,3500
2000-01-07,7200,7120,895530,17.24,36590,-88130,51540
2000-01-10,7450,7200,697590,17.43,-158790,127760,260
2000-01-11,7150,7020,510720,17,13120,-14730,500
2000-01-12,7050,6860,530320,16.61,38340,-38340,0
2000-01-13,6810,6800,455040,16.47,31590,-35460,2870
2000-01-14,6900,6570,461000,15.91,15020,-16660,1640
2000-01-17,6600,6680,429130,16.17,-63560,59510,4050
2000-01-18,6710,6500,372900,15.74,70760,-81160,400
2000-01-19,6400,5950,961450,14.41,390370,-354180,-3300
2000-01-20,6050,5650,640610,13.68,86820,-130040,42720
2000-01-21,5650,5720,896830,13.85,235890,-253400,4870
2000-01-24,5550,5810,742440,14.07,-84950,82510,1450
2000-01-25,5700,5710,544160,13.83,-39080,19460,10
2000-01-26,5800,6140,917290,14.87,-311920,67060,225000
2000-01-27,6290,7000,1412960,16.95,-405620,168590,281400
2000-01-28,7000,6700,750720,16.22,-78990,59130,-1460
2000-01-31,6460,6490,460860,15.71,-10840,16370,-5330
2000-02-01,6520,6310,516470,15.28,81950,-41700,-37650
2000-02-02,6370,6740,1285330,16.32,16060,238400,-69460
2000-02-03,6600,6650,565830,16.1,-48970,36290,-3950
2000-02-07,6650,6650,475580,16.1,-48490,42760,5670
2000-02-08,6560,6400,396400,15.5,-38860,9090,170
2000-02-09,6300,6130,413850,14.84,-19360,17270,0
2000-02-10,6000,5800,686320,14.04,327190,-330500,1310
2000-02-11,5710,5700,396730,13.8,62350,-67040,1450
2000-02-14,5560,5500,329700,13.32,-73120,76460,-5940
2000-02-15,5450,5500,461560,13.32,-29140,19110,8030
2000-02-16,5560,5610,340870,13.58,-95730,11250,80820
2000-02-17,5600,6450,1036700,15.62,-357760,-58760,414720
2000-02-18,6200,6290,984810,15.23,-70020,-57150,7890
2000-02-21,6050,6030,358600,14.6,-176150,13690,162890
2000-02-22,5910,5600,297300,13.56,19960,53320,-74590
2000-02-23,5980,6100,835200,14.77,-9720,99780,-69160
2000-02-24,5900,6550,1472720,15.86,-585350,146700,489650
2000-02-25,6540,6620,984340,16.03,-196450,192350,116100
2000-02-28,6370,6900,831380,16.71,-239940,46370,20820
2000-02-29,7050,7000,666060,16.95,-357190,326310,53780
2000-03-02,7100,6890,496540,16.68,-7900,-1140,-5860
2000-03-03,6890,6550,306450,15.86,7270,-30,-7010
2000-03-06,6550,6750,1048060,16.34,175080,650,-320140
2000-03-07,6700,6620,668510,16.03,-122500,188590,-131370
2000-03-08,6500,6550,355730,15.86,-90610,69550,20410
2000-03-09,6500,6450,1116050,15.62,154100,349810,-618720
2000-03-10,6530,6400,433880,15.5,-22090,70600,-48510
2000-03-13,6500,6400,623000,15.5,40440,-32260,-7880
2000-03-14,6600,7000,977010,16.95,-196770,198010,-2020
2000-03-15,6820,7100,2612680,17.19,77470,-204330,501940
2000-03-16,7200,6560,836700,15.88,-238340,223030,4450
2000-03-17,6700,6950,658460,16.83,-168790,162310,6180
2000-03-20,6810,6750,492260,16.34,-213070,184080,8060
2000-03-21,6610,6550,361410,15.86,-10560,-21250,1200
2000-03-22,6460,6750,702890,16.34,-90800,100290,240
2000-03-23,6750,6740,554700,16.32,-8310,5730,-6720
2000-03-24,6740,6800,533180,16.47,-51090,35900,120
2000-03-27,6910,7100,660860,17.19,-58860,59670,-600
2000-03-28,7000,7100,495290,17.19,-44640,-34220,1120
2000-03-29,7000,7140,1427470,17.29,229280,-212890,0
2000-03-30,7300,6800,808270,16.47,-74350,-7160,97500
2000-03-31,6800,6650,828660,16.1,97970,-205700,102670
2000-04-03,6650,6700,523370,16.22,-71370,-24890,93440
2000-04-04,6590,6500,387110,15.74,-143410,31210,106580
2000-04-06,6500,6500,321390,15.74,-10400,-87660,98010
2000-04-07,6610,6850,1007340,16.59,84530,-235080,150660
2000-04-10,7050,6850,1112480,16.59,221430,-177960,-37130
2000-04-11,7000,6950,676490,16.83,-4710,5770,-60
2000-04-12,6990,6660,626750,16.13,164980,-55570,-109850
2000-04-14,6520,6300,655730,15.25,87970,-88550,0
2000-04-17,5410,5650,757240,13.68,-173650,82840,89410
2000-04-18,6000,5760,596010,13.95,133720,-138070,3900
2000-04-19,5800,5700,678530,13.8,150830,-137340,-6270
2000-04-20,5710,5600,403420,13.56,20220,-102300,82020
2000-04-21,5790,5800,533480,14.04,23400,-45750,22460
2000-04-24,6050,5910,780550,14.31,143070,-36530,-42620
2000-04-25,5790,5730,305670,13.87,14240,-14740,500
2000-04-26,5910,5560,385500,13.46,-38790,8070,30420
2000-04-27,5380,5650,349820,13.68,-160510,26620,133890
2000-04-28,5560,5700,287270,13.8,-31100,-720,42120
2000-05-02,5680,5600,517980,13.56,243600,-141990,-1500
2000-05-03,5600,5500,487230,13.32,147770,-228130,80360
2000-05-04,5500,5570,384150,13.49,-25780,-3730,29510
2000-05-08,5530,5560,305150,13.46,-7950,14160,-6210
2000-05-09,5600,5600,694970,13.56,18570,-96820,75180
2000-05-10,5600,5720,365650,13.85,-116840,58070,58770
2000-05-12,5750,5600,374800,13.56,-90370,-27280,117720
2000-05-15,5590,5460,385670,13.22,-188150,-8370,196420
2000-05-16,5510,5400,200680,13.08,30530,-29790,-680
2000-05-17,5310,4900,416480,11.86,-590,2630,-3000
2000-05-18,4650,4300,501240,10.41,162730,-136530,-26230
2000-05-19,4400,4280,479940,10.36,158440,-166550,1500
2000-05-22,4170,3830,485610,9.27,77580,-77210,-390
2000-05-23,3710,3955,618440,9.58,-25390,7930,6760
2000-05-24,3900,4000,876540,9.69,320490,-290,-300150
2000-05-25,4150,4310,1557670,10.44,-211300,-12770,218870
2000-05-26,4400,4420,1028580,10.7,-420270,-31170,457040
2000-05-29,4020,4730,637230,11.45,-146830,7540,136340
2000-05-30,4730,4700,649440,11.38,53390,-42760,5370
2000-05-31,5000,5000,883630,12.11,-113260,-3870,-2870
2000-06-01,4700,4860,326770,11.77,-31430,62050,-30620
2000-06-02,4920,4700,664640,11.38,33300,-31040,-2260
2000-06-05,4800,5000,1557440,12.11,296560,6410,-303000
2000-06-07,5000,5080,815520,12.3,-16120,23000,-26980
2000-06-08,5150,4780,704180,11.57,36380,-21070,-8670
2000-06-09,4830,4930,666350,11.94,-153400,2580,140150
2000-06-12,5000,5000,1140030,12.11,393980,-406530,-50
2000-06-13,5000,4850,553500,11.74,-172570,3070,0
2000-06-14,4810,4740,351170,11.48,-90820,49850,1000
2000-06-15,4705,4400,380230,10.65,8130,-7630,-500
2000-06-16,4300,4400,347950,10.65,-93060,-18620,63270
2000-06-19,4300,4480,219760,10.85,-66510,9710,57000
2000-06-20,4410,4500,321230,10.9,-2950,36760,-44060
2000-06-21,4510,4760,796140,11.53,141690,-50980,-100150
2000-06-22,4810,4640,576890,11.24,-11870,12070,-170
2000-06-23,4640,4520,256730,10.94,28700,-10,-28590
2000-06-26,4500,4580,332280,11.09,-59740,39540,200
2000-06-27,4600,4875,803930,11.8,-270270,191300,26530
2000-06-28,4900,5100,775170,12.35,-212450,36390,36060
2000-06-29,5100,5000,471660,12.11,-147050,43010,99430
2000-06-30,5000,4990,199240,12.08,-14140,10140,0
2000-07-03,5090,5410,807580,13.1,-65860,58710,360
2000-07-04,5500,5300,439620,12.83,-213820,157830,-10
2000-07-05,5200,5300,381650,12.83,-70020,-7120,-200
2000-07-06,5300,5480,880600,13.27,-21900,87870,2030
2000-07-07,5530,5500,898700,13.32,-55360,187840,-127730
2000-07-10,5510,5560,756850,13.46,-14190,115360,-101170
2000-07-11,5520,5450,1418430,13.2,122240,-66640,-91600
2000-07-12,5420,5130,496280,12.42,170910,-166030,3450
2000-07-13,5140,5130,313490,12.42,66360,-33660,-2700
2000-07-14,5110,5010,272250,12.13,25240,-30220,0
2000-07-18,5010,4800,410750,11.62,25150,500,-9000
2000-07-19,4790,4580,346900,11.09,110450,-77090,-27460
2000-07-20,4500,4500,221660,10.9,45640,5000,0
2000-07-21,4550,4620,223660,11.19,20210,-20310,100
2000-07-24,4595,4430,274610,10.73,-81290,-24060,10000
2000-07-25,4410,4500,196850,10.9,-9390,-3210,12600
2000-07-26,4585,4570,171070,11.07,-16090,-4010,20100
2000-07-27,4500,4450,151500,10.78,-730,1100,0
2000-07-28,4455,4425,419190,10.71,-30630,17760,-3000
2000-07-31,4420,4400,263380,10.65,98360,11640,0
2000-08-01,4430,4500,298980,10.9,-58560,58560,0
2000-08-02,4500,4635,257600,11.22,-77340,67490,9850
2000-08-03,4580,4585,232700,11.1,-5070,65070,-60000
2000-08-04,4600,4485,160970,10.86,-32680,32680,0
2000-08-07,4400,4315,197930,10.45,72430,-8530,-63900
2000-08-08,4300,4300,137850,10.41,320,-320,0
2000-08-09,4350,4400,137660,10.65,2820,1930,0
2000-08-10,4400,4445,119530,10.76,-37960,37960,0
2000-08-11,4440,4485,284260,10.86,36280,-46280,10000
2000-08-14,4600,4590,226750,11.11,-14920,0,15070
2000-08-16,4600,4670,198110,11.31,-50360,20430,29930
2000-08-17,4600,4555,130020,11.03,970,-970,0
2000-08-18,4580,4470,194340,10.82,99780,-100040,260
2000-08-21,4450,4350,216270,10.53,100200,-100200,0
2000-08-22,4360,4415,421200,10.69,4040,14960,1000
2000-08-23,4400,4320,397470,10.46,120460,-212160,87700
2000-08-24,4395,4315,257540,10.45,46500,-83100,35000
2000-08-25,4345,4500,377050,10.9,-113880,-7270,121250
2000-08-28,4500,4615,441970,11.17,-100000,-39250,139250
2000-08-29,4645,4950,1697360,11.99,-89050,-109190,411240
2000-08-30,4920,4755,544740,11.51,-47950,39400,2050
2000-08-31,4725,4650,341400,11.26,-101190,100690,-1000
2000-09-01,4650,4760,445940,11.53,-46980,104280,-59800
2000-09-04,4800,4740,245700,11.48,-26530,25530,0
2000-09-05,4790,4700,216550,11.38,35670,-32570,-800
2000-09-06,4610,4770,322450,11.55,-58390,40190,18400
2000-09-07,4750,4730,221970,11.45,-67630,54400,12930
2000-09-08,4740,4780,246370,11.57,-87800,119250,1000
2000-09-14,4780,4800,210980,11.62,-61470,96270,-35000
2000-09-15,4830,4750,292470,11.5,-38530,45850,-70
2000-09-18,4610,4620,394610,11.19,-198610,203610,-5000
2000-09-19,4500,4605,186910,11.15,-48410,47410,1000
2000-09-20,4470,4780,326290,11.57,-110950,111780,0
2000-09-21,4730,4700,238050,11.38,-80700,85100,-3800
2000-09-22,4700,4580,295520,11.09,-116240,116640,-400
2000-09-25,4550,4645,119160,11.25,180,-180,0
2000-09-26,4575,4560,120670,11.04,9010,-10,-9000
2000-09-27,4590,4570,142790,11.07,16160,-16660,500
2000-09-28,4600,4520,180020,10.94,25870,-25410,-460
2000-09-29,4550,4700,742410,11.38,69790,-75990,6200
2000-10-02,4730,4910,1120280,11.89,29800,-30720,920
2000-10-04,4900,4910,701040,11.89,9250,114900,-90930
2000-10-05,4920,4900,539210,11.86,-74560,75050,0
2000-10-06,4910,4990,695470,12.08,165630,-148270,0
2000-10-09,4990,4720,276090,11.43,-1100,0,500
2000-10-10,4670,4720,658520,11.43,6570,-5070,500
2000-10-11,4650,4480,300130,10.85,45670,-46920,1400
2000-10-12,4430,4435,188460,10.74,-23170,22170,0
2000-10-13,4300,4090,700610,9.9,366280,-271280,-100000
2000-10-16,4280,4255,783410,10.3,43020,-1120,-156800
2000-10-17,4250,4050,316890,9.81,-3890,-10,-100
2000-10-18,4060,4055,474380,9.82,89070,-105000,1970
2000-10-19,4045,4160,383580,10.07,-144510,144320,7190
2000-10-20,4240,4250,382330,10.29,-107090,107090,0
2000-10-23,4250,4180,272540,10.12,-113210,114110,0
2000-10-24,4185,4340,351060,10.51,-90080,90180,0
2000-10-25,4340,4340,229270,10.51,260,48740,0
2000-10-26,4350,4300,126770,10.41,-59500,59500,0
2000-10-27,4320,4250,278730,10.29,34620,104750,-139370
2000-10-30,4270,4110,105480,9.95,-23350,6520,0
2000-10-31,4110,4230,386270,10.24,-86150,111150,0
2000-11-01,4330,4450,400780,10.78,-65600,69740,2930
2000-11-02,4400,4510,402360,10.92,-159620,160550,0
2000-11-03,4540,4490,257860,10.87,-18700,15360,2340
2000-11-06,4490,4560,483530,11.04,27650,-27150,-500
2000-11-07,4560,4510,163580,10.92,-53990,54990,0
2000-11-08,4450,4510,164160,10.92,-66360,34700,31660
2000-11-09,4530,4550,161720,11.02,-68420,50420,18000
2000-11-10,4560,4790,534670,11.6,-159940,281350,0
2000-11-13,4780,4640,221350,11.24,-35630,35880,-250
2000-11-14,4660,4750,143280,11.5,-42790,42790,0
2000-11-15,4800,4770,163350,11.55,-74680,75480,-800
2000-11-16,4710,4700,71740,11.38,-4490,4490,0
2000-11-17,4610,4600,62260,11.14,490,-490,0
2000-11-20,4555,4500,66750,10.9,0,0,0
2000-11-21,4450,4380,102930,10.61,-12620,33590,-17470
2000-11-22,4310,4360,93040,10.56,24000,0,-30000
2000-11-23,4400,4500,319800,10.9,-113600,194430,-32030
2000-11-24,4515,4500,159100,10.9,-18230,80360,0
2000-11-27,4520,4530,218030,10.97,3240,-3240,0
2000-11-28,4530,4405,70130,10.67,4570,-4570,0
2000-11-29,4370,4310,46680,10.44,-1100,-1200,0
2000-11-30,4370,4380,61460,10.61,-16410,12380,4030
2000-12-01,4280,4330,82510,10.48,-17600,45600,-28000
2000-12-04,4280,4295,195150,10.4,21070,117980,-139050
2000-12-05,4240,4300,80120,10.41,19640,-19640,0
2000-12-06,4400,4290,497660,10.39,159080,-48080,-111000
2000-12-07,4290,4300,212840,10.41,-45900,-9350,0
2000-12-08,4260,4305,69730,10.42,140,-140,0
2000-12-11,4360,4470,898100,10.82,433490,-242120,0
2000-12-12,4500,4400,509490,10.65,32500,-27900,0
2000-12-13,4300,4355,214580,10.55,5800,-47800,0
2000-12-14,4300,4355,114750,10.55,16770,-2760,0
2000-12-15,4320,4365,143590,10.57,17890,1110,0
2000-12-18,4365,4440,429590,10.75,7020,-161590,0
2000-12-19,4410,4390,159950,10.63,-48710,48710,0
2000-12-20,4365,4350,175920,10.53,-89490,89490,0
2000-12-21,4305,4335,138620,10.5,2510,1840,4650
2000-12-22,4335,4320,199390,10.46,34700,-4700,0
2000-12-26,4385,4500,343980,10.9,-45860,86060,0
2001-01-02,3830,4280,327100,11.18,108180,-110030,1650
2001-01-03,4265,4230,182660,11.04,-16680,-770,14950
2001-01-04,4380,4350,983910,11.36,121380,49160,-130540
2001-01-05,4330,4580,1284950,11.96,-226070,270700,-50000
2001-01-08,4585,4600,666620,12.01,-84490,93990,-1000
2001-01-09,4640,4600,565010,12.01,119950,-115450,0
2001-01-10,4600,4550,1701200,11.88,-23910,-261590,300000
2001-01-11,4650,4550,1170710,11.88,167380,-107910,-49470
2001-01-12,4610,4600,763070,12.01,49590,5630,-52220
2001-01-15,4560,4540,749810,11.85,82840,-98340,0
2001-01-16,4590,4450,443150,11.62,81390,13400,-24000
2001-01-17,4500,4340,428520,11.33,120220,-142560,2340
2001-01-18,4360,4420,535780,11.54,-10350,7390,2960
2001-01-19,4500,4600,730200,12.01,-37040,-105980,0
2001-01-22,4700,4840,1005550,12.64,24780,-49780,0
2001-01-26,4800,4470,741740,11.67,215530,-30730,-201250
2001-01-29,4555,4650,808700,12.14,-62710,268720,-219870
2001-01-30,4650,4585,572490,11.97,-220340,252630,0
2001-01-31,4550,4585,285310,11.97,62670,-61170,0
2001-02-01,4580,4540,362120,11.85,68180,-65280,100
2001-02-02,4530,4540,526690,11.85,35560,-32360,1800
2001-02-05,4410,4410,554620,11.51,-4150,-4550,1700
2001-02-06,4355,4450,267750,11.62,-39770,43790,-4020
2001-02-07,4410,4415,319970,11.53,-15910,15560,350
2001-02-08,4420,4510,249650,11.78,-81720,131770,-50
2001-02-09,4510,4570,243170,11.93,-48070,38420,-350
2001-02-12,4530,4590,183110,11.98,-21320,26320,0
2001-02-13,4645,4680,383090,12.22,-149820,149870,-50
2001-02-14,4625,4800,435450,12.53,-50010,34510,-500
2001-02-15,4755,4830,736170,12.61,-42110,-41190,0
2001-02-16,4830,4840,315260,12.64,-117560,7170,0
2001-02-19,4800,4810,260010,12.56,-48000,-42680,-1800
2001-02-20,4830,4800,394370,12.53,74250,-77680,0
2001-02-21,4800,4850,661310,12.66,-27660,-3960,-4010
2001-02-22,4650,4720,343520,12.32,-129420,14420,-20000
2001-02-23,4685,4810,270770,12.56,-14340,16000,-1660
2001-02-26,4860,5030,561090,13.13,-8760,31380,-10090
2001-02-27,5060,5230,2121490,13.66,-224440,-524840,786390
2001-02-28,5300,5350,1620640,13.97,-65440,-572960,734160
2001-03-02,5290,5200,612050,13.58,-179310,-148800,307110
