Symbol,효성_시가(원),효성_종가(원),효성_거래량(주),효성_PER(IFRS-연결),효성_순매수수량(개인)(주),효성_순매수수량(기관계)(주),효성_순매수수량(외국인계)(주)
2000-01-04,18000,17600,160350,4.17,22680,-16520,-1150
2000-01-05,17100,16900,142580,4.01,-4750,770,3350
2000-01-06,17000,15700,254400,3.72,-8630,-34180,-500
2000-01-07,16000,16350,136510,3.88,8990,-430,1440
2000-01-10,13950,15650,156490,3.71,24730,-25680,2910
2000-01-11,15800,15700,360080,3.72,188200,-147100,-4660
2000-01-12,16100,16000,347820,3.79,-42250,46420,-4170
2000-01-13,16000,15500,203640,3.67,8880,880,-10510
2000-01-14,15500,15450,202860,3.66,-60730,59510,1220
2000-01-17,15600,15100,236820,3.58,-31850,99150,2700
2000-01-18,15000,14900,159100,3.53,-10390,9930,460
2000-01-19,14500,13700,240320,3.25,85070,-71830,-610
2000-01-20,13400,12650,332460,3,96570,-99010,-3900
2000-01-21,12450,12700,305140,3.01,78950,-86630,-1300
2000-01-24,13100,13050,713510,3.09,310240,-309850,610
2000-01-25,12950,12150,201100,2.88,530,-2330,300
2000-01-26,12350,12900,306520,3.06,-55910,-40040,0
2000-01-27,12900,13550,397500,3.21,-62070,-5240,-580
2000-01-28,13500,14200,264030,3.37,-141650,20010,-1110
2000-01-31,14000,14600,279390,3.46,-152990,65220,0
2000-02-01,14600,14400,134780,3.41,-60310,45990,15770
2000-02-02,14300,15200,158200,3.6,-31290,41290,0
2000-02-03,15200,15200,106380,3.6,-14550,4550,0
2000-02-07,15000,15200,144510,3.6,-7660,-6050,3670
2000-02-08,15150,14800,131480,3.51,-44130,16740,190
2000-02-09,14500,14400,274310,3.41,-26610,6610,0
2000-02-10,14200,13800,245950,3.27,-56320,7300,-2620
2000-02-11,13500,13600,206160,3.22,-5860,-19110,2680
2000-02-14,12600,12600,92870,2.99,-27200,8740,2080
2000-02-15,12000,12500,113000,2.96,-16600,940,5660
2000-02-16,12800,12800,82790,3.03,-20170,18340,1810
2000-02-17,12500,12500,184260,2.96,-10480,7560,1960
2000-02-18,12350,12800,169140,3.03,20450,-27610,-360
2000-02-21,12500,11200,104170,2.65,13870,-21150,-2720
2000-02-22,11000,11200,124580,2.65,-31480,21190,10170
2000-02-23,11700,12100,253220,2.87,43440,-55080,-2760
2000-02-24,11700,12000,106190,2.84,-10850,5360,-310
2000-02-25,11050,12300,198650,2.92,-47880,48120,-80
2000-02-28,12000,12000,141090,2.84,-13090,-8350,560
2000-02-29,12100,12000,146550,2.84,-32450,37040,-4190
2000-03-02,11700,12100,167510,2.87,23700,-18960,-4740
2000-03-03,12000,11300,247500,2.68,118000,-47980,-64480
2000-03-06,11400,11800,240830,2.8,22030,-21670,-560
2000-03-07,12000,12300,487030,2.92,59960,-59600,-480
2000-03-08,12100,12650,253520,3,-50610,49650,920
2000-03-09,13200,13000,567720,3.08,134480,-75970,-56170
2000-03-10,13300,12950,311830,3.07,29010,-28330,360
2000-03-13,13000,13900,504770,3.29,-107440,21440,89220
2000-03-14,13850,13600,277530,3.22,-71830,25270,50560
2000-03-15,13600,13500,145430,3.2,-12240,15070,-2710
2000-03-16,13500,13300,166930,3.15,-14120,22200,-1400
2000-03-17,13500,13100,121170,3.1,10900,-11170,360
2000-03-20,13100,12900,76140,3.06,-26320,25190,360
2000-03-21,12900,12500,79870,2.96,-11760,16770,800
2000-03-22,12600,12400,211800,2.94,67900,-63290,160
2000-03-23,12700,11900,186830,2.82,78010,-62640,100
2000-03-24,12400,12200,156810,2.89,3590,11420,-20
2000-03-27,12200,12300,156280,2.92,-31780,37240,0
2000-03-28,12300,13300,466890,3.15,-650,16730,-48280
2000-03-29,13400,12950,374260,3.07,-21090,-41230,1930
2000-03-30,13500,13800,793440,3.27,-12230,14390,650
2000-03-31,13800,14200,489650,3.37,-73000,80660,1300
2000-04-03,14400,13700,351530,3.25,-31900,29540,0
2000-04-04,13800,13650,207230,3.24,-33950,44270,2560
2000-04-06,13400,13100,125410,3.1,670,-1980,1300
2000-04-07,12500,12700,197090,3.01,-5670,2890,1300
2000-04-10,13000,13600,329660,3.22,-37290,23730,-920
2000-04-11,13500,13400,160510,3.18,-32940,-260,460
